atlas	phenotype	trait_arm	stratum	method	score	beta_perregion	se_perregion	p_adj_perregion	beta_1lmm	se_1lmm	p_adj_1lmm	n
hcp	global_slope	BIP_eur	EUR	CT	raw	-0.0501044674568072	0.014985701879707	0.0066785436909543	-0.0369733971001033	0.014908585448974	0.105428911948601	4308
hcp	baseline_thickness	BIP_eur	EUR	CT	raw	-0.0400961123819556	0.0153090893713187	0.0707767242998681	-0.0399455898367941	0.0153283683229441	0.0735402962748555	4308
hcp	global_slope	BIP_pooled	full	CT	zanc	-0.019716209445946	0.0104938758462965	0.482425263941299	-0.0140435100159345	0.0103904395409541	1.0	8596
hcp	baseline_thickness	BIP_pooled	full	CT	zanc	-0.0250027209602935	0.0106420384028161	0.150598003220179	-0.0246085908286084	0.010653050564508	0.167292404555369	8596
hcp	global_slope	ADHD	EUR	CT	raw	-0.0218272658308916	0.0145107840393585	1.0	-0.016741477243967	0.0144263737329747	1.0	4308
hcp	baseline_thickness	ADHD	EUR	CT	raw	-0.034395883387562	0.0156976894604457	0.227961822879072	-0.0348639794030755	0.015717347860998	0.212756783462909	4308
hcp	global_slope	INT	EUR	CT	raw	-0.0091477114945958	0.0145423887891186	1.0	0.0131575984926678	0.0148854934420901	1.0	4308
hcp	baseline_thickness	INT	EUR	CT	raw	0.0263782904646367	0.015334607840168	0.683774687442836	0.0268052038718793	0.0153537168225065	0.647276664784807	4308
hcp	global_slope	BIP_eur	EUR	PRSCS	raw	-0.0164939129831846	0.0148346093139296	0.266266215926571	-0.0176165242230415	0.0146928600750737	0.230604153863606	4308
hcp	baseline_thickness	BIP_eur	EUR	PRSCS	raw	-3.34011021371958e-05	0.0156497064723966	0.998297178888012	-0.0007319428834873	0.0156693369586515	0.962745102182273	4308
hcp	global_slope	BIP_pooled	full	PRSCS	zanc	-0.0059464588874332	0.0104453624071683	0.569173686060084	-0.0106824708069986	0.0103425045430677	0.301695218841888	8596
hcp	baseline_thickness	BIP_pooled	full	PRSCS	zanc	-0.0068160648613173	0.0107908742502028	0.527631932854698	-0.0066708922199018	0.010801911711902	0.536877975311749	8596
hcp	global_slope	ADHD	EUR	PRSCS	raw	0.0092511094201179	0.0146993594574537	0.529151783408187	-0.0096794408353569	0.0145633718098474	0.50631680183924	4308
hcp	baseline_thickness	ADHD	EUR	PRSCS	raw	-0.0252785681239486	0.0154842757878228	0.102640917210462	-0.0258861983897102	0.0155034346861301	0.0950502016350883	4308
hcp	global_slope	INT	EUR	PRSCS	raw	0.0201036212442353	0.0155614809279942	0.196470111883907	0.0113460990978774	0.0154169291037061	0.461803370587806	4308
hcp	baseline_thickness	INT	EUR	PRSCS	raw	-0.0123855840389637	0.0164321250300183	0.451045551897056	-0.0119877552689836	0.0164529261896132	0.466280519981693	4308
hcp	global_slope	BIP_eur	EUR	SBayesR	raw	-0.0126657789690911	0.0148002065657205	0.392166867678867	-0.0164270546949891	0.0146650124554968	0.262714816345067	4308
hcp	baseline_thickness	BIP_eur	EUR	SBayesR	raw	-0.0005097161112812	0.0155897065612151	0.973918786117925	-0.0011770273598431	0.0156091895082545	0.939895157430844	4308
hcp	global_slope	BIP_pooled	full	SBayesR	zanc	-0.0075802624790482	0.0104188009021994	0.46690597671552	-0.0153609415003699	0.0103171261351761	0.136558319048065	8596
hcp	baseline_thickness	BIP_pooled	full	SBayesR	zanc	-0.0084047772083211	0.0107570615892241	0.434632100037638	-0.0082898752139053	0.0107680696154848	0.441405888158592	8596
hcp	global_slope	ADHD	EUR	SBayesR	raw	0.0130705607056809	0.0146916344127025	0.373700337457831	-0.0111043475280879	0.0145555471405451	0.445570752750017	4308
hcp	baseline_thickness	ADHD	EUR	SBayesR	raw	-0.0303142709179289	0.0154775912438101	0.0502253797336756	-0.0308329220860278	0.0154967555103973	0.0466942695959454	4308
hcp	global_slope	INT	EUR	SBayesR	raw	0.0285171510088949	0.0159353885924186	0.0735995346937402	0.0140976692992737	0.0157976108079583	0.372235245495251	4308
hcp	baseline_thickness	INT	EUR	SBayesR	raw	-0.0229658004667561	0.0167866374747557	0.171352355675098	-0.0222287444813976	0.0168078850981931	0.186065902615163	4308
hcp	global_slope	BIP_eur	EUR	SBayesRC	raw	-0.0151386172255408	0.0146867712979896	0.302710857459657	-0.0144618937857323	0.014557336316037	0.320552713826139	4308
hcp	baseline_thickness	BIP_eur	EUR	SBayesRC	raw	0.0051558480910098	0.0154529837113098	0.738661924810327	0.0045934219038357	0.0154722720045411	0.766571804576349	4308
hcp	global_slope	BIP_pooled	full	SBayesRC	zanc	-0.0006360736048157	0.0103463193842381	0.950979809837252	-0.0099386311302831	0.0102521828005728	0.332366140263665	8596
hcp	baseline_thickness	BIP_pooled	full	SBayesRC	zanc	-0.0118440303307483	0.0106582842118141	0.266491415436811	-0.0119576127573133	0.0106691885840052	0.262420893169389	8596
hcp	global_slope	ADHD	EUR	SBayesRC	raw	0.0157608692375076	0.0146580952963716	0.282333252769424	-0.0077218879919356	0.0145257550543063	0.595032323529622	4308
hcp	baseline_thickness	ADHD	EUR	SBayesRC	raw	-0.0321711957045041	0.0154469326386788	0.0373384461907264	-0.0329395432968873	0.0154659590748123	0.0332441197247213	4308
hcp	global_slope	INT	EUR	SBayesRC	raw	0.0191385313846408	0.0155083154319958	0.217242332752736	0.0077878488920499	0.0153731715602384	0.612471979638774	4308
hcp	baseline_thickness	INT	EUR	SBayesRC	raw	-0.0169965201593837	0.0163350497585716	0.298169089018211	-0.0161531575168511	0.0163557045178231	0.323396355915683	4308
