design	trait_arm	disorder	stratum	phenotype	n	n_thresholds	n_perm	min_p	max_abs_t	p_perm	p_bonferroni	matched
matched	BIP_eur	BIPeur	EUR	baseline_thickness	4308	8	2000	0.006671685374910924	2.876072713798306	0.034482758620689655	0.05337348299928739	yes
matched	BIP_eur	BIPeur	EUR	slope_PC1	4308	8	2000	0.004006772904494489	2.931969820728379	0.01699150424787606	0.032054183235955915	yes
matched	BIP_eur	BIPeur	EUR	slope_PC2	4308	8	2000	0.008363658068054402	2.747630474114406	0.03498250874562719	0.06690926454443522	yes
matched	BIP_eur	BIPeur	EUR	slope_PC3	4308	8	2000	0.06534536626379059	1.965340367884987	0.191904047976012	0.5227629301103247	yes
matched	BIP_eur	BIPeur	EUR	global_slope	4308	8	2000	0.00043865247293194533	3.5807329422705814	0.0034982508745627187	0.0035092197834555626	yes
matched	BIP_pooled	BIPpooled	full	baseline_thickness	8596	8	2000	0.04758755863051041	2.097484823526796	0.1729135432283858	0.3807004690440833	yes
matched	BIP_pooled	BIPpooled	full	slope_PC1	8596	8	2000	0.06492149227720197	1.8692192830370145	0.24037981009495252	0.5193719382176157	yes
matched	BIP_pooled	BIPpooled	full	slope_PC2	8596	8	2000	0.43886005734775596	0.8087358827450032	0.8825587206396801	1.0	yes
matched	BIP_pooled	BIPpooled	full	slope_PC3	8596	8	2000	0.2829260017250557	1.1314772212989745	0.7146426786606697	1.0	yes
matched	BIP_pooled	BIPpooled	full	global_slope	8596	8	2000	0.044155590712884364	2.065182273380878	0.1634182908545727	0.3532447257030749	yes
matched	ADHD	ADHD	EUR	baseline_thickness	4308	8	2000	0.032177785044142246	2.4342757697641053	0.09995002498750624	0.25742228035313797	yes
matched	ADHD	ADHD	EUR	slope_PC1	4308	8	2000	0.1503070750060089	1.4207198169227935	0.5132433783108445	1.0	yes
matched	ADHD	ADHD	EUR	slope_PC2	4308	8	2000	0.09262019702703807	1.689989299813424	0.34782608695652173	0.7409615762163045	yes
matched	ADHD	ADHD	EUR	slope_PC3	4308	8	2000	0.06458909282916973	1.9492213283504012	0.22638680659670166	0.5167127426333579	yes
matched	ADHD	ADHD	EUR	global_slope	4308	8	2000	0.13742201667412282	1.4832167063220785	0.47426286856571714	1.0	yes
matched	INT	INT	EUR	baseline_thickness	4308	8	2000	0.09220853541022629	1.7901217920599168	0.2733633183408296	0.7376682832818103	yes
matched	INT	INT	EUR	slope_PC1	4308	8	2000	0.2581081153785251	1.1807325868779415	0.6156921539230384	1.0	yes
matched	INT	INT	EUR	slope_PC2	4308	8	2000	0.1761671726229509	1.3933555666223139	0.48825587206396803	1.0	yes
matched	INT	INT	EUR	slope_PC3	4308	8	2000	0.16559697332216852	1.4935039716486882	0.45077461269365315	1.0	yes
matched	INT	INT	EUR	global_slope	4308	8	2000	0.596452859499536	0.5367232467893657	0.975512243878061	1.0	yes
