disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
MDDeur	sbr	baseline_thickness	EUR	4116	3447	655	686	0.0141929366164435	0.0439596797606948	0.746896015795594	-0.0190475064702944	0.0173548380662999	0.272485121066816	-0.0332404430867379	0.0472846074892293	-0.702986549995357	0.482064131490161
MDDeur	sbr	baseline_thickness	full	8082	6789	1250	1339	0.0316003668373587	0.0641979550883818	0.622633224524852	-0.0355223449055597	0.0251354009385217	0.157629478699757	-0.0671227117429184	0.0678115122437108	-0.98984242530506	0.322251144499115
MDDeur	sbr	global_slope	EUR	4116	3447	655	686	-0.0376747476442007	0.0566863834749756	0.506480134268155	-0.0217428249204295	0.0158815650301539	0.171071789403628	0.0159319227237713	0.0588846825620577	0.270561409700746	0.786728379660159
MDDeur	sbr	global_slope	full	8082	6789	1250	1339	-0.120548292871348	0.079208095528975	0.128226176951168	-0.0619731956460224	0.0238227425817196	0.00930375854370953	0.0585750972253256	0.0818662853149974	0.715497191547728	0.474301875618803
MDDeur	sbr	slope_PC1	EUR	4116	3447	655	686	0.0279960322159874	0.0606745235660342	0.6446306800249	0.0141501177435133	0.016409557893514	0.388580658796755	-0.0138459144724741	0.062869924627359	-0.22023112886712	0.825691154382309
MDDeur	sbr	slope_PC1	full	8082	6789	1250	1339	0.138815386181093	0.0828915899866028	0.0941998902473396	0.0586080363022079	0.024585637813358	0.0171610446195224	-0.0802073498788851	0.0855981113435094	-0.937022425144512	0.348747022796538
MDDeur	sbr	slope_PC2	EUR	4116	3447	655	686	0.0288938468330252	0.0590977047722837	0.625032354360303	0.0163800542361801	0.0168606128924255	0.33136995479544	-0.0125137925968451	0.0614726736060394	-0.203566753530884	0.838692075925682
MDDeur	sbr	slope_PC2	full	8082	6789	1250	1339	0.110062590059316	0.0820268929101936	0.179852162642236	0.0455031548507181	0.0251329414101722	0.0702622684790334	-0.0645594352085982	0.0848821618704682	-0.760577178831956	0.44690965490053
MDDeur	sbr	slope_PC3	EUR	4116	3447	655	686	-0.00757727956651372	0.0569349877974315	0.894165850396703	-0.019892261627873	0.0167513713096152	0.235117346541687	-0.0123149820613593	0.0593653721103963	-0.207443862028831	0.835663230573416
MDDeur	sbr	slope_PC3	full	8082	6789	1250	1339	-0.023338677375675	0.0810222943930169	0.773345606677699	-0.0517519975269695	0.0246573845576961	0.0358677244869642	-0.0284133201512945	0.0838052112122367	-0.339040016012104	0.734579585103855
