method	trait	arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	SCZ	pooled	raw	SCZpooled	1	global_slope	EUR	4116	3447	655	686	-0.0566969714568544	0.0552001830174028	0.304663906749653	-0.0490662784274056	0.0158657022067222	0.00200014465690729	0.00763069302944883	0.0573113647603065	0.133144500420862	0.894079102170919
CT	SCZ	pooled	raw	SCZpooled	1e-5	global_slope	EUR	4116	3447	655	686	-0.0638175222047011	0.0506784716579685	0.208278302930711	0.00914089795238848	0.0170245968184674	0.591355658347706	0.0729584201570896	0.0526102193232413	1.38677278094637	0.165511059462692
CT	SCZ	pooled	raw	SCZpooled	5e-8	global_slope	EUR	4116	3447	655	686	-0.0519306305102446	0.0496689650059791	0.296070034644831	0.014772979893106	0.0171650996609633	0.389496764591352	0.0667036104033506	0.051659341174119	1.29122069479215	0.196627161014193
CT	SCZ	pooled	raw	SCZpooled	0p001	global_slope	full	8082	6789	1250	1339	-0.0536307336593568	0.036348428817583	0.140284970073097	0.00241204374930123	0.01160255723539	0.835322124589539	0.0560427774086581	0.0381055327573922	1.47072546565528	0.141365376425563
CT	SCZ	pooled	raw	SCZpooled	0p01	global_slope	full	8082	6789	1250	1339	-0.0507328677431288	0.0416480096463764	0.22335278373411	-0.017381734732928	0.012920206323594	0.178569669802269	0.0333511330102007	0.0435506806340857	0.765800500121183	0.443795016593412
CT	SCZ	pooled	raw	SCZpooled	0p05	global_slope	full	8082	6789	1250	1339	-0.0331773919950577	0.0443282422252975	0.454299950803116	-0.0383752536064099	0.0137968776828593	0.00542695925294171	-0.00519786161135227	0.046323617959553	-0.112207591727631	0.910658809858551
CT	SCZ	pooled	raw	SCZpooled	0p1	global_slope	full	8082	6789	1250	1339	-0.0272194559614261	0.0468391339178972	0.561237171928869	-0.0348662256417469	0.0141478708188561	0.0137486836765536	-0.00764676968032083	0.0488191440120631	-0.156634652963832	0.875532790510512
CT	SCZ	pooled	raw	SCZpooled	0p5	global_slope	full	8082	6789	1250	1339	0.00145918645302894	0.0495906309636352	0.976529590700375	-0.0445874736862684	0.0149113044498671	0.00279831590102563	-0.0460466601392974	0.0516367160193716	-0.891742614344857	0.37253090663419
CT	SCZ	pooled	raw	SCZpooled	1	global_slope	full	8082	6789	1250	1339	0.00327064193266588	0.0500257712775692	0.947880298345332	-0.0434789141879802	0.0149639129162993	0.00367772693083625	-0.0467495561206461	0.0520642230210059	-0.897920940869212	0.369227699612997
CT	SCZ	pooled	raw	SCZpooled	1e-5	global_slope	full	8082	6789	1250	1339	-0.0412028204542843	0.0356079570650816	0.247393934611135	0.013669592376046	0.011508247697347	0.234951880227589	0.0548724128303303	0.0373597962134968	1.46875567834352	0.141899069556573
CT	SCZ	pooled	raw	SCZpooled	5e-8	global_slope	full	8082	6789	1250	1339	-0.0427001668809626	0.0348770804724539	0.221017084928785	0.0166813667389621	0.0115194168426086	0.14763452550559	0.0593815336199246	0.036666919469036	1.61948520573348	0.105342907091468
CT	SCZ	pooled	raw	SCZpooled	0p001	slope_PC1	EUR	4116	3447	655	686	0.0730074190619739	0.0552215095222219	0.186520531863018	0.0114482855093927	0.0170510282359434	0.502004638104404	-0.0615591335525813	0.0572426930838541	-1.07540596425825	0.282193012690939
