method	trait	trait_arm	discovery_ancestry	target_stratum	matched	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	0p05	8082	6789	74127	-0.0379851191330659	0.0132011942056232	0.00402085118911601	0.0321668095129281
CT	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	0p05	8082	6789	74127	-0.0327562416496447	0.0107753086356054	0.00237436460217982	0.0189949168174386
PRSCS	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	prscs	8082	6789	1088729	-0.0247957276256473	0.0173848840684666	0.15382846517532	0.15382846517532
PRSCS	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	prscs	8082	6789	1088729	-0.0149196404478708	0.0108677973625861	0.169845838270128	0.169845838270128
SBayesR	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbr	8082	6789	1075055	-0.0707393430859956	0.0233388711526803	0.00244586347523042	0.00244586347523042
SBayesR	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbr	8082	6789	1075055	-0.0287496584447882	0.0108966433208794	0.00834688399513035	0.00834688399513035
SBayesRC	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbrc	8082	6789	1154522	-0.0404700723309544	0.0170519003083729	0.0176523484925068	0.0176523484925068
SBayesRC	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbrc	8082	6789	1154522	-0.0244345862845018	0.0108141051868264	0.0238797952184798	0.0238797952184798
CT	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	0p5	4116	3447	294886	-0.0512308992362064	0.0152742602913612	0.00080409732082886	0.00643277856663088
PRSCS	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	prscs	4116	3447	1088729	-0.0212027699833366	0.015522387530269	0.172035613640517	0.172035613640517
SBayesR	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbr	4116	3447	1075055	-0.0282476058752037	0.0150695570576242	0.060939423536741	0.060939423536741
SBayesRC	SCZ	SCZ_pooled	multi	EUR	no	raw	PGC3 primary (EUR+EAS+AFR+LAT)	global_slope	sbrc	4116	3447	1154522	-0.0305414384875152	0.0150564678767261	0.0425818980707286	0.0425818980707286
CT	SCZ	SCZ_eur	EUR	EUR	yes	raw	PGC3 european	global_slope	1	4116	3447	396598	-0.0467190324761539	0.0152258045339968	0.00216712228006926	0.0173369782405541
PRSCS	SCZ	SCZ_eur	EUR	EUR	yes	raw	PGC3 european	global_slope	prscs	4116	3447	1088629	-0.0265446967058866	0.0157695606539496	0.0924020027712195	0.0924020027712195
SBayesR	SCZ	SCZ_eur	EUR	EUR	yes	raw	PGC3 european	global_slope	sbr	4116	3447	1082571	-0.034709719797284	0.0152786479367285	0.0231551382575472	0.0231551382575472
SBayesRC	SCZ	SCZ_eur	EUR	EUR	yes	raw	PGC3 european	global_slope	sbrc	4116	3447	1154522	-0.0352918919371488	0.015204412949845	0.0203303981066475	0.0203303981066475
CT	SCZ	SCZ_eur	EUR	full	no	raw	PGC3 european	global_slope	1	8082	6789	396598	-0.0684587593160291	0.0236318981885877	0.0037797416086208	0.0302379328689664
