section	readout	atlas	construction	trait	method	estimate	se	p	n	note	source
prs_panel	PRS beta (SD/SD): ALZ_IGAP_noAPOE -> EUR	hcp	1lmm	baseline_thickness	SBayesRC	-0.014582	0.015664	0.35194	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP_noAPOE -> EUR	hcp	perregion	baseline_thickness	SBayesRC	-0.014436	0.015645	0.35619	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	1lmm	baseline_thickness	CT	0.02813	0.015717	0.58843	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	perregion	baseline_thickness	CT	0.027646	0.015697	0.62623	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	1lmm	baseline_thickness	PRSCS	0.027679	0.015829	0.080434	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	perregion	baseline_thickness	PRSCS	0.027573	0.015809	0.081215	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	1lmm	baseline_thickness	SBayesR	0.025817	0.015897	0.10445	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	perregion	baseline_thickness	SBayesR	0.025722	0.015877	0.10528	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	1lmm	baseline_thickness	SBayesRC	0.016798	0.015873	0.29	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	perregion	baseline_thickness	SBayesRC	0.016384	0.015853	0.30143	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_pooled -> full	hcp	1lmm	global_slope	CT	-0.036402	0.010314	0.0033498	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_pooled -> full	hcp	perregion	global_slope	CT	-0.035261	0.010419	0.0057324	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_pooled -> full	hcp	1lmm	global_slope	PRSCS	-0.025311	0.010356	0.014548	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_pooled -> full	hcp	perregion	global_slope	PRSCS	-0.02185	0.010463	0.036803	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_pooled -> full	hcp	1lmm	global_slope	SBayesR	-0.027486	0.010421	0.008363	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_pooled -> full	hcp	perregion	global_slope	SBayesR	-0.030171	0.010523	0.0041537	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_pooled -> full	hcp	1lmm	global_slope	SBayesRC	-0.029854	0.010336	0.0038824	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_pooled -> full	hcp	perregion	global_slope	SBayesRC	-0.028673	0.010438	0.0060279	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_pooled -> full	hcp	1lmm	global_slope	CT	-0.028149	0.01044	0.056224	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_pooled -> full	hcp	perregion	global_slope	CT	-0.015769	0.010499	1	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_pooled -> full	hcp	1lmm	global_slope	PRSCS	-0.024396	0.010384	0.018831	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_pooled -> full	hcp	perregion	global_slope	PRSCS	-0.015127	0.010492	0.14943	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_pooled -> full	hcp	1lmm	global_slope	SBayesR	-0.030575	0.010476	0.0035272	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_pooled -> full	hcp	perregion	global_slope	SBayesR	-0.023158	0.010593	0.02884	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_pooled -> full	hcp	1lmm	global_slope	SBayesRC	-0.024809	0.010392	0.016997	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_pooled -> full	hcp	perregion	global_slope	SBayesRC	-0.018172	0.010504	0.083658	8596	score=zanc	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_eur -> EUR	hcp	1lmm	global_slope	CT	-0.038983	0.014626	0.06179	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_eur -> EUR	hcp	perregion	global_slope	CT	-0.039602	0.014776	0.05911	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_eur -> EUR	hcp	1lmm	global_slope	PRSCS	-0.027395	0.014601	0.060703	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_eur -> EUR	hcp	perregion	global_slope	PRSCS	-0.029371	0.014748	0.046497	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_eur -> EUR	hcp	1lmm	global_slope	SBayesR	-0.026285	0.01467	0.073246	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_eur -> EUR	hcp	perregion	global_slope	SBayesR	-0.033801	0.014807	0.022498	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_eur -> EUR	hcp	1lmm	global_slope	SBayesRC	-0.026397	0.014569	0.070092	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): SCZ_eur -> EUR	hcp	perregion	global_slope	SBayesRC	-0.033232	0.014706	0.023888	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_eur -> EUR	hcp	1lmm	global_slope	CT	-0.033285	0.014446	0.17011	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_eur -> EUR	hcp	perregion	global_slope	CT	-0.021187	0.014786	1	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_eur -> EUR	hcp	1lmm	global_slope	PRSCS	-0.02939	0.014528	0.043141	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_eur -> EUR	hcp	perregion	global_slope	PRSCS	-0.0097539	0.014672	0.50623	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_eur -> EUR	hcp	1lmm	global_slope	SBayesR	-0.042508	0.014688	0.0038241	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_eur -> EUR	hcp	perregion	global_slope	SBayesR	-0.023985	0.014847	0.10629	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_eur -> EUR	hcp	1lmm	global_slope	SBayesRC	-0.034391	0.014602	0.018561	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): MDD_eur -> EUR	hcp	perregion	global_slope	SBayesRC	-0.016726	0.014757	0.25711	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ASD -> EUR	hcp	1lmm	global_slope	CT	-0.010219	0.014348	1	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ASD -> EUR	hcp	perregion	global_slope	CT	0.029753	0.014511	0.32314	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ASD -> EUR	hcp	1lmm	global_slope	PRSCS	0.0053377	0.014462	0.71208	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ASD -> EUR	hcp	perregion	global_slope	PRSCS	0.026902	0.01459	0.065275	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ASD -> EUR	hcp	1lmm	global_slope	SBayesR	-0.0026854	0.014449	0.85257	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ASD -> EUR	hcp	perregion	global_slope	SBayesR	0.00611	0.014577	0.67513	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ASD -> EUR	hcp	1lmm	global_slope	SBayesRC	-0.00027247	0.014409	0.98491	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ASD -> EUR	hcp	perregion	global_slope	SBayesRC	0.011118	0.014529	0.44419	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ -> EUR	hcp	1lmm	global_slope	CT	-0.044856	0.014389	0.014698	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ -> EUR	hcp	perregion	global_slope	CT	-0.037116	0.014561	0.086735	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ -> EUR	hcp	1lmm	global_slope	PRSCS	-0.041343	0.014377	0.0040527	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ -> EUR	hcp	perregion	global_slope	PRSCS	-0.031162	0.014524	0.031969	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ -> EUR	hcp	1lmm	global_slope	SBayesR	-0.033336	0.014393	0.020601	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ -> EUR	hcp	perregion	global_slope	SBayesR	-0.016411	0.014544	0.25923	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ -> EUR	hcp	1lmm	global_slope	SBayesRC	-0.036386	0.01439	0.011488	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ -> EUR	hcp	perregion	global_slope	SBayesRC	-0.018888	0.014548	0.19425	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_noAPOE -> EUR	hcp	1lmm	global_slope	CT	-0.02684	0.014441	0.50524	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_noAPOE -> EUR	hcp	perregion	global_slope	CT	-0.032628	0.014565	0.2011	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_noAPOE -> EUR	hcp	1lmm	global_slope	PRSCS	-0.020776	0.014418	0.14966	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_noAPOE -> EUR	hcp	perregion	global_slope	PRSCS	-0.022229	0.014544	0.12648	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_noAPOE -> EUR	hcp	1lmm	global_slope	SBayesR	-0.025735	0.014412	0.074223	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_noAPOE -> EUR	hcp	perregion	global_slope	SBayesR	-0.019685	0.014546	0.17603	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_noAPOE -> EUR	hcp	1lmm	global_slope	SBayesRC	-0.015305	0.014415	0.28842	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_noAPOE -> EUR	hcp	perregion	global_slope	SBayesRC	-0.0085254	0.014551	0.55798	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP -> EUR	hcp	1lmm	global_slope	CT	-0.031895	0.014436	0.21756	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP -> EUR	hcp	perregion	global_slope	CT	-0.03157	0.016346	0.42809	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP -> EUR	hcp	1lmm	global_slope	PRSCS	-0.035564	0.015064	0.018279	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP -> EUR	hcp	perregion	global_slope	PRSCS	-0.02555	0.015213	0.093145	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP -> EUR	hcp	1lmm	global_slope	SBayesR	-0.032724	0.014422	0.023321	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP -> EUR	hcp	perregion	global_slope	SBayesR	-0.013221	0.014574	0.36435	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP -> EUR	hcp	1lmm	global_slope	SBayesRC	-0.033601	0.014423	0.019873	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP -> EUR	hcp	perregion	global_slope	SBayesRC	-0.013287	0.014579	0.36217	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP_noAPOE -> EUR	hcp	1lmm	global_slope	CT	-0.026757	0.016283	0.8032	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP_noAPOE -> EUR	hcp	perregion	global_slope	CT	-0.031033	0.016427	0.47158	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP_noAPOE -> EUR	hcp	1lmm	global_slope	PRSCS	-0.023112	0.015574	0.13789	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP_noAPOE -> EUR	hcp	perregion	global_slope	PRSCS	-0.020485	0.015727	0.19279	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP_noAPOE -> EUR	hcp	1lmm	global_slope	SBayesR	-0.020876	0.014882	0.16075	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP_noAPOE -> EUR	hcp	perregion	global_slope	SBayesR	-0.011653	0.015023	0.43798	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP_noAPOE -> EUR	hcp	1lmm	global_slope	SBayesRC	-0.0089148	0.014707	0.54443	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): ALZ_IGAP_noAPOE -> EUR	hcp	perregion	global_slope	SBayesRC	0.0082813	0.014845	0.57697	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	1lmm	global_slope	CT	0.037355	0.014706	0.088964	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	perregion	global_slope	CT	0.021144	0.015037	1	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	1lmm	global_slope	PRSCS	0.039505	0.014802	0.0076425	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	perregion	global_slope	PRSCS	0.022152	0.014957	0.13868	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	1lmm	global_slope	SBayesR	0.037444	0.014833	0.011627	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	perregion	global_slope	SBayesR	0.020431	0.014996	0.17315	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	1lmm	global_slope	SBayesRC	0.031731	0.014826	0.032404	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
prs_panel	PRS beta (SD/SD): EA -> EUR	hcp	perregion	global_slope	SBayesRC	0.020811	0.014983	0.16493	4308	score=raw	work/results_70tab_hcp/prs_final_1lmm/table_order_of_operations_all.tsv
magma	MAGMA reverse: ALZ_noAPOE / baseline_thickness	hcp	perregion	baseline_thickness	MAGMA	0.011653	0.0092155	0.20606	18171	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: ALZ_noAPOE / baseline_thickness_1lmm	hcp	1lmm	baseline_thickness	MAGMA	0.011811	0.0092176	0.2001	18177	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: ALZ_noAPOE / global_slope	hcp	perregion	global_slope	MAGMA	0.0043142	0.0093093	0.64306	18171	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: ALZ_noAPOE / global_slope_1lmm	hcp	1lmm	global_slope	MAGMA	0.00082782	0.0092816	0.92893	18177	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: ALZ / baseline_thickness	hcp	perregion	baseline_thickness	MAGMA	0.01056	0.0092983	0.25609	18254	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: ALZ / baseline_thickness_1lmm	hcp	1lmm	baseline_thickness	MAGMA	0.01074	0.0093008	0.24823	18260	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: ALZ / global_slope	hcp	perregion	global_slope	MAGMA	0.00090745	0.0093901	0.92302	18254	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: ALZ / global_slope_1lmm	hcp	1lmm	global_slope	MAGMA	-0.0011744	0.0093664	0.90022	18260	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: ASD / baseline_thickness	hcp	perregion	baseline_thickness	MAGMA	0.0014805	0.0092723	0.87315	18206	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: ASD / baseline_thickness_1lmm	hcp	1lmm	baseline_thickness	MAGMA	0.0018343	0.0092751	0.84323	18210	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: ASD / global_slope	hcp	perregion	global_slope	MAGMA	0.0027838	0.0092986	0.76466	18206	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: ASD / global_slope_1lmm	hcp	1lmm	global_slope	MAGMA	-0.01179	0.0093016	0.20499	18210	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: EA / baseline_thickness	hcp	perregion	baseline_thickness	MAGMA	0.029467	0.010392	0.0045827	18264	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: EA / baseline_thickness_1lmm	hcp	1lmm	baseline_thickness	MAGMA	0.029873	0.010392	0.00405	18275	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: EA / global_slope	hcp	perregion	global_slope	MAGMA	0.0089906	0.010353	0.3852	18264	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: EA / global_slope_1lmm	hcp	1lmm	global_slope	MAGMA	0.0082398	0.010347	0.42586	18275	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: MDD_EUR / baseline_thickness	hcp	perregion	baseline_thickness	MAGMA	0.039217	0.01096	0.0003469	18263	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: MDD_EUR / baseline_thickness_1lmm	hcp	1lmm	baseline_thickness	MAGMA	0.039391	0.010956	0.00032514	18275	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: MDD_EUR / global_slope	hcp	perregion	global_slope	MAGMA	0.013357	0.011004	0.22482	18263	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: MDD_EUR / global_slope_1lmm	hcp	1lmm	global_slope	MAGMA	0.0039813	0.010971	0.71669	18275	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: MDD_div / baseline_thickness	hcp	perregion	baseline_thickness	MAGMA	0.040741	0.011226	0.00028546	18228	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: MDD_div / baseline_thickness_1lmm	hcp	1lmm	baseline_thickness	MAGMA	0.040624	0.01123	0.00029841	18240	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: MDD_div / global_slope	hcp	perregion	global_slope	MAGMA	0.011902	0.011318	0.29302	18228	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: MDD_div / global_slope_1lmm	hcp	1lmm	global_slope	MAGMA	0.0042163	0.011276	0.70848	18240	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: PGC3_EUR / baseline_thickness	hcp	perregion	baseline_thickness	MAGMA	0.022744	0.011243	0.043101	18261	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: PGC3_EUR / baseline_thickness_1lmm	hcp	1lmm	baseline_thickness	MAGMA	0.022813	0.011241	0.042423	18270	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: PGC3_EUR / global_slope	hcp	perregion	global_slope	MAGMA	0.017916	0.011246	0.11114	18261	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: PGC3_EUR / global_slope_1lmm	hcp	1lmm	global_slope	MAGMA	0.021906	0.011185	0.050191	18270	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: PGC3_primary / baseline_thickness	hcp	perregion	baseline_thickness	MAGMA	0.03003	0.011364	0.0082348	18261	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: PGC3_primary / baseline_thickness_1lmm	hcp	1lmm	baseline_thickness	MAGMA	0.029959	0.011364	0.0083924	18261	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: PGC3_primary / global_slope	hcp	perregion	global_slope	MAGMA	0.020863	0.011411	0.067523	18261	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: PGC3_primary / global_slope_1lmm	hcp	1lmm	global_slope	MAGMA	0.022581	0.011356	0.046792	18261	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: SCZ25_EUR / baseline_thickness	hcp	perregion	baseline_thickness	MAGMA	0.02244	0.010949	0.040441	18270	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: SCZ25_EUR / baseline_thickness_1lmm	hcp	1lmm	baseline_thickness	MAGMA	0.022547	0.010948	0.039471	18282	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: SCZ25_EUR / global_slope	hcp	perregion	global_slope	MAGMA	0.026	0.010998	0.018083	18270	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: SCZ25_EUR / global_slope_1lmm	hcp	1lmm	global_slope	MAGMA	0.021938	0.010956	0.045262	18282	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: SCZ25_META / baseline_thickness	hcp	perregion	baseline_thickness	MAGMA	0.028146	0.010714	0.0086195	18270	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
magma	MAGMA reverse: SCZ25_META / baseline_thickness_1lmm	hcp	1lmm	baseline_thickness	MAGMA	0.028347	0.010714	0.0081599	18282	n = genes	work/results_70tab_hcp/magma_panel/table_magma_panel.tsv
