comparison	variable	type	n_genes	beta	se	p
baseline_thickness_ahba_components_posneg	C1+	COVAR	6941	-0.0040157	0.035259	0.90933
baseline_thickness_ahba_components_posneg	C2+	COVAR	6941	0.052159	0.056035	0.35198
baseline_thickness_ahba_components_posneg	C3+	COVAR	6941	0.11376	0.071543	0.11187
baseline_thickness_ahba_components_posneg	C1-	COVAR	6941	-0.0022387	0.033331	0.94645
baseline_thickness_ahba_components_posneg	C2-	COVAR	6941	0.0099602	0.063165	0.87471
baseline_thickness_ahba_components_posneg	C3-	COVAR	6941	-0.13624	0.072368	0.059803
baseline_thickness_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	1.7513	1.4427	0.2248
baseline_thickness_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	2.7679	1.2279	0.024205
baseline_thickness_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	1.5261	2.4014	0.52511
baseline_thickness_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	-5.8488	11.718	0.61768
global_slope_ahba_components_posneg	C1+	COVAR	6941	-0.012185	0.034763	0.72597
global_slope_ahba_components_posneg	C2+	COVAR	6941	0.045385	0.055249	0.41141
global_slope_ahba_components_posneg	C3+	COVAR	6941	0.047226	0.070549	0.50326
global_slope_ahba_components_posneg	C1-	COVAR	6941	-0.030158	0.03286	0.35877
global_slope_ahba_components_posneg	C2-	COVAR	6941	-0.033503	0.062276	0.59062
global_slope_ahba_components_posneg	C3-	COVAR	6941	0.051067	0.071368	0.4743
global_slope_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	0.28424	1.4397	0.84349
global_slope_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	1.1275	1.2255	0.35759
global_slope_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	1.0996	2.3962	0.64632
global_slope_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	11.904	11.692	0.30865
MDD_vs_baseline_thickness	baseline_thickness	COVAR	18228	0.042127	0.01136	0.00020929
MDD_vs_global_slope	global_slope	COVAR	18228	-0.010771	0.011353	0.34276
MDD_vs_slope_PC1	slope_PC1	COVAR	18228	-0.010865	0.011454	0.34289
MDD_vs_slope_PC2	slope_PC2	COVAR	18228	0.005809	0.011217	0.60456
MDD_vs_slope_PC3	slope_PC3	COVAR	18228	0.0039741	0.01139	0.72717
SCZ_vs_baseline_thickness	baseline_thickness	COVAR	18261	0.028791	0.011479	0.012147
SCZ_vs_global_slope	global_slope	COVAR	18261	0.016127	0.011455	0.15918
SCZ_vs_slope_PC1	slope_PC1	COVAR	18261	0.0090706	0.011546	0.43211
SCZ_vs_slope_PC2	slope_PC2	COVAR	18261	-0.017501	0.011352	0.12318
SCZ_vs_slope_PC3	slope_PC3	COVAR	18261	0.0068553	0.011488	0.5507
slope_PC1_ahba_components_posneg	C1+	COVAR	6941	-0.00096187	0.034567	0.9778
slope_PC1_ahba_components_posneg	C2+	COVAR	6941	0.089581	0.054929	0.10297
slope_PC1_ahba_components_posneg	C3+	COVAR	6941	0.095732	0.070144	0.17237
slope_PC1_ahba_components_posneg	C1-	COVAR	6941	-0.035106	0.032674	0.28268
slope_PC1_ahba_components_posneg	C2-	COVAR	6941	-0.025495	0.061926	0.68057
slope_PC1_ahba_components_posneg	C3-	COVAR	6941	-0.049848	0.070966	0.48244
slope_PC1_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	-0.80388	1.4259	0.57292
slope_PC1_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	0.95382	1.2138	0.432
slope_PC1_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	3.8514	2.3732	0.10464
slope_PC1_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	13.386	11.581	0.24774
slope_PC2_ahba_components_posneg	C1+	COVAR	6941	0.0057739	0.035431	0.87055
slope_PC2_ahba_components_posneg	C2+	COVAR	6941	0.036764	0.056311	0.51386
slope_PC2_ahba_components_posneg	C3+	COVAR	6941	0.025987	0.071906	0.71781
slope_PC2_ahba_components_posneg	C1-	COVAR	6941	-0.029447	0.033491	0.37931
slope_PC2_ahba_components_posneg	C2-	COVAR	6941	0.044988	0.063471	0.47847
slope_PC2_ahba_components_posneg	C3-	COVAR	6941	0.010125	0.072741	0.8893
slope_PC2_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	-2.0616	1.4571	0.15714
slope_PC2_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	0.30696	1.2405	0.80456
slope_PC2_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	6.389	2.4248	0.0084287
slope_PC2_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	2.641	11.835	0.82342
slope_PC3_ahba_components_posneg	C1+	COVAR	6941	0.048447	0.034653	0.16214
slope_PC3_ahba_components_posneg	C2+	COVAR	6941	0.0081675	0.055084	0.88213
slope_PC3_ahba_components_posneg	C3+	COVAR	6941	-0.0072572	0.070338	0.91783
slope_PC3_ahba_components_posneg	C1-	COVAR	6941	-0.042633	0.032758	0.19315
slope_PC3_ahba_components_posneg	C2-	COVAR	6941	-0.0020029	0.062089	0.97427
slope_PC3_ahba_components_posneg	C3-	COVAR	6941	0.070306	0.071149	0.32312
slope_PC3_snrnaseq_pc1	PC1_herringV3+	COVAR	15482	-0.8487	1.4406	0.55579
slope_PC3_snrnaseq_pc1	PC1_U01V2+	COVAR	15482	0.74071	1.2264	0.54586
slope_PC3_snrnaseq_pc1	PC1_herringV3-	COVAR	15482	3.5177	2.3977	0.14238
slope_PC3_snrnaseq_pc1	PC1_U01V2-	COVAR	15482	4.0986	11.701	0.72613
