phenotype	n_snps	n_mean	lambda_gc	n_p5e8	n_p1e5	min_p	n_chr
baseline_thickness	7470569	4205	1.0225	0	140	3.96592201679872e-07	22
global_slope	7470569	4205	0.9951	0	80	5.40960289237623e-07	22
slope_PC1	7470569	4205	0.9996	0	56	7.91754143847961e-07	22
slope_PC2	7470569	4205	1.0232	0	197	2.84192986297489e-07	22
slope_PC3	7470569	4205	0.997	0	84	2.10515016105893e-07	22
