phenotype	model	variable	n_genes	beta	beta_std	se	p
baseline_thickness	marginal	AHBA_C3	6917	0.050614	0.013169	0.042651	0.23538
baseline_thickness	marginal	thinning_Z_ds0	13765	0.0054063	0.013733	0.002942	0.066138
baseline_thickness	marginal	thinning_Z_ds25	10325	0.0024168	0.0061542	0.0034194	0.47971
baseline_thickness	marginal	thinning_Z_ds50	6935	0.0019446	0.0048963	0.004332	0.65353
global_slope	marginal	AHBA_C3	6917	0.012432	0.0032346	0.041694	0.76558
global_slope	marginal	thinning_Z_ds0	13765	0.0036444	0.0092571	0.0029359	0.21451
global_slope	marginal	thinning_Z_ds25	10325	0.0059558	0.015166	0.0034074	0.080519
global_slope	marginal	thinning_Z_ds50	6935	0.006474	0.016301	0.0042338	0.12628
slope_PC1	marginal	AHBA_C3	6917	0.066581	0.017324	0.042074	0.1136
slope_PC1	marginal	thinning_Z_ds0	13765	0.0028376	0.0072077	0.0029078	0.32916
slope_PC1	marginal	thinning_Z_ds25	10325	0.0031077	0.0079135	0.0033924	0.35965
slope_PC1	marginal	thinning_Z_ds50	6935	0.0014712	0.0037044	0.0042684	0.73035
slope_PC2	marginal	AHBA_C3	6917	0.0010436	0.00027153	0.042072	0.98021
slope_PC2	marginal	thinning_Z_ds0	13765	-0.0019463	-0.0049437	0.0029019	0.50243
slope_PC2	marginal	thinning_Z_ds25	10325	1.453e-05	3.7e-05	0.0033956	0.99659
slope_PC2	marginal	thinning_Z_ds50	6935	0.0024468	0.0061607	0.0042691	0.56657
slope_PC3	marginal	AHBA_C3	6917	0.048975	0.012743	0.041571	0.23881
slope_PC3	marginal	thinning_Z_ds0	13765	0.0026297	0.0066797	0.0029149	0.36698
slope_PC3	marginal	thinning_Z_ds25	10325	0.0027364	0.0069681	0.0033696	0.41676
slope_PC3	marginal	thinning_Z_ds50	6935	0.0021749	0.0054761	0.0042313	0.60727
baseline_thickness	condC3	AHBA_C3	6917	0.068231	0.017753	0.063198	0.28034
baseline_thickness	condC3	thinning_Z_ds0	6917	-0.0023474	-0.0061735	0.0062138	0.70561
baseline_thickness	condC3	AHBA_C3	6829	0.073277	0.018951	0.065008	0.2597
baseline_thickness	condC3	thinning_Z_ds25	6829	-0.0029484	-0.007592	0.0064793	0.64909
baseline_thickness	condC3	AHBA_C3	6055	0.075408	0.01897	0.072443	0.29795
baseline_thickness	condC3	thinning_Z_ds50	6055	-0.0009257	-0.0023365	0.0071932	0.89761
global_slope	condC3	AHBA_C3	6917	-0.040558	-0.010553	0.061774	0.51149
global_slope	condC3	thinning_Z_ds0	6917	0.0070609	0.01857	0.0060738	0.24507
global_slope	condC3	AHBA_C3	6829	-0.038426	-0.0099375	0.063578	0.54561
global_slope	condC3	thinning_Z_ds25	6829	0.0072536	0.018678	0.0063367	0.25238
global_slope	condC3	AHBA_C3	6055	-0.054368	-0.013677	0.070594	0.44124
global_slope	condC3	thinning_Z_ds50	6055	0.0096247	0.024293	0.0070096	0.16978
slope_PC1	condC3	AHBA_C3	6917	0.082516	0.02147	0.062344	0.1857
slope_PC1	condC3	thinning_Z_ds0	6917	-0.0021234	-0.0055844	0.0061299	0.72905
slope_PC1	condC3	AHBA_C3	6829	0.094012	0.024313	0.064168	0.14295
slope_PC1	condC3	thinning_Z_ds25	6829	-0.0028755	-0.0074044	0.0063955	0.653
slope_PC1	condC3	AHBA_C3	6055	0.091213	0.022946	0.07118	0.20009
slope_PC1	condC3	thinning_Z_ds50	6055	-0.0030562	-0.0077139	0.0070678	0.66546
slope_PC2	condC3	AHBA_C3	6917	0.036803	0.0095758	0.062338	0.55496
slope_PC2	condC3	thinning_Z_ds0	6917	-0.0047649	-0.012531	0.0061293	0.43695
slope_PC2	condC3	AHBA_C3	6829	0.039362	0.01018	0.064116	0.53929
slope_PC2	condC3	thinning_Z_ds25	6829	-0.0042103	-0.010842	0.0063903	0.51001
slope_PC2	condC3	AHBA_C3	6055	0.0068342	0.0017192	0.071235	0.92357
slope_PC2	condC3	thinning_Z_ds50	6055	0.00068242	0.0017224	0.0070732	0.92314
slope_PC3	condC3	AHBA_C3	6917	0.04553	0.011846	0.061599	0.45986
slope_PC3	condC3	thinning_Z_ds0	6917	0.00045904	0.0012073	0.0060567	0.93959
slope_PC3	condC3	AHBA_C3	6829	0.044202	0.011431	0.063288	0.48494
slope_PC3	condC3	thinning_Z_ds25	6829	0.00061179	0.0015753	0.0063078	0.92274
slope_PC3	condC3	AHBA_C3	6055	0.047099	0.011848	0.070343	0.50316
slope_PC3	condC3	thinning_Z_ds50	6055	-0.0002824	-0.00071278	0.0069846	0.96775
