GENE	thinning_Z_ds0	thinning_Z_ds25	thinning_Z_ds50	AHBA_C3
57576	6.8269	6.5638	6.2097	0.658398
5537	6.6588	6.5626	6.4396	0.328923
124359	6.8497	6.5553	6.1521	0.477748
100507421	6.5727	6.5385	6.4473	NA
374860	6.6928	6.5368	6.2077	0.510045
5274	6.7366	6.5339	6.313	0.517328
3321	6.7623	6.5256	6.2905	0.714132
64168	6.5826	6.517	6.3921	0.553756
58495	6.6703	6.5084	6.2756	0.176485
6441	6.9255	6.5055	5.9165	0.280599
1397	6.7663	6.4701	6.0573	0.303707
56478	6.6883	6.4464	NA	NA
401097	6.7236	6.4454	6.1122	0.551529
9177	6.5265	6.4249	6.2768	0.819774
51655	6.5631	6.4015	6.1561	0.66174
79719	6.6621	6.4005	6.0777	0.345811
23171	6.5792	6.3998	6.1966	NA
7323	6.4315	6.3835	NA	NA
50485	6.8367	6.3822	NA	NA
3912	6.5241	6.3785	6.1247	0.577551
1007	6.5275	6.378	6.1268	0.311649
23151	6.7338	6.3711	5.8871	0.156753
9783	6.237	6.368	6.4253	0.487225
170850	6.5743	6.3651	6.3808	0.240442
27239	6.3168	6.3564	6.4019	NA
4794	6.5427	6.3484	6.1702	0.209003
5153	6.7002	6.3461	6.0042	0.569395
80323	6.3092	6.3277	6.2657	0.419607
284323	6.6131	6.3163	NA	NA
8732	6.574	6.3141	5.8661	0.330389
10752	6.5108	6.3105	5.9784	0.490534
57569	6.5799	6.3078	NA	NA
166379	6.412	6.3048	NA	NA
26127	6.2527	6.3012	6.259	0.701286
9760	6.5031	6.2976	6.1204	0.55078
130576	6.5434	6.2833	NA	NA
79017	6.3115	6.2639	6.1642	0.209232
57628	6.4767	6.2587	6.045	0.344212
9394	6.533	6.2506	6.0741	NA
80114	6.4409	6.2231	5.9763	NA
221424	6.5028	6.221	5.8019	0.444477
24145	6.4859	6.2188	6.1463	0.544176
8001	6.2168	6.195	6.3302	0.234276
1871	6.5224	6.1908	5.6536	0.27434
123879	6.3218	6.188	6.123	0.345156
81849	6.1926	6.1825	6.3533	0.485889
51362	6.4146	6.1694	5.8497	0.657867
197131	6.3093	6.1669	6.0114	NA
57449	6.4226	6.1612	NA	NA
152185	6.3274	6.1475	6.1502	0.24718
5999	6.3922	6.1261	5.6877	0.42804
84306	6.4497	6.1185	NA	NA
4988	6.3882	6.1135	5.7315	0.242022
9508	6.3565	6.1063	5.7071	0.409143
56934	6.3245	6.1027	5.7335	0.479146
1571	6.4134	6.1001	5.9384	0.482156
5657	6.1322	6.0877	6.0364	0.636928
202018	6.3932	6.0832	5.8436	0.123738
57613	6.1504	6.0723	NA	0.605917
5924	6.3049	6.072	5.6843	0.391695
121268	6.2967	6.0624	5.6282	0.634182
844	6.2774	6.0557	5.646	0.489198
100287482	6.3723	6.0501	NA	0.267984
80333	6.1401	6.0424	NA	0.558663
55068	6.3027	6.04	5.6382	0.157329
57711	6.3159	6.0259	NA	NA
10424	6.2732	6.0125	5.8099	0.208474
59349	6.1449	6.0118	6.0385	0.308681
57575	6.1214	5.9938	5.7611	0.250184
10874	6.0833	5.9926	5.803	0.448676
146760	6.2591	5.9782	5.5894	0.519615
3845	6.333	5.9663	5.5611	0.293833
55204	6.1937	5.9424	NA	0.152992
7976	6.1346	5.9397	5.7672	0.288475
25791	5.5689	5.9392	6.1543	0.57634
199704	6.2272	5.9386	5.6034	NA
645369	6.1134	5.9255	5.7303	0.56518
63974	6.0835	5.9245	5.8605	0.45958
1954	6.0271	5.9189	NA	NA
126282	6.155	5.9107	5.7036	0.53318
2802	6.0348	5.91	NA	NA
116	6.1669	5.9061	5.7472	0.397807
4897	6.1276	5.9054	5.5028	0.390037
23276	6.115	5.8971	NA	NA
535	6.1124	5.8875	5.5694	NA
132112	6.1206	5.8845	5.5603	0.233736
51278	5.464	5.8795	6.1793	0.349918
170961	5.8023	5.8423	5.8879	0.524849
54904	6.143	5.8343	5.6632	0.56331
11259	5.9839	5.8252	5.7016	0.628472
10762	5.8725	5.8002	NA	NA
55680	5.7733	5.7988	NA	NA
9920	5.973	5.7964	5.6626	0.364117
23243	6.0173	5.7954	5.4677	0.429125
23270	6.3125	5.7953	5.4394	0.414748
9308	6.2122	5.7928	5.1938	0.349793
8936	6.1097	5.7905	5.4728	0.517497
10645	5.4006	5.7886	6.2644	0.446628
150864	6.0145	5.7849	5.6284	0.572078
79822	5.8738	5.7761	5.8063	0.329482
7738	5.9381	5.7721	5.7086	0.150081
131870	6.0219	5.7717	5.3365	0.143678
4355	5.9444	5.7589	5.6048	0.300331
10868	6.1276	5.7494	NA	NA
65997	5.8273	5.7441	5.7439	0.530834
2274	5.6994	5.743	NA	NA
3761	5.8471	5.7416	NA	NA
84277	6.1939	5.7408	5.2742	0.282369
6782	5.8938	5.7359	5.5747	0.234525
54932	5.8734	5.7346	5.5444	0.505948
163175	5.9489	5.7283	5.6226	0.130539
7732	5.5804	5.7223	NA	NA
80757	5.9876	5.7212	NA	0.256288
5053	6.0119	5.7212	5.4466	0.432943
56475	5.7311	5.7114	5.5913	0.281799
2967	5.8709	5.7096	NA	NA
26050	5.9075	5.697	NA	NA
3354	5.8888	5.6962	5.4523	0.533288
65059	5.923	5.6957	5.4421	0.263918
55295	6.1571	5.6952	NA	NA
528	5.9774	5.6935	5.2543	0.275592
339855	5.7317	5.6902	5.7003	NA
26578	5.7109	5.688	5.6966	0.560043
23596	5.5483	5.6807	5.8972	0.438744
79772	5.9718	5.6782	5.2562	0.256447
81565	5.7603	5.6748	5.5801	0.571185
340481	5.7906	5.672	5.5847	NA
88	5.9065	5.6663	5.3255	0.473425
10841	5.7605	5.665	5.479	NA
266812	5.7042	5.6612	NA	0.397504
83445	5.6446	5.6503	5.8016	0.151959
55815	5.4646	5.6392	5.7576	NA
23548	5.4577	5.6355	5.7136	NA
83851	5.8836	5.6345	5.4574	0.433376
6861	5.7525	5.632	5.4903	0.610824
923	5.8194	5.6296	5.3843	0.175893
9992	5.8444	5.6238	NA	NA
54463	5.7047	5.6116	5.4073	0.395792
5577	5.6566	5.6054	5.5098	NA
4134	5.9416	5.5994	5.0783	0.384684
26504	5.6212	5.5982	5.5407	0.402589
5481	5.9987	5.5938	NA	NA
9070	5.9185	5.5883	5.2129	0.386931
51454	5.8201	5.5882	5.5355	0.444098
401994	5.8248	5.573	5.1883	0.592804
196541	5.7231	5.5643	5.51	0.333245
164832	5.6828	5.5603	5.5799	0.512889
83636	5.8233	5.5411	5.224	0.237987
59338	5.4141	5.5369	5.6185	0.364914
128553	5.6438	5.531	5.4022	0.578656
