gene	thinning_Z_ds25	U_ds25_thinning	rank_ds25	decile_ds25
SRA1	1.9712	0.0044778	2702	8
HOMER1	1.9691	0.012152	2703	8
MYO1B	1.9679	0.0088304	2704	8
FLJ37035	1.9678	0.0087855	2705	8
FUT10	1.9674	0.0046612	2706	8
GABRB3	1.9665	0.0052998	2707	8
ZC3H8	1.9661	0.0083241	2708	8
TTC21A	1.9658	0.0092985	2709	8
GBAP1	1.9609	0.0098944	2710	8
MTUS2	1.959	0.0043768	2711	8
FOXP4	1.9581	0.010478	2712	8
THRA	1.9572	0.0033711	2713	8
RPP40	1.9571	0.010774	2714	8
ZNF845	1.9551	0.0095639	2715	8
DNAH1	1.955	0.0077977	2716	8
SNHG8	1.9545	0.0057439	2717	8
ANKRD30BP2	1.9543	0.0081157	2718	8
KIAA1211L	1.9531	0.0086737	2719	8
TXNRD3	1.9528	0.0057983	2720	8
COX11	1.9503	0.0056947	2721	8
TLL1	1.9502	0.0076356	2722	8
ABCC5	1.947	0.0068565	2723	8
KLHDC2	1.9468	0.0057722	2724	8
ZNF526	1.9464	0.0071033	2725	8
RIOX2	1.9464	0.00448	2726	8
CMTM8	1.9455	0.0081957	2727	8
ACTL6B	1.9451	0.0090357	2728	8
SNHG20	1.9447	0.0087356	2729	8
PRDM16	1.9429	0.0080257	2730	8
DDX28	1.9418	0.0086863	2731	8
RAB27B	1.9381	0.0046326	2732	8
FAP	1.9374	0.006491	2733	8
RGS12	1.937	0.010785	2734	8
GDF7	1.9368	0.013322	2735	8
APPBP2	1.9363	0.00686	2736	8
TOR1A	1.9349	0.006502	2737	8
ZNF329	1.9343	0.0080115	2738	8
CXXC5	1.9336	0.00961	2739	8
METTL9	1.9327	0.0066645	2740	8
CASK	1.9326	0.0050163	2741	8
GSTA4	1.9325	0.0088536	2742	8
WDR89	1.9319	0.0088823	2743	8
COPS3	1.9318	0.007247	2744	8
CIRBP	1.9307	0.0054019	2745	8
ASIC4	1.9305	0.010972	2746	8
CLPTM1L	1.9298	0.013684	2747	8
GAMT	1.9297	0.0074605	2748	8
HAUS5	1.9293	0.0059151	2749	8
DENND5B	1.9281	0.0056244	2750	8
PFAS	1.9268	0.006478	2751	8
ERICH1	1.9248	0.01139	2752	8
CALR	1.9242	0.0075259	2753	8
NCALD	1.9208	0.0084373	2754	8
EIF3J	1.9197	0.0073406	2755	8
PCSK1	1.9197	0.0038186	2756	8
TUSC3	1.9195	0.0066333	2757	8
CSE1L	1.9194	0.010948	2758	8
PUSL1	1.9166	0.0046894	2759	8
RAB15	1.9165	0.0087815	2760	8
INPP5E	1.916	0.0074232	2761	8
TYSND1	1.9149	0.0090619	2762	8
HSPA8	1.9143	0.010947	2763	8
FCHO1	1.9142	0.0060683	2764	8
ATXN2L	1.913	0.0081051	2765	8
NSUN5	1.913	0.0058008	2766	8
FAM78B	1.9102	0.0038229	2767	8
KIAA0232	1.9101	0.009972	2768	8
SEMA6B	1.9095	0.0053008	2769	8
HS6ST3	1.9094	0.011081	2770	8
PRRT2	1.9092	0.0091643	2771	8
SHC3	1.9081	0.0073043	2772	8
KRT19	1.9074	0.0070638	2773	8
FAM160B2	1.9069	0.0053638	2774	8
MEAF6	1.9067	0.0078593	2775	8
GET4	1.9062	0.009876	2776	8
BCL6	1.9062	0.009107	2777	8
KCNA4	1.9061	0.0091132	2778	8
TIAM2	1.9061	0.0057349	2779	8
SLC25A45	1.9053	0.010167	2780	8
PLCH2	1.9046	0.010619	2781	8
HECA	1.9044	0.0066324	2782	8
GPATCH2	1.9036	0.01387	2783	8
C19orf57	1.9022	0.010426	2784	8
CALCRL	1.9016	0.012661	2785	8
TIMM17B	1.8994	0.0046607	2786	8
TMEM108	1.8993	0.0072487	2787	8
SPRR2G	1.8992	0.0058379	2788	8
ZMYND12	1.8986	0.0064267	2789	8
INCENP	1.8968	0.0080677	2790	8
MFSD12	1.8962	0.008395	2791	8
AMER1	1.8958	0.0088929	2792	8
DIRAS1	1.8957	0.0074272	2793	8
LOC729930	1.8952	0.009954	2794	8
STK11	1.895	0.005976	2795	8
DKK1	1.8921	0.010342	2796	8
HOOK1	1.8914	0.011456	2797	8
C5orf49	1.8912	0.0030489	2798	8
GLE1	1.8905	0.0094829	2799	8
FARSB	1.8878	0.0055795	2800	8
GGTLC1	1.8869	0.0081018	2801	8
NUS1	1.8866	0.0052175	2802	8
DGAT2	1.8863	0.0099442	2803	8
FBXO32	1.8852	0.002721	2804	8
PIN1	1.8848	0.0082222	2805	8
ZNF223	1.8833	0.0054557	2806	8
CHTF18	1.8813	0.011786	2807	8
GCAT	1.8812	0.011159	2808	8
PIANP	1.8793	0.0041888	2809	8
ART3	1.879	0.0076815	2810	8
GTPBP4	1.8789	0.0051696	2811	8
LINC00982	1.8786	0.0062986	2812	8
ERRFI1	1.8775	0.0054719	2813	8
KIF1BP	1.8771	0.0085591	2814	8
UQCC1	1.877	0.0086488	2815	8
NR3C1	1.8766	0.0042233	2816	8
BDNF	1.8754	0.0095159	2817	8
POP1	1.875	0.0060322	2818	8
LNX1	1.8746	0.0085354	2819	8
KCNIP3	1.8744	0.0069935	2820	8
STN1	1.8733	0.0084897	2821	8
N4BP1	1.8728	0.0049289	2822	8
POLR3K	1.8713	0.0073898	2823	8
SIN3B	1.8707	0.0059702	2824	8
MMS19	1.8699	0.0065587	2825	8
ARHGDIA	1.8693	0.0039588	2826	8
PDP1	1.8671	0.0041762	2827	8
FAM200B	1.8668	0.006968	2828	8
RSPH3	1.8661	0.0062481	2829	8
CES4A	1.8654	0.0077616	2830	8
PCDHB11	1.8649	0.0044702	2831	8
PAFAH1B2	1.8646	0.01126	2832	8
DEFB131A	1.8628	0.003951	2833	8
SNCB	1.8627	0.0059437	2834	8
ADGRL3	1.862	0.004488	2835	8
WDR81	1.8615	0.0049668	2836	8
PARG	1.8613	0.0069724	2837	8
MYO5A	1.8605	0.0084563	2838	8
SH2D1B	1.8591	0.013647	2839	8
JAKMIP3	1.8588	0.0059128	2840	8
TYW3	1.8572	0.0083168	2841	8
FGF14	1.8568	0.0063859	2842	8
RBBP4	1.8562	0.0030805	2843	8
RLF	1.8556	0.0079495	2844	8
OTUD1	1.8549	0.0080343	2845	8
PHKB	1.8548	0.011365	2846	8
AFTPH	1.8539	0.0045063	2847	8
TMEM74B	1.8531	0.011374	2848	8
BAG4	1.8498	0.010591	2849	8
SESN1	1.8483	0.0087359	2850	8
ACTN3	1.8481	0.010918	2851	8
ANKRD2	1.8481	0.0097507	2852	8
FXR1	1.8475	0.0052609	2853	8
PSMB2	1.8471	0.0049583	2854	8
LYSMD2	1.8464	0.0072615	2855	8
ATP2A2	1.8463	0.0091127	2856	8
PPIE	1.8458	0.0084066	2857	8
B3GNTL1	1.8456	0.0073836	2858	8
DOLPP1	1.845	0.006666	2859	8
OR2L13	1.8449	0.0078876	2860	8
ADAM17	1.8443	0.0097829	2861	8
MSL3	1.8431	0.010178	2862	8
KLHL4	1.8415	0.0097486	2863	8
THNSL2	1.8408	0.0046806	2864	8
SYDE2	1.8406	0.012013	2865	8
FAR2P2	1.8401	0.0053901	2866	8
GCA	1.8398	0.010658	2867	8
AMH	1.8395	0.0038256	2868	8
KIAA1328	1.8386	0.0064377	2869	8
ARFIP1	1.8384	0.0083996	2870	8
CDCA8	1.8381	0.0065027	2871	8
COG1	1.8366	0.0038405	2872	8
NGDN	1.8346	0.0073665	2873	8
DET1	1.834	0.0067484	2874	8
ECSIT	1.8337	0.0064676	2875	8
ITGB8	1.8326	0.0077516	2876	8
ATRNL1	1.8323	0.0044602	2877	8
GMCL1	1.8313	0.013693	2878.5	8
ELMO1	1.8313	0.010661	2878.5	8
TATDN2	1.8311	0.0084295	2880	8
HPSE2	1.8309	0.0096907	2881	8
NECAB2	1.8307	0.0052709	2882	8
SMPD1	1.8303	0.009503	2883	8
PDLIM7	1.8297	0.011876	2884	8
HSP90AA1	1.8292	0.010181	2885	8
ZNF658B	1.8273	0.0085492	2886	8
WHAMM	1.8273	0.0079153	2887	8
AEN	1.827	0.0066473	2888	8
PPT2	1.827	0.006462	2889	8
HSDL1	1.8268	0.0087291	2890	8
GNB5	1.8267	0.0066007	2891	8
C2orf40	1.825	0.0089865	2892	8
STIM1	1.8234	0.0046513	2893	8
PCYT2	1.8233	0.0112	2894	8
ASTE1	1.822	0.0051092	2895	8
SH3GL3	1.8218	0.004372	2896	8
CCNI	1.8206	0.004563	2897	8
NANOS1	1.8204	0.0047737	2898	8
DKK3	1.8198	0.0049087	2899	8
ORC4	1.8195	0.0086078	2900	8
STX4	1.8186	0.0061106	2901	8
NKX1-2	1.818	0.0051635	2902	8
ZKSCAN4	1.817	0.0061969	2903	8
CLU	1.8169	0.0064551	2904	8
GSG1L	1.8155	0.0058531	2905	8
CALCOCO1	1.8154	0.0046035	2906	8
GINS3	1.8153	0.0081787	2907	8
FLCN	1.8147	0.0089767	2908	8
PSMC3	1.8143	0.0088721	2909	8
MPP3	1.8142	0.0081673	2910	8
FLVCR1	1.8137	0.0076484	2911	8
STK38L	1.8133	0.0046818	2912	8
DPP9	1.8129	0.0091665	2913	8
PCLO	1.8127	0.0056249	2914	8
GREM1	1.8119	0.010506	2915	8
TCAP	1.811	0.010337	2916	8
MAGEF1	1.8101	0.0096144	2917	8
STPG1	1.8097	0.0037802	2918	8
RNF214	1.8081	0.010253	2919	8
BMS1P20	1.8081	0.0043714	2920	8
POR	1.8076	0.0063425	2921	8
PEX5L	1.8075	0.011157	2922	8
PDZRN4	1.8058	0.010945	2923	8
ZNF492	1.8042	0.0090808	2924	8
ANO1	1.8037	0.0085218	2925	8
UBE2M	1.8032	0.0080801	2926	8
C6orf136	1.8019	0.0091052	2927	8
TMEFF2	1.8014	0.0039302	2928	8
TM7SF3	1.8004	0.0089221	2929	8
SNX4	1.7998	0.0079834	2930	8
SLC27A4	1.7997	0.012588	2931	8
CPSF4	1.7995	0.0096885	2932	8
RGR	1.7992	0.0097647	2933	8
JADE1	1.7975	0.0083387	2934	8
STRN3	1.7966	0.0058794	2935	8
BEGAIN	1.7963	0.0061655	2936	8
KIF1B	1.7952	0.0057744	2937	8
ZFX	1.7943	0.0051211	2938	8
ZNF507	1.7935	0.0054018	2939	8
FBLN5	1.7933	0.0099363	2940	8
MYADML2	1.7925	0.0088139	2941	8
DHCR24	1.7923	0.010449	2942	8
SMYD4	1.791	0.0078102	2943	8
SYBU	1.79	0.0074276	2944	8
HCN1	1.7895	0.0057241	2945	8
CUL1	1.7891	0.0089567	2946	8
TMEM187	1.7883	0.0069098	2947	8
MZF1	1.7864	0.0051675	2948	8
LOC729159	1.7862	0.006053	2949	8
MIR22HG	1.7859	0.012468	2950	8
PNPLA3	1.7857	0.0053342	2951	8
POGLUT1	1.7854	0.0052434	2952	8
CASC10	1.7836	0.0068864	2953	8
B4GALT7	1.7824	0.0075125	2954	8
PRR13	1.782	0.0087795	2955	8
RPS6KA3	1.7819	0.0033594	2956	8
ABRACL	1.7812	0.0043874	2957	8
TCF7L2	1.7811	0.0064382	2958	8
WBP2	1.7794	0.010276	2959	8
ETV6	1.7793	0.0053124	2960	8
ANO7	1.7778	0.0089815	2961	8
ZNF554	1.7767	0.01066	2962	8
WDR60	1.7739	0.0063485	2963	8
TMEM44	1.7724	0.011343	2964	8
CCDC149	1.7717	0.0098473	2965	8
KIFAP3	1.7695	0.012004	2966	8
RNF182	1.7692	0.0080676	2967	8
PSMB1	1.7678	0.0033598	2968	8
EPOR	1.7673	0.0086571	2969	8
MAFG	1.7657	0.0047722	2970	8
E2F6	1.7655	0.007942	2971	8
FBN1	1.7654	0.0032653	2972	8
MDGA1	1.7654	0.0060075	2973	8
ALKBH2	1.7653	0.0057302	2974	8
C6orf106	1.7649	0.0095724	2975	8
SRRD	1.7634	0.0041597	2976	8
TMOD1	1.7607	0.011138	2977	8
CDO1	1.7603	0.0053668	2978	8
CTBS	1.7598	0.010038	2979	8
PDZRN3	1.7586	0.010708	2980	8
MROH8	1.757	0.004931	2981	8
HHIPL1	1.7524	0.0040954	2982	8
MTHFD1L	1.7519	0.002709	2983	8
C3orf18	1.7517	0.0069977	2984	8
NTHL1	1.7481	0.0091921	2985	8
AXIN2	1.748	0.010003	2986	8
MTX2	1.746	0.011188	2987	8
CNOT7	1.7449	0.0037535	2988	8
TIMM17A	1.7447	0.0099455	2989	8
TP53I13	1.7436	0.0080085	2990	8
KCTD8	1.7434	0.0048684	2991	8
LOC105377590	1.7433	0.0028793	2992	8
ANAPC1	1.7429	0.0066351	2993	8
ZNHIT6	1.7428	0.0056779	2994	8
DUSP14	1.7426	0.010559	2995	8
ZNF136	1.7423	0.0048324	2996	8
BAG2	1.7423	0.0069998	2997	8
ZNF347	1.7421	0.0077862	2998	8
RASGRP2	1.7417	0.010027	2999	8
SUSD1	1.7407	0.0056915	3000	8
MAP3K21	1.7407	0.0049643	3001	8
TDRD1	1.7404	0.0049106	3002	8
STAR	1.7401	0.011776	3003	8
SERHL2	1.7382	0.0094688	3004	8
CNNM1	1.7376	0.0051684	3005	8
CAPNS1	1.7373	0.0089616	3006	8
FAM213A	1.7369	0.0095357	3007	8
GPC6	1.7363	0.0049947	3008	8
ANKMY2	1.736	0.010832	3009	8
LOC101927811	1.7351	0.0057527	3010	8
CRB2	1.7345	0.0092774	3011	8
PRIM2	1.7341	0.0068891	3012	8
ZSCAN31	1.7329	0.0057045	3013	8
PARM1	1.7327	0.0056907	3014	8
DHRS12	1.7322	0.0062183	3015	8
FUNDC1	1.7319	0.010541	3016	8
MIR100HG	1.7316	0.0055269	3017	8
RNF43	1.7307	0.0073146	3018	8
ZNF267	1.7292	0.0066882	3019	8
MBD2	1.7289	0.006469	3020	8
PSORS1C1	1.7276	0.0040675	3021	8
PEX12	1.7268	0.0078176	3022	8
CENPF	1.7265	0.009656	3023	8
PACRG	1.7262	0.0043776	3024	8
STK16	1.7258	0.0052278	3025	8
DENND1A	1.7256	0.0070178	3026	8
SUB1	1.7234	0.0016836	3027	8
SAP30L	1.7234	0.010106	3028	8
INPP4A	1.7233	0.0082895	3029	8
MIR193BHG	1.7232	0.0092981	3030	8
PSMB5	1.7229	0.0075418	3031	8
ACHE	1.7206	0.012844	3032	8
HIC2	1.7203	0.0091505	3033	8
CDC25B	1.7194	0.0065488	3034	8
RTL8A	1.7184	0.0053709	3035	8
GCC1	1.7166	0.0083201	3036	8
ELOB	1.7155	0.0045336	3037	8
LAMA2	1.7149	0.011397	3038	8
APOL4	1.7138	0.0079533	3039	8
MBD5	1.713	0.0098861	3040	8
SAC3D1	1.7118	0.0062738	3041	8
MTMR4	1.7116	0.0080084	3042	8
MTMR14	1.7111	0.0043436	3043	8
CLTCL1	1.71	0.0056962	3044	8
RAB7B	1.71	0.012871	3045	8
CRYZ	1.7099	0.0064607	3046	8
NAXE	1.7093	0.0065654	3047	8
CRTC3	1.7093	0.0049044	3048	8
GABPB1-IT1	1.7078	0.005566	3049	8
CMAS	1.7073	0.0051831	3050	8
CYFIP2	1.7063	0.0085844	3051	8
BAALC-AS2	1.7058	0.010082	3052	8
EXTL3	1.7056	0.010214	3053	8
LOC101927278	1.7047	0.011635	3054	8
TAB3	1.7047	0.0090792	3055	8
SQLE	1.7042	0.0062002	3056	8
PLPP5	1.7027	0.010346	3057	8
ALYREF	1.7025	0.0048587	3058	8
BANK1	1.7017	0.0065949	3059	8
LOC257396	1.7011	0.0065683	3060	8
RAP2B	1.7006	0.0029627	3061	8
DCAF15	1.7004	0.0067098	3062	8
YIPF1	1.7001	0.007424	3063	8
YPEL3	1.6987	0.0058399	3064	8
PTPRJ	1.6986	0.007742	3065	8
CTXN3	1.6984	0.010547	3066	8
ZMAT3	1.6983	0.0059958	3067	8
MAN2A1	1.6979	0.009212	3068	8
TMEM151A	1.6978	0.010112	3069	8
WDR6	1.6974	0.0054796	3070	8
CTNND2	1.6973	0.0054247	3071	8
ZNF519	1.6968	0.0035986	3072	8
GRIA4	1.6961	0.0076756	3073	8
CSTF2	1.6961	0.0053438	3074	8
HECTD1	1.696	0.0053424	3075	8
HBQ1	1.6957	0.0038165	3076	8
RCHY1	1.6956	0.0058128	3077	8
AP1S1	1.6943	0.0055002	3078	8
KRTAP5-6	1.6936	0.0097226	3079	8
COPS4	1.6917	0.0029262	3080	8
MRPL42	1.6906	0.010692	3081	8
B3GALT1	1.6903	0.0049322	3082	8
EHBP1L1	1.6903	0.0073425	3083	8
ARHGEF3	1.69	0.0080007	3084	8
KIAA1107	1.6889	0.0036234	3085	8
UBE2D4	1.6868	0.0087546	3086.5	8
UBE3A	1.6868	0.0060596	3086.5	8
POLR2H	1.6862	0.0094234	3088	8
RASSF5	1.6861	0.0079877	3089	8
TMEM256	1.6859	0.0036625	3090	8
CD200	1.6846	0.0096839	3091	8
CD99L2	1.6837	0.0064457	3092	8
DHX35	1.6831	0.0044168	3093	8
NCOA2	1.6827	0.0070995	3094	8
UBLCP1	1.6825	0.0075309	3095	8
BTBD9	1.6801	0.0039308	3096	8
LARP6	1.6783	0.0068532	3097	8
MED7	1.6779	0.009291	3098	8
HDDC3	1.6772	0.0099769	3099	8
SFTA1P	1.6768	0.007879	3100	8
DBT	1.6766	0.0089617	3101	8
GALNT2	1.6762	0.010472	3102	8
FOXF2	1.6744	0.0088832	3103	8
ACKR3	1.6739	0.004822	3104	8
ZNF317	1.6736	0.0051233	3105	8
UBQLN1	1.6722	0.0091491	3106	8
COPG1	1.6719	0.010521	3107	8
OR10K1	1.6717	0.0060187	3108	8
DNHD1	1.6706	0.0065134	3109	8
CHRNA4	1.6698	0.0095788	3110	8
PTPN5	1.6693	0.0076202	3111	8
SRPRA	1.6692	0.011083	3112	8
SFI1	1.6692	0.0047825	3113	8
ZDHHC14	1.6689	0.0068974	3114	8
RTL6	1.6674	0.0060635	3115	8
DFFB	1.6672	0.0055084	3116	8
ISLR	1.6672	0.0077753	3117	8
AARS	1.6652	0.0098272	3118	8
HEXB	1.6651	0.010711	3119	8
IFI6	1.6647	0.01203	3120	8
C16orf91	1.6641	0.010164	3121	8
CPEB3	1.664	0.0056114	3122	8
ZSCAN26	1.6638	0.00822	3123	8
C9orf24	1.6626	0.012659	3124	8
SLC12A5	1.6617	0.0046037	3125	8
NAE1	1.6615	0.0091144	3126	8
SPRY1	1.6615	0.0064029	3127	8
SCN2B	1.6608	0.0059041	3128	8
SLC4A10	1.6608	0.010357	3129	8
NSUN4	1.6607	0.0080147	3130	8
DDX1	1.6603	0.010376	3131	8
SKIDA1	1.6596	0.0033866	3132	8
HECW1	1.6593	0.0037177	3133	8
GABRA1	1.6591	0.0027568	3134	8
SPTBN4	1.6588	0.0033471	3135	8
EIF5	1.6584	0.0054818	3136	8
IQCJ	1.6576	0.0082551	3137	8
SERPINB2	1.6574	0.0094306	3138	8
SKAP1	1.6571	0.0097861	3139	8
DNAJC3-AS1	1.6568	0.0076724	3140	8
MED10	1.6557	0.0069746	3141	8
KITLG	1.6554	0.0073793	3142	8
FAM153A	1.6535	0.0072257	3143	8
NAA50	1.6534	0.00652	3144	8
CNTNAP1	1.6533	0.005693	3145	8
SHC1	1.6523	0.0064367	3146	8
PCGF6	1.6519	0.0051691	3147	8
TPM3	1.6503	0.0022936	3148	8
MZT1	1.6494	0.0081036	3149	8
ISYNA1	1.6493	0.0047047	3150	8
ERO1A	1.649	0.0071915	3151	8
VMO1	1.6481	0.012134	3152	8
ZNF226	1.6476	0.0021891	3153	8
ARL4D	1.647	0.010196	3154	8
ANKRD33B	1.6455	0.0044554	3155	8
PTPN4	1.6445	0.004497	3156	8
MED26	1.6437	0.01132	3157	8
CACNA2D1	1.641	0.0096411	3158	8
RCAN2	1.6404	0.0076353	3159	8
C2CD2	1.6401	0.010429	3160	8
ZNF777	1.6399	0.0053262	3161	8
SDK2	1.6386	0.0049111	3162	8
CYS1	1.6382	0.0082881	3163	8
TRIM35	1.6381	0.0058812	3164	8
LOC653080	1.6378	0.0085666	3165	8
CEP63	1.6377	0.0086743	3166	8
FGD3	1.6364	0.0048694	3167	8
VWA3A	1.6346	0.0071359	3168	8
C1QTNF12	1.6323	0.0071053	3169	8
FAM27E3	1.6323	0.010315	3170	8
HOPX	1.6304	0.0059841	3171	8
DNAJC17	1.6292	0.0069448	3172	8
PER1	1.6286	0.0055727	3173	8
ZBTB3	1.6286	0.0068272	3174	8
PHF6	1.6282	0.0086776	3175	8
P2RY14	1.6279	0.0079257	3176	8
MRPL55	1.6277	0.0069341	3177.5	8
TMEM159	1.6277	0.0033663	3177.5	8
OAZ3	1.6263	0.0055503	3179	8
RFC3	1.6256	0.0074864	3180	8
TET3	1.6247	0.0054085	3181	8
HPCAL4	1.6234	0.0048264	3182	8
USP1	1.6231	0.0087846	3183	8
NEMF	1.6226	0.0072543	3184	8
DHRS2	1.6225	0.0042447	3185	8
PACS1	1.6215	0.0054909	3186	8
GJD4	1.6214	0.0094882	3187	8
TMX4	1.6212	0.009562	3188	8
MECR	1.6205	0.0078903	3189	8
EID3	1.6196	0.0058125	3190	8
FSD1	1.6186	0.0084221	3191	8
ICA1L	1.6174	0.0093202	3192	8
GABRE	1.6171	0.0088126	3193	8
MLEC	1.6158	0.0054321	3194	8
EPHA4	1.6157	0.0085289	3195	8
SELENOO	1.6153	0.0048073	3196	8
DOK4	1.6146	0.0048788	3197	8
CCS	1.6137	0.0061719	3198	8
ZNF574	1.6137	0.0057656	3199	8
OAZ1	1.6135	0.0038292	3200	8
ZNF281	1.6129	0.0059301	3201	8
SIX3	1.6126	0.0068768	3202	8
PDRG1	1.6112	0.0078465	3203	8
PAOX	1.61	0.0058081	3204	8
PLXDC1	1.609	0.0038067	3205	8
PVR	1.6078	0.0043112	3206	8
NLRX1	1.6076	0.0050549	3207	8
KCNJ11	1.606	0.0067826	3208	8
MRPL35	1.606	0.0098228	3209	8
RHOXF1	1.6055	0.0034544	3210	8
LINC00933	1.6054	0.0070996	3211	8
ZSWIM9	1.6041	0.0056926	3212	8
ESYT1	1.6039	0.0088699	3213	8
FLOT1	1.6039	0.011253	3214	8
LOC441666	1.6032	0.0063646	3215	8
MYSM1	1.6027	0.0060386	3216	8
MAST4	1.6014	0.0034319	3217	8
CCND3	1.5999	0.0064118	3218	8
C2orf81	1.5992	0.0091793	3219	8
BSPRY	1.5989	0.0057253	3220	8
UBQLN2	1.5987	0.00941	3221	8
SDCCAG3	1.5976	0.0072525	3222	8
LIN7B	1.5958	0.0030968	3223	8
DNAH5	1.5948	0.0036626	3224	8
HMGB3	1.5941	0.0065691	3225	8
ZRANB1	1.5936	0.0038906	3226	8
PRKN	1.5935	0.0074798	3227	8
ZNF324	1.5934	0.0071728	3228	8
MKRN1	1.5932	0.010496	3229	8
MSANTD2	1.5909	0.0033953	3230	8
LCP2	1.5907	0.010989	3231	8
ASMTL-AS1	1.5906	0.00897	3232	8
CENPVL3	1.5904	0.0025549	3233	8
CEP72	1.5895	0.005983	3234	8
PPP1R21	1.5891	0.0080888	3235	8
FAT3	1.5885	0.0068463	3236	8
SLC32A1	1.5881	0.0065642	3237	8
TRAPPC1	1.5868	0.0093722	3238	8
TEKT2	1.5866	0.0061083	3239	8
ARHGEF17	1.586	0.006897	3240	8
SLC24A4	1.5846	0.0092069	3241	8
TMEM107	1.5843	0.0065341	3242	8
SLC19A2	1.5842	0.0040553	3243	8
KSR2	1.5815	0.0056031	3244	8
SLC25A46	1.5813	0.0093041	3245	8
CWF19L1	1.5806	0.0064197	3246	8
CERS1	1.5799	0.003968	3247	8
NFKBIL1	1.5798	0.0068511	3248	8
PDE6H	1.5795	0.0093056	3249	8
FAT1	1.5794	0.0068589	3250	8
ITGB1BP2	1.5791	0.0055696	3251	8
OCEL1	1.5789	0.0071585	3252	8
CAP1	1.5764	0.0041725	3253	8
BCLAF1	1.5761	0.0068615	3254	8
CNST	1.5756	0.0029535	3255	8
LINC01353	1.5754	0.0075936	3256	8
MIGA1	1.5728	0.01108	3257	8
LOC100996455	1.5726	0.0054453	3258	8
NDUFAF4	1.5726	0.011191	3259	8
PRICKLE1	1.5715	0.0045468	3260	8
NPTXR	1.5695	0.0041042	3261	8
ALK	1.5695	0.0053828	3262	8
TRAPPC6B	1.5685	0.0077673	3263	8
TRAF6	1.5683	0.00737	3264	8
KRTAP20-1	1.5682	0.010446	3265	8
UBQLN4	1.568	0.0078468	3266	8
HYAL3	1.566	0.0097912	3267	8
PTDSS1	1.5658	0.0058352	3268	8
RBBP7	1.5656	0.0035048	3269	8
PSMD13	1.5653	0.0077934	3270	8
DNAJC24	1.565	0.0055425	3271	8
TSHZ3	1.5648	0.0090892	3272	8
BLOC1S2	1.5647	0.004529	3273	8
CIAPIN1	1.5645	0.010026	3274	8
MIR124-2HG	1.5626	0.0044225	3275	8
NUDT16L1	1.5625	0.0050853	3276	8
SLC22A10	1.5617	0.0087544	3277	8
TMEM60	1.5616	0.0087963	3278	8
MAFF	1.5606	0.0075461	3279	8
NFIL3	1.5601	0.004047	3280	8
INSM2	1.5595	0.0041441	3281	8
ZNF30	1.5585	0.0054932	3282	8
GSDME	1.558	0.0080398	3283	8
MIF-AS1	1.5577	0.0054005	3284	8
SCYL3	1.557	0.0083996	3285	8
MED8	1.557	0.006291	3286	8
RNF24	1.5568	0.0059421	3287	8
GTF2A1	1.5562	0.0039978	3288	8
UQCRC2	1.5545	0.010004	3289	8
CAMK2A	1.5543	0.0090708	3290	8
LEMD3	1.5525	0.0048316	3291	8
FNBP1L	1.5523	0.0049763	3292	8
SAMD14	1.5516	0.0061614	3293	8
GJB5	1.5499	0.0087653	3294	8
TMEM141	1.5493	0.0085082	3295	8
MPP6	1.5492	0.0056105	3296	8
CCNA1	1.5477	0.0069975	3297	8
TMEM52	1.5474	0.003931	3298	8
MAN1A1	1.546	0.0038993	3299	8
ZNF598	1.5457	0.0047254	3300	8
SCFD2	1.5457	0.010566	3301	8
ARG2	1.5442	0.0063738	3302	8
MAD2L1	1.5435	0.0054211	3303	8
PUM3	1.5435	0.0042732	3304	8
ANKS3	1.5429	0.0036815	3305	8
TMEM132D	1.5417	0.0097267	3306	8
USP9Y	1.5416	0.0047397	3307	8
ZNF214	1.5406	0.0081142	3308	8
RAB35	1.5397	0.0041193	3309	8
EPB41L4B	1.539	0.0055756	3310	8
ARL5B	1.5388	0.0050936	3311	8
GCLM	1.5386	0.010844	3312	8
SUSD4	1.5386	0.0074901	3313	8
GALNT13	1.5381	0.0070734	3314	8
MRPL14	1.5377	0.0055667	3315	8
AASDHPPT	1.5373	0.0082328	3316	8
TMEM241	1.5366	0.004793	3317	8
ZADH2	1.5366	0.0035848	3318	8
NCAM2	1.5366	0.0045549	3319	8
TRAPPC6A	1.5363	0.0032855	3320	8
HNRNPK	1.5349	0.0060974	3321	8
PHLDB2	1.5347	0.0067701	3322	8
NSG1	1.5338	0.0087431	3323	8
RBPMS2	1.5324	0.010745	3324	8
JPH4	1.5305	0.0063905	3325	8
RAB23	1.5304	0.0053497	3326	8
SSR1	1.5289	0.0090452	3327	8
ZNF783	1.5287	0.0061748	3328	8
EVI5	1.528	0.0080337	3329	8
KCTD15	1.5274	0.0056669	3330	8
TSPAN14	1.527	0.0062407	3331	8
RBP1	1.5267	0.0073396	3332	8
COA3	1.5258	0.0047306	3333	8
PLD3	1.5258	0.0068104	3334	8
TAPBP	1.5256	0.0094281	3335	8
XPR1	1.5242	0.0052011	3336	8
FBXO33	1.5241	0.0051768	3337	8
BET1L	1.5241	0.0066465	3338	8
ATP8A2	1.524	0.0041432	3339	8
PPP1CA	1.5238	0.0074649	3340	8
VASN	1.5219	0.0097556	3341	8
DMAC1	1.5213	0.0061052	3342	8
PSMB6	1.5213	0.0063411	3343	8
FAM20B	1.5198	0.0081992	3344	8
INSM1	1.5191	0.0075466	3345	8
