gene	thinning_Z_ds25	U_ds25_thinning	rank_ds25	decile_ds25
CDYL2	6.5553	0.02075	160	10
TMEM178B	6.5385	0.01926	161	10
ANKRD30B	6.5368	0.021127	162	10
SERPINI1	6.5339	0.022617	163	10
IGSF3	6.5256	0.024693	164	10
NECAB1	6.517	0.021311	165	10
OVOL2	6.5084	0.018752	166	10
SFTPD	6.5055	0.012539	167	10
CRIP2	6.4701	0.011332	168	10
EIF4ENIF1	6.4464	0.020733	169	10
C3orf80	6.4454	0.023151	170	10
SLC26A4-AS1	6.4286	0.010107	171	10
HTR3B	6.4249	0.020907	172	10
RASD1	6.4015	0.022246	173	10
AAGAB	6.4005	0.022626	174	10
GPD1L	6.3998	0.019754	175	10
GYG2P1	6.3948	0.019813	176	10
UBE2D3	6.3835	0.019851	177	10
SMARCAL1	6.3822	0.019948	178	10
LAMB1	6.3785	0.020927	179	10
CDH9	6.378	0.016147	180	10
GRAMD4	6.3711	0.013536	181	10
RIMS3	6.368	0.015761	182	10
KCNG3	6.3651	0.014625	183	10
GPR162	6.3564	0.015386	184	10
NFKBIE	6.3484	0.013695	185	10
PDE1B	6.3461	0.020151	186	10
CCDC68	6.3277	0.018277	187	10
ZNF780A	6.3163	0.022077	188	10
RNGTT	6.3141	0.016726	189	10
CHL1	6.3105	0.017987	190	10
ARHGAP20	6.3078	0.020835	191	10
FAM102B	6.3052	0.015552	192	10
BBS12	6.3048	0.01868	193	10
FGFR1OP2	6.3012	0.017784	194	10
MUM1L1	6.2989	0.018356	195	10
TOX	6.2976	0.023512	196	10
LYPD6B	6.2833	0.021443	197	10
GGCT	6.2639	0.0089645	198	10
DPP10	6.2587	0.014628	199	10
HS6ST1	6.2506	0.020546	200	10
BICC1	6.2231	0.021608	201	10
LRRC73	6.221	0.014506	202	10
PANX1	6.2188	0.020498	203	10
GLRA3	6.195	0.014589	204	10
E2F3	6.1908	0.015181	205	10
DCUN1D3	6.188	0.019985	206	10
ST6GALNAC5	6.1825	0.012708	207	10
CDC40	6.1694	0.022472	208	10
UBR1	6.1669	0.021053	209	10
LINC00507	6.1667	0.017519	210	10
PLEKHG5	6.1612	0.021941	211	10
SPICE1	6.1475	0.016218	212	10
RGS4	6.1261	0.018568	213	10
PDCD2L	6.1185	0.013349	214	10
OPRM1	6.1135	0.013944	215	10
ADAMTS3	6.1063	0.016385	216	10
LOC440040	6.1044	0.021142	217	10
CA10	6.1027	0.015507	218	10
CYP2E1	6.1001	0.021208	219	10
IL1RAPL2	6.0995	0.024204	220	10
PRTN3	6.0877	0.018312	221	10
TAPT1	6.0832	0.015508	222	10
FAM234B	6.0723	0.020046	223	10
RASGRF2	6.072	0.022409	224	10
RHEBL1	6.0624	0.019895	225	10
CASQ1	6.0557	0.021974	226	10
MGEA5	6.0555	0.021698	227	10
CMAHP	6.0533	0.023754	228	10
SMKR1	6.0501	0.015535	229	10
WAC-AS1	6.0437	0.022797	230	10
KCNIP4	6.0424	0.021342	231	10
ENOX1	6.04	0.015377	232	10
LINC00672	6.0274	0.017142	233	10
ZNF529	6.0259	0.020832	234	10
PGRMC2	6.0125	0.018563	235	10
KLHL12	6.0118	0.01285	236	10
PCDH10	5.9938	0.020642	237	10
NMU	5.9926	0.021326	238	10
RTN4RL1	5.9782	0.017902	239	10
KRAS	5.9663	0.018992	240	10
LY86-AS1	5.9639	0.017231	241	10
RNF219	5.9477	0.019045	242	10
GOLPH3L	5.9424	0.019838	243	10
FZD3	5.9397	0.021923	244	10
NGEF	5.9392	0.012427	245	10
ZNF585A	5.9386	0.013843	246	10
LOC441204	5.9272	0.022331	247	10
TMEM200C	5.9255	0.022061	248	10
NEUROD6	5.9245	0.017591	249	10
MEGF8	5.9189	0.018139	250	10
TNFAIP8L1	5.9107	0.014635	251	10
GOLGA3	5.91	0.017572	252	10
ADCYAP1	5.9061	0.022181	253	10
NRCAM	5.9054	0.01893	254	10
KLHL18	5.8971	0.018414	255	10
ATP6V0A1	5.8875	0.021924	256	10
RTP1	5.8845	0.016588	257	10
IER5	5.8795	0.011131	258	10
ANKRD24	5.8423	0.012941	259	10
NSD3	5.8343	0.021922	260	10
FILIP1L	5.8252	0.016825	261	10
NUP50	5.8002	0.015926	262	10
RUFY2	5.7988	0.01919	263	10
KBTBD11	5.7964	0.022781	264	10
ANKRD28	5.7954	0.021305	265	10
TSPYL4	5.7953	0.01458	266	10
CD83	5.7928	0.013109	267	10
WASF1	5.7905	0.019688	268	10
CAMKK2	5.7886	0.011185	269	10
FAM117B	5.7849	0.022523	270	10
ARHGAP28	5.7761	0.014156	271	10
ZNF184	5.7721	0.016405	272	10
NUDT16	5.7717	0.012767	273	10
MPP2	5.7589	0.017113	274	10
USP20	5.7494	0.019635	275	10
RASL11B	5.7441	0.016043	276	10
FHL2	5.743	0.01801	277	10
KCNJ4	5.7416	0.022071	278	10
DNAJC30	5.7408	0.014303	279	10
HSPA13	5.7359	0.014214	280	10
EXD3	5.7346	0.018708	281	10
ALG13	5.7318	0.021344	282	10
LGI4	5.7283	0.013514	283	10
RNF112	5.7223	0.015621	284	10
TMEM121	5.7212	0.0208	285.5	10
PAH	5.7212	0.016486	285.5	10
RPRM	5.7114	0.021804	287	10
GTF2H3	5.7096	0.015215	288	10
SLITRK5	5.697	0.02178	289	10
HTR1E	5.6962	0.023051	290	10
RAPH1	5.6957	0.016629	291	10
KLHL26	5.6952	0.019077	292	10
ATP6V1C1	5.6935	0.010113	293	10
KY	5.6902	0.017971	294	10
OSTF1	5.688	0.017492	295	10
OPN3	5.6807	0.012946	296	10
MCTP1	5.6782	0.014231	297	10
NDEL1	5.6748	0.021879	298	10
ZDHHC21	5.672	0.018039	299	10
ACTN2	5.6663	0.023488	300	10
FTCD	5.665	0.02017	301	10
NAP1L5	5.6612	0.020065	302	10
GSG1	5.6503	0.010647	303	10
TSNAXIP1	5.6392	0.014783	304	10
TTC33	5.6355	0.01243	305	10
SYT16	5.6345	0.02134	306	10
SYT5	5.632	0.018315	307	10
CD6	5.6296	0.015602	308	10
KCNE2	5.6238	0.017888	309	10
RETREG1	5.6116	0.021111	310	10
PRKAR2B	5.6054	0.017722	311	10
LOC105377621	5.6011	0.016818	312	10
MAP4	5.5994	0.015184	313	10
CNNM4	5.5982	0.020242	314	10
PNMA5	5.5948	0.019242	315	10
PPID	5.5938	0.01505	316	10
ASH2L	5.5883	0.012988	317	10
GULP1	5.5882	0.019266	318	10
OR14I1	5.573	0.019144	319	10
METTL21C	5.5643	0.024213	320	10
LONRF2	5.5603	0.014901	321	10
MKL2	5.5482	0.015615	322	10
C19orf12	5.5411	0.014646	323	10
PLEKHA1	5.5369	0.015893	324	10
SMC1A	5.5329	0.01416	325	10
TSHZ2	5.531	0.021261	326	10
ST8SIA3	5.5166	0.019908	327	10
YWHAG	5.5057	0.02108	328	10
BASP1	5.5004	0.017388	329	10
YWHAH	5.4951	0.012729	330	10
CDKN3	5.4943	0.018516	331	10
C1S	5.4905	0.014825	332	10
FUT9	5.4859	0.021386	333	10
NPRL2	5.4783	0.021249	334	10
RFTN1	5.4749	0.017549	335	10
ADTRP	5.4627	0.016098	336	10
TBC1D24	5.4591	0.013397	337	10
ZNF829	5.4578	0.01926	338	10
DOCK9-AS2	5.4572	0.021823	339	10
BRWD1	5.4571	0.0095013	340	10
TRAPPC9	5.4533	0.020776	341	10
BATF3	5.4531	0.0077544	342	10
DRC1	5.45	0.019858	343	10
TDRKH	5.4487	0.015087	344	10
TNNC2	5.4334	0.010402	345	10
HPCAL1	5.4322	0.013924	346	10
GRIA2	5.4319	0.019533	347	10
NUDT9P1	5.4296	0.021279	348	10
SND1	5.428	0.017543	349	10
CHD5	5.4254	0.018722	350	10
P2RX5	5.4232	0.012774	351	10
DUSP3	5.4167	0.017292	352	10
SVOP	5.4157	0.012	353	10
LRRC75B	5.4098	0.021633	354	10
LPL	5.4045	0.018985	355	10
AMER3	5.4035	0.01738	356	10
HPS6	5.3961	0.022178	357	10
LARP1	5.3948	0.01129	358	10
RYK	5.3876	0.022576	359	10
STK32C	5.3825	0.010648	360	10
DEPDC5	5.3823	0.016734	361	10
UBE2Z	5.3815	0.010619	362	10
PRNP	5.3679	0.014461	363	10
CELF4	5.3665	0.015265	364	10
TLE3	5.364	0.017249	365	10
SYT14	5.3578	0.021959	366	10
LOC105378853	5.3574	0.018217	367	10
IGF1	5.3567	0.014047	368	10
MRPS2	5.3565	0.017842	369	10
RUNDC3A	5.3558	0.0095691	370	10
ZNF222	5.3468	0.011834	371	10
GTF3C4	5.3429	0.020811	372	10
OCRL	5.3427	0.017341	373	10
TUBA1B	5.342	0.011924	374	10
FLJ20021	5.3414	0.016303	375	10
