label,thinning_score
lh_bankssts,37.893
lh_caudalanteriorcingulate,-43.783
lh_caudalmiddlefrontal,21.28
lh_cuneus,-45.126
lh_entorhinal,-88.802
lh_fusiform,12.581
lh_inferiorparietal,7.154
lh_inferiortemporal,15.457
lh_isthmuscingulate,-29.975
lh_lateraloccipital,-17.518
lh_lateralorbitofrontal,37.833
lh_lingual,-45.048
lh_medialorbitofrontal,48.622
lh_middletemporal,19.092
lh_parahippocampal,-27.935
lh_paracentral,-0.54033
lh_parsopercularis,24.279
lh_parsorbitalis,50.269
lh_parstriangularis,49.151
lh_pericalcarine,-88.833
lh_postcentral,-23.341
lh_posteriorcingulate,7.6738
lh_precentral,-5.9092
lh_precuneus,24.001
lh_rostralanteriorcingulate,9.331
lh_rostralmiddlefrontal,47.82
lh_superiorfrontal,27.636
lh_superiorparietal,3.8085
lh_superiortemporal,20.019
lh_supramarginal,24.997
lh_frontalpole,
lh_temporalpole,-54.138
lh_transversetemporal,-32.299
lh_insula,14.352
rh_bankssts,37.893
rh_caudalanteriorcingulate,-43.783
rh_caudalmiddlefrontal,21.28
rh_cuneus,-45.126
rh_entorhinal,-88.802
rh_fusiform,12.581
rh_inferiorparietal,7.154
rh_inferiortemporal,15.457
rh_isthmuscingulate,-29.975
rh_lateraloccipital,-17.518
rh_lateralorbitofrontal,37.833
rh_lingual,-45.048
rh_medialorbitofrontal,48.622
rh_middletemporal,19.092
rh_parahippocampal,-27.935
rh_paracentral,-0.54033
rh_parsopercularis,24.279
rh_parsorbitalis,50.269
rh_parstriangularis,49.151
rh_pericalcarine,-88.833
rh_postcentral,-23.341
rh_posteriorcingulate,7.6738
rh_precentral,-5.9092
rh_precuneus,24.001
rh_rostralanteriorcingulate,9.331
rh_rostralmiddlefrontal,47.82
rh_superiorfrontal,27.636
rh_superiorparietal,3.8085
rh_superiortemporal,20.019
rh_supramarginal,24.997
rh_frontalpole,
rh_temporalpole,-54.138
rh_transversetemporal,-32.299
rh_insula,14.352
