stratum	phenotype	h2	se	pval	n
EUR_anchor	baseline_thickness	0.3101	0.1067	2.7967e-03	3159
EUR_anchor	global_slope	0.1011	0.1046	1.6372e-01	3159
EUR_anchor	slope_PC3	0.0860	0.1071	2.1324e-01	3159
EUR_anchor	slope_PC2	0.1613	0.1063	6.6920e-02	3159
EUR_anchor	slope_PC1	0.1862	0.1051	3.8276e-02	3159
cluster1	baseline_thickness	0.0000	0.2312	5.0000e-01	966
cluster1	global_slope	0.0000	0.2346	5.0000e-01	966
cluster1	slope_PC3	0.2995	0.2768	1.2165e-01	966
cluster1	slope_PC2	0.0000	0.2158	5.0000e-01	966
cluster1	slope_PC1	0.0322	0.2122	4.3630e-01	966
cluster2	baseline_thickness	0.0628	0.4268	4.4022e-01	571
cluster2	global_slope	0.0000	0.4529	5.0000e-01	571
cluster2	slope_PC3	0.3643	0.4106	1.9678e-01	571
cluster2	slope_PC2	0.0844	0.4310	4.2184e-01	571
cluster2	slope_PC1	0.0848	0.4346	4.2269e-01	571
EURlike	baseline_thickness	0.3653	0.0852	2.1536e-05	3968
EURlike	global_slope	0.1123	0.0837	8.7092e-02	3968
EURlike	slope_PC3	0.1354	0.0835	4.9471e-02	3968
EURlike	slope_PC2	0.0909	0.0852	1.4481e-01	3968
EURlike	slope_PC1	0.1548	0.0843	3.2388e-02	3968
