trait	model	set	submodel	n_genes	beta	beta_std	se	p
baseline_thickness	cond_on_pool	SCZ_locus_pool	5	457	0.21378	0.033272	0.058604	0.00013271
baseline_thickness	cond_on_pool	SCZ_prioritised	5	101	-0.11384	-0.0084116	0.10333	0.8647
baseline_thickness	cond_on_pool	SCZ_locus_pool	6	457	0.21378	0.033272	0.058604	0.00013271
baseline_thickness	cond_on_pool	SCZ_prioritised_pc	6	101	-0.11384	-0.0084116	0.10333	0.8647
global_slope	cond_on_pool	SCZ_locus_pool	1	457	0.015797	0.0024587	0.091224	0.43126
global_slope	cond_on_pool	SCZ_pool_not_prio	1	356	0.12758	0.017575	0.10351	0.10889
global_slope	cond_on_pool	SCZ_locus_pool	2	457	0.14413	0.022433	0.056499	0.0053754
global_slope	cond_on_pool	SCZ_prio_finemap	2	61	-0.19288	-0.011088	0.12631	0.93661
global_slope	cond_on_pool	SCZ_locus_pool	3	457	0.099094	0.015423	0.051959	0.028259
global_slope	cond_on_pool	SCZ_prio_rare	3	7	0.53226	0.01038	0.39004	0.086197
global_slope	cond_on_pool	SCZ_locus_pool	4	457	0.10798	0.016806	0.053349	0.021493
global_slope	cond_on_pool	SCZ_prio_smr	4	44	0.00674	0.00032922	0.14981	0.48206
global_slope	cond_on_pool	SCZ_locus_pool	5	457	0.14338	0.022315	0.058711	0.0073073
global_slope	cond_on_pool	SCZ_prioritised	5	101	-0.12758	-0.0094269	0.10351	0.89111
global_slope	cond_on_pool	SCZ_locus_pool	6	457	0.14338	0.022315	0.058711	0.0073073
global_slope	cond_on_pool	SCZ_prioritised_pc	6	101	-0.12758	-0.0094269	0.10351	0.89111
MDD	cond_on_pool	SCZ_locus_pool	1	460	1.0753	0.16511	0.13264	2.8017e-16
MDD	cond_on_pool	SCZ_pool_not_prio	1	356	-0.45473	-0.061596	0.14922	0.99884
MDD	cond_on_pool	SCZ_locus_pool	2	460	0.63991	0.098257	0.076738	4.0849e-17
MDD	cond_on_pool	SCZ_prio_finemap	2	64	0.50372	0.029156	0.17696	0.0022127
MDD	cond_on_pool	SCZ_locus_pool	3	460	0.70493	0.10824	0.070379	7.7322e-24
MDD	cond_on_pool	SCZ_prio_rare	3	7	1.3726	0.026313	0.51066	0.0036002
MDD	cond_on_pool	SCZ_locus_pool	4	460	0.71988	0.11054	0.071695	6.0304e-24
MDD	cond_on_pool	SCZ_prio_smr	4	44	0.15209	0.0073029	0.22186	0.24652
MDD	cond_on_pool	SCZ_locus_pool	5	460	0.62059	0.095291	0.078596	1.5432e-15
MDD	cond_on_pool	SCZ_prioritised	5	104	0.45473	0.033516	0.14922	0.0011561
MDD	cond_on_pool	SCZ_locus_pool	6	460	0.62059	0.095291	0.078596	1.5432e-15
MDD	cond_on_pool	SCZ_prioritised_pc	6	104	0.45473	0.033516	0.14922	0.0011561
SCZ	cond_on_pool	SCZ_locus_pool	1	457	2.8797	0.44762	0.12716	6.6372e-112
SCZ	cond_on_pool	SCZ_pool_not_prio	1	356	-0.61254	-0.08427	0.14238	0.99999
SCZ	cond_on_pool	SCZ_locus_pool	2	457	2.322	0.36093	0.07356	7.4965e-212
