comparison	variable	type	n_genes	beta	se	p
baseline_thickness_ahba_components_posneg	C1+	COVAR	6939	-0.025787	0.035203	0.46387
baseline_thickness_ahba_components_posneg	C2+	COVAR	6939	0.023232	0.055508	0.67557
baseline_thickness_ahba_components_posneg	C3+	COVAR	6939	0.060108	0.071563	0.40098
baseline_thickness_ahba_components_posneg	C1-	COVAR	6939	0.023841	0.033317	0.47428
baseline_thickness_ahba_components_posneg	C2-	COVAR	6939	0.0088989	0.063152	0.88794
baseline_thickness_ahba_components_posneg	C3-	COVAR	6939	-0.09111	0.073671	0.21624
baseline_thickness_snrnaseq_pc1	PC1_herringV3+	COVAR	15479	1.104	1.4447	0.44478
baseline_thickness_snrnaseq_pc1	PC1_U01V2+	COVAR	15479	2.6847	1.2287	0.028904
baseline_thickness_snrnaseq_pc1	PC1_herringV3-	COVAR	15479	1.2401	2.382	0.60265
baseline_thickness_snrnaseq_pc1	PC1_U01V2-	COVAR	15479	-17.396	11.595	0.13357
global_slope_ahba_components_posneg	C1+	COVAR	6939	-0.0071398	0.034869	0.83777
global_slope_ahba_components_posneg	C2+	COVAR	6939	0.049531	0.054976	0.36764
global_slope_ahba_components_posneg	C3+	COVAR	6939	0.060535	0.070881	0.39312
global_slope_ahba_components_posneg	C1-	COVAR	6939	-0.046069	0.032996	0.1627
global_slope_ahba_components_posneg	C2-	COVAR	6939	-0.028365	0.06255	0.65022
global_slope_ahba_components_posneg	C3-	COVAR	6939	0.040842	0.072976	0.57573
global_slope_snrnaseq_pc1	PC1_herringV3+	COVAR	15479	0.042417	1.4439	0.97657
global_slope_snrnaseq_pc1	PC1_U01V2+	COVAR	15479	1.1409	1.2282	0.35295
global_slope_snrnaseq_pc1	PC1_herringV3-	COVAR	15479	1.4572	2.3806	0.54048
global_slope_snrnaseq_pc1	PC1_U01V2-	COVAR	15479	6.1928	11.59	0.59312
MDD_vs_baseline_thickness	baseline_thickness	COVAR	18223	0.045683	0.011269	5.0661e-05
