cell	method	beta_PGC3_dk	se_PGC3_dk	p_adj_PGC3_dk	n_PGC3_dk	beta_PGC3_hcp	se_PGC3_hcp	p_adj_PGC3_hcp	n_PGC3_hcp	beta_2025_dk	se_2025_dk	p_adj_2025_dk	n_2025_dk	beta_2025_hcp	se_2025_hcp	p_adj_2025_hcp	n_2025_hcp
EUR GWAS -> EUR	CT	-0.03824	0.01465	0.07271	4308	-0.0396	0.01478	0.05911	4308	-0.04638	0.01465	0.01245	4308	-0.05098	0.01477	0.004508	4308
EUR GWAS -> EUR	PRSCS	-0.02612	0.01463	0.07421	4308	-0.02937	0.01475	0.0465	4308	-0.03619	0.01456	0.01296	4308	-0.04055	0.01467	0.005743	4308
EUR GWAS -> EUR	SBayesR	-0.02657	0.0147	0.07066	4308	-0.0338	0.01481	0.0225	4308	-0.03573	0.01456	0.01415	4308	-0.04222	0.01467	0.00403	4308
EUR GWAS -> EUR	SBayesRC	-0.02698	0.01459	0.06462	4308	-0.03323	0.01471	0.02389	4308	-0.03477	0.01453	0.01676	4308	-0.04182	0.01464	0.004311	4308
EUR GWAS -> EUR	PRSCSX									-0.03335	0.01449	0.02138	4308	-0.03504	0.0146	0.01648	4308
multi GWAS -> pooled (zanc)	CT	-0.03369	0.01037	0.009267	8596	-0.03526	0.01042	0.005732	8596	-0.02856	0.01036	0.04695	8596	-0.03253	0.01051	0.01573	8596
multi GWAS -> pooled (zanc)	PRSCS	-0.02417	0.01041	0.02025	8596	-0.02185	0.01046	0.0368	8596	-0.02412	0.01032	0.01949	8596	-0.02293	0.01037	0.0271	8596
multi GWAS -> pooled (zanc)	SBayesR	-0.03026	0.01047	0.003865	8596	-0.03017	0.01052	0.004154	8596	-0.022	0.01033	0.03323	8596	-0.02339	0.01038	0.02426	8596
multi GWAS -> pooled (zanc)	SBayesRC	-0.02893	0.01039	0.00537	8596	-0.02867	0.01044	0.006028	8596	-0.02761	0.01032	0.007476	8596	-0.02755	0.01037	0.007885	8596
multi GWAS -> pooled (zanc)	PRSCSX									-0.02019	0.01029	0.04984	8596	-0.01873	0.01034	0.07016	8596
ancestry-matched composite -> pooled	CT									-0.0312	0.01045	0.0227	8596	-0.03304	0.01051	0.01335	8596
ancestry-matched composite -> pooled	PRSCSX									-0.02189	0.01047	0.03657	8596	-0.01905	0.01053	0.07047	8596
multi GWAS -> EUR (secondary)	CT	-0.04248	0.01472	0.03143	4308	-0.0424	0.01486	0.03488	4308	-0.0354	0.01451	0.1178	4308	-0.03543	0.01462	0.1236	4308
multi GWAS -> EUR (secondary)	PRSCS	-0.0257	0.01451	0.07657	4308	-0.02655	0.01462	0.06957	4308	-0.03369	0.01443	0.01964	4308	-0.03699	0.01455	0.01102	4308
multi GWAS -> EUR (secondary)	SBayesR	-0.02411	0.01451	0.09682	4308	-0.02618	0.01462	0.07346	4308	-0.02832	0.01442	0.04961	4308	-0.0325	0.01453	0.02534	4308
multi GWAS -> EUR (secondary)	SBayesRC	-0.02984	0.01446	0.03908	4308	-0.03497	0.01456	0.01639	4308	-0.03349	0.01441	0.02017	4308	-0.03986	0.01452	0.006063	4308
multi GWAS -> EUR (secondary)	PRSCSX									-0.02892	0.01444	0.04522	4308	-0.03196	0.01455	0.02806	4308
