readout	phenotype	arm	method	comparable	value_dk	value_hcp	se_dk	se_hcp	p_dk	p_hcp	n_dk	n_hcp
PRS min-p perm EA	baseline_thickness	EUR	CT	yes	0.37131	0.32584					4308	4308
PRS min-p perm EA	global_slope	EUR	CT	yes	0.12344	0.44278					4308	4308
PRS min-p perm EA	slope_PC1	EUR	CT	no (atlas-specific PC)	0.77511	0.42929					4308	4308
PRS min-p perm EA	slope_PC2	EUR	CT	no (atlas-specific PC)	0.28736	0.098451					4308	4308
PRS min-p perm EA	slope_PC3	EUR	CT	no (atlas-specific PC)	0.63568	0.17341					4308	4308
PRS min-p perm MDD_eur	baseline_thickness	EUR	CT	yes	0.35882	0.31484					4308	4308
PRS min-p perm MDD_eur	global_slope	EUR	CT	yes	0.4048	0.46727					4308	4308
PRS min-p perm MDD_eur	slope_PC1	EUR	CT	no (atlas-specific PC)	0.27986	0.21539					4308	4308
PRS min-p perm MDD_eur	slope_PC2	EUR	CT	no (atlas-specific PC)	0.42429	0.64118					4308	4308
PRS min-p perm MDD_eur	slope_PC3	EUR	CT	no (atlas-specific PC)	0.10295	0.63618					4308	4308
PRS min-p perm MDD_pooled	baseline_thickness	full	CT	yes	0.042479	0.061969					8596	8596
PRS min-p perm MDD_pooled	global_slope	full	CT	yes	0.098951	0.26637					8596	8596
PRS min-p perm MDD_pooled	slope_PC1	full	CT	no (atlas-specific PC)	0.053973	0.14043					8596	8596
PRS min-p perm MDD_pooled	slope_PC2	full	CT	no (atlas-specific PC)	0.34833	0.66467					8596	8596
PRS min-p perm MDD_pooled	slope_PC3	full	CT	no (atlas-specific PC)	0.18191	0.49025					8596	8596
PRS min-p perm SCZ_eur	baseline_thickness	EUR	CT	yes	0.6067	0.48576					4308	4308
PRS min-p perm SCZ_eur	global_slope	EUR	CT	yes	0.052974	0.034983					4308	4308
PRS min-p perm SCZ_eur	slope_PC1	EUR	CT	no (atlas-specific PC)	0.018491	0.0064968					4308	4308
PRS min-p perm SCZ_eur	slope_PC2	EUR	CT	no (atlas-specific PC)	0.030485	0.048476					4308	4308
PRS min-p perm SCZ_eur	slope_PC3	EUR	CT	no (atlas-specific PC)	0.32384	0.22639					4308	4308
PRS min-p perm SCZ_pooled	baseline_thickness	full	CT	yes	0.54423	0.53973					8596	8596
PRS min-p perm SCZ_pooled	global_slope	full	CT	yes	0.0064968	0.0089955					8596	8596
PRS min-p perm SCZ_pooled	slope_PC1	full	CT	no (atlas-specific PC)	0.0094953	0.0069965					8596	8596
PRS min-p perm SCZ_pooled	slope_PC2	full	CT	no (atlas-specific PC)	0.15142	0.18791					8596	8596
PRS min-p perm SCZ_pooled	slope_PC3	full	CT	no (atlas-specific PC)	0.15292	0.90005					8596	8596
null prop_kin	baseline_thickness	EUR	GENESIS	yes	0.88366	0.90417					4308	4308
null prop_kin	baseline_thickness	pooled	GENESIS	yes	0.88516	0.89977					8596	8596
null prop_kin	global_slope	EUR	GENESIS	yes	0.46723	0.59241					4308	4308
null prop_kin	global_slope	pooled	GENESIS	yes	0.44002	0.56072					8596	8596
null prop_kin	slope_PC1	EUR	GENESIS	no (atlas-specific PC)	0.35988	0.32709					4308	4308
null prop_kin	slope_PC1	pooled	GENESIS	no (atlas-specific PC)	0.35018	0.38201					8596	8596
null prop_kin	slope_PC2	EUR	GENESIS	no (atlas-specific PC)	0.35582	0.42495					4308	4308
null prop_kin	slope_PC2	pooled	GENESIS	no (atlas-specific PC)	0.3192	0.35512					8596	8596
null prop_kin	slope_PC3	EUR	GENESIS	no (atlas-specific PC)	0.46146	0.65915					4308	4308
null prop_kin	slope_PC3	pooled	GENESIS	no (atlas-specific PC)	0.36765	0.57641					8596	8596
