readout	phenotype	arm	method	comparable	value_dk	value_hcp	se_dk	se_hcp	p_dk	p_hcp	n_dk	n_hcp
LDSC rg MDD	slope_PC1	EUR	LDSC	no (atlas-specific PC)	0.1038	-0.0756	0.2609	0.1017	0.6907	0.4571		
LDSC rg MDD	slope_PC2	EUR	LDSC	no (atlas-specific PC)	-0.06073	-0.0615	0.06629	0.0791	0.3595	0.437		
LDSC rg MDD	slope_PC3	EUR	LDSC	no (atlas-specific PC)		-0.0669		0.1919		0.7273		
LDSC rg SCZ	baseline_thickness	EUR	LDSC	yes	0.02401	0.0311	0.05319	0.0551	0.6517	0.572		
LDSC rg SCZ	global_slope	EUR	LDSC	yes	-0.1636	-0.1035	0.1996	0.0862	0.4122	0.2303		
LDSC rg SCZ	slope_PC1	EUR	LDSC	no (atlas-specific PC)	0.09696	-0.0941	0.1506	0.0936	0.5196	0.315		
LDSC rg SCZ	slope_PC2	EUR	LDSC	no (atlas-specific PC)	-0.1091	-0.0746	0.06888	0.0786	0.1131	0.3423		
LDSC rg SCZ	slope_PC3	EUR	LDSC	no (atlas-specific PC)		-0.1441		0.1999		0.4709		
MAGMA H3 AHBA_C3 marginal (beta_std)	baseline_thickness	EUR	MAGMA	yes	0.013883	0.013169	0.042587	0.042651	0.2103	0.23538	6917	6917
MAGMA H3 AHBA_C3 marginal (beta_std)	global_slope	EUR	MAGMA	yes	-0.0042691	0.0032346	0.042321	0.041694	0.69826	0.76558	6917	6917
MAGMA H3 AHBA_C3 marginal (beta_std)	slope_PC1	EUR	MAGMA	no (atlas-specific PC)	0.014221	0.017324	0.042167	0.042074	0.19495	0.1136	6917	6917
MAGMA H3 AHBA_C3 marginal (beta_std)	slope_PC2	EUR	MAGMA	no (atlas-specific PC)	-0.0075289	0.00027153	0.042383	0.042072	0.49481	0.98021	6917	6917
MAGMA H3 AHBA_C3 marginal (beta_std)	slope_PC3	EUR	MAGMA	no (atlas-specific PC)	0.0017578	0.012743	0.04135	0.041571	0.87022	0.23881	6917	6917
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	baseline_thickness	EUR	MAGMA	yes	0.012554	0.013733	0.0029354	0.002942	0.092254	0.066138	13765	13765
