cell	stratum	label	beta	se	t	p	n	beta_cond	se_cond	t_cond	p_cond	r_global	score	r_cortexmean_globalslope
SCZ25_EUR_SBayesRC_raw	EUR	cortex_mean	-0.041828568726023	0.0146422797032501	-2.8566978348828	0.00430233794934807	4308					1	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	lh_1	-0.0239308935680948	0.015554498793457	-1.53851910536399	0.124002914494541	4308	-0.0016092431733862	0.0135573959684678	-0.118698544848069	0.905520358866486	0.484595425232278	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	lh_10d	-0.0265952115503526	0.0156073459131166	-1.70401884461353	0.088454623681875	4308	-0.00968728223244409	0.014415222672237	-0.672017522913559	0.501611437910324	0.375069598394192	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	lh_10pp	-0.0125684411574884	0.0154537475897087	-0.813294062461474	0.416099715136514	4308	-0.000652519683651905	0.0149013894770933	-0.0437891838646972	0.965074735644257	0.257499773446868	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	lh_10r	-0.0302840303326472	0.0154999347587946	-1.95381663238706	0.0507935935999584	4308	-0.0185407533824961	0.0149782753266496	-1.23784300783336	0.215848801573518	0.249850383168238	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	lh_10v	-0.00419281590105243	0.015497580717309	-0.27054647932045	0.786753903471148	4308	0.00896514166224649	0.01478062453744	0.606546877605704	0.544186632689156	0.313556112772604	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	lh_11l	-0.0106271447650186	0.0155494779697648	-0.683440613613042	0.494368407217962	4308	0.00406520943284984	0.0147023541957296	0.276500577984347	0.782178193416119	0.330695129386989	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	lh_13l	-0.0287816665827248	0.0155394806468985	-1.85216399677227	0.0640772790460654	4308	-0.0150290108777036	0.0148123153332706	-1.01462941745146	0.310345352424533	0.300555838504192	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	lh_2	-0.0175239355925643	0.0153180171511177	-1.14400809319407	0.252690486996002	4308	0.00269029302356017	0.0136713323770965	0.196783528434083	0.84400719314021	0.475822899875998	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	lh_23c	-0.0281471563551793	0.015225560203354	-1.84867787977869	0.0645809445867486	4308	-0.0117776095303911	0.0141617196131348	-0.831651088436151	0.405657760228111	0.409957013459021	score_SCZ25EUR_sbrc.profile	0.999999948257751
