phenotype	n_snps	n_mean	lambda_gc	n_p5e8	n_p1e5	min_p	n_chr
baseline_thickness	9426204	8395	1.0399	1	223	4.04703082201847e-08	22
global_slope	9426204	8395	1.0278	0	122	1.41545613434637e-07	22
slope_PC1	9426204	8395	1.0221	0	46	8.00823679680872e-07	22
slope_PC2	9426204	8395	1.0346	0	115	2.50175164934572e-07	22
slope_PC3	9426204	8395	1.0409	0	130	1.07003520773541e-07	22
