method	trait	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p05	baseline_thickness	full	8596	7198	1350	1449	0.0101569538074817	0.0347948492265626	0.770396892898801	0.00405663194469582	0.0142757587016336	0.776294155583721	-0.00610032186278583	0.0374765786373996	-0.162776915198391	0.870694084832079
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p1	baseline_thickness	full	8596	7198	1350	1449	0.0202520128076335	0.0368264941013402	0.58245065568697	0.00402148705774959	0.014684401363411	0.78419911921249	-0.016230525749884	0.0394978619363612	-0.410921628518387	0.681130002477043
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p5	baseline_thickness	full	8596	7198	1350	1449	0.0161039126378814	0.0390781522825721	0.680329891115262	0.0140786725420281	0.0155072873881531	0.36397459438295	-0.00202524009585334	0.0418230886772725	-0.0484239724971316	0.96137835442253
CT	SCZ	SCZ_pooled	raw	SCZpooled	1	baseline_thickness	full	8596	7198	1350	1449	0.0149669596318983	0.0394160543316759	0.704210124558389	0.0156494358906732	0.0155622507050404	0.314640387631649	0.000682476258774887	0.0421483111454348	0.0161922563497258	0.987081013192854
CT	SCZ	SCZ_pooled	raw	SCZpooled	1e-5	baseline_thickness	full	8596	7198	1350	1449	0.000860046923959442	0.0276725997065961	0.975210468940899	-0.0114783598512497	0.0117453558868683	0.328469610609712	-0.0123384067752091	0.0300511508396733	-0.410580175149899	0.681380402971087
CT	SCZ	SCZ_pooled	raw	SCZpooled	5e-8	baseline_thickness	full	8596	7198	1350	1449	0.00197258680806954	0.0271918123303768	0.942179344192	-0.00985464171659583	0.0117551754705156	0.401877004842891	-0.0118272285246654	0.029611107138499	-0.399418652917848	0.689584752086989
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p001	global_slope	EUR	4308	3601	691	726	-0.0856911912694356	0.0462296711343274	0.0641882583971169	-0.00981575493092116	0.0153625661694801	0.522904262244237	0.0758754363385145	0.0487089764598008	1.55773005004804	0.119297253910626
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p01	global_slope	EUR	4308	3601	691	726	-0.0965008330761156	0.0474576022698174	0.0423624973484901	-0.0183992536585518	0.0153570944458202	0.230960900928734	0.0781015794175638	0.0498816836299474	1.56573663385079	0.117410286201606
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p05	global_slope	EUR	4308	3601	691	726	-0.0763852683594546	0.0470172745788877	0.104662990095316	-0.0267578071891419	0.0154465329791392	0.0833110823980261	0.0496274611703127	0.0494948062878102	1.00268017782979	0.316015196879383
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p1	global_slope	EUR	4308	3601	691	726	-0.0629392055342713	0.0486708070225946	0.196352456944837	-0.0267466233090753	0.0154891207285035	0.0842919475783249	0.036192582225196	0.0510813346336415	0.708528516037637	0.478617110156971
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p5	global_slope	EUR	4308	3601	691	726	-0.0568365692495249	0.0491933655628193	0.248305609425587	-0.0408520678267238	0.0155791280513137	0.00877375100713311	0.0159845014228012	0.0516200009835532	0.309657131310285	0.756821705632133
CT	SCZ	SCZ_pooled	raw	SCZpooled	1	global_slope	EUR	4308	3601	691	726	-0.0635480252353732	0.0496996437733249	0.201417760953879	-0.0403145194727757	0.0155851534859565	0.00972950303144449	0.0232335057625975	0.0521049466347493	0.445898273833042	0.65567072920614
CT	SCZ	SCZ_pooled	raw	SCZpooled	1e-5	global_slope	EUR	4308	3601	691	726	-0.0774632020055077	0.0450032241695917	0.0856108986526955	-0.00708362632666608	0.0153661582899193	0.644835389249994	0.0703795756788416	0.0475358546134913	1.48055770220374	0.138724473755209
CT	SCZ	SCZ_pooled	raw	SCZpooled	5e-8	global_slope	EUR	4308	3601	691	726	-0.0625635696239883	0.0444060513722361	0.159277673096905	-0.000503382180805198	0.0154223195328683	0.973963660246927	0.0620601874431831	0.0469828782683088	1.32091071749098	0.186531135753518
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p001	global_slope	full	8596	7198	1350	1449	-0.0340968494120257	0.0330178150986329	0.301911640087491	-0.01179337465204	0.0112219951984824	0.29333357276416	0.0223034747599857	0.0348626525279905	0.6397526620236	0.522333412597022
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p01	global_slope	full	8596	7198	1350	1449	-0.0219513206515852	0.0379308601807072	0.562861099963082	-0.0245513904318783	0.0125694586827926	0.0508284202685308	-0.00260006978029315	0.0399209801347721	-0.0651304094116775	0.94807016861757
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p05	global_slope	full	8596	7198	1350	1449	-0.0167506866081963	0.040293519439678	0.677673772772534	-0.0412037065118665	0.0134800598416591	0.00224664814113087	-0.0244530199036702	0.0423832361877236	-0.576950278061897	0.563973044727162
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p1	global_slope	full	8596	7198	1350	1449	-0.0207105647947955	0.0426483522890224	0.627309377212136	-0.0379089240016048	0.0138715765874865	0.00629442458009239	-0.0171983592068093	0.0447301637275067	-0.384491309076814	0.700614336161516
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p5	global_slope	full	8596	7198	1350	1449	-0.00426937314083695	0.0452476016474492	0.924838485792856	-0.0475788798761476	0.0146455794030436	0.00116479328738714	-0.0433095067353106	0.0473852865035664	-0.913986385458511	0.360723999583688
CT	SCZ	SCZ_pooled	raw	SCZpooled	1	global_slope	full	8596	7198	1350	1449	-0.001887785479541	0.045638145621493	0.967010771163198	-0.0475664365126342	0.0146979868370712	0.00121664848149766	-0.0456786510330932	0.0477658350074143	-0.956303831514781	0.338918754724494
CT	SCZ	SCZ_pooled	raw	SCZpooled	1e-5	global_slope	full	8596	7198	1350	1449	-0.0252866457123804	0.0320451554220892	0.430175359441411	-0.00598511815228523	0.0110815640589052	0.589147444188827	0.0193015275600952	0.0338984694189843	0.569392302688618	0.569089939327471
CT	SCZ	SCZ_pooled	raw	SCZpooled	5e-8	global_slope	full	8596	7198	1350	1449	-0.0183106110608039	0.0314865169645229	0.560960728022552	-0.000415793306751877	0.0110908158902773	0.970095484795633	0.017894817754052	0.0333723678110687	0.53621660456819	0.591808859022675
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p001	slope_PC1	EUR	4308	3601	691	726	-0.0703086571782682	0.0527482323235665	0.182966393734315	-0.0242889931732377	0.0159360663288196	0.127565266020401	0.0460196640050305	0.0550958840539967	0.835265007453714	0.403568514982433
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p01	slope_PC1	EUR	4308	3601	691	726	-0.0339928637577147	0.054244923320114	0.531076263649404	-0.0297269315927555	0.0159394934404186	0.0622694341703059	0.00426593216495917	0.0565388631685842	0.0754513254403307	0.939855623757249
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p05	slope_PC1	EUR	4308	3601	691	726	-0.0383853845489557	0.0536704998802186	0.474705509347793	-0.0321844361857059	0.0160291044367269	0.0447363930803732	0.00620094836324985	0.0560175465684795	0.110696536051778	0.911856992929417
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p1	slope_PC1	EUR	4308	3601	691	726	-0.0326666277824912	0.0555371266126619	0.556579002632501	-0.0351091239614904	0.0160713173082816	0.0289881735831119	-0.00244249617899918	0.0578205577571	-0.042242694877831	0.96630522732779
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p5	slope_PC1	EUR	4308	3601	691	726	-0.0293372635329726	0.0561132839233096	0.601252512530036	-0.0402418943345474	0.0161671425717266	0.0128543714549471	-0.0109046308015748	0.0584134174517878	-0.18668024021322	0.851911349760392
CT	SCZ	SCZ_pooled	raw	SCZpooled	1	slope_PC1	EUR	4308	3601	691	726	-0.0379747134762134	0.0566954136626635	0.503190061398128	-0.0414395455897598	0.0161728856625946	0.010441954865997	-0.00346483211354645	0.0589747580223803	-0.0587511035184169	0.953150354880438
CT	SCZ	SCZ_pooled	raw	SCZpooled	1e-5	slope_PC1	EUR	4308	3601	691	726	-0.0663180160455863	0.0513518017311559	0.196948071514074	-0.0176143926560918	0.0159455026702692	0.269384936962366	0.0487036233894944	0.053752223495796	0.90607644153183	0.364895393720993
CT	SCZ	SCZ_pooled	raw	SCZpooled	5e-8	slope_PC1	EUR	4308	3601	691	726	-0.0486569361200242	0.0506662978979022	0.337192895139921	-0.0205587583393068	0.0160005163257291	0.198922458186331	0.0280981777807174	0.0531081816908726	0.529074370202859	0.59675386009043
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p001	slope_PC1	full	8596	7198	1350	1449	-0.0436612197728362	0.0361080885905135	0.226771526318822	-0.0314397920532808	0.0116703851346853	0.00707758974432922	0.0122214277195555	0.0379371907019057	0.322148991357484	0.747339825164394
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p01	slope_PC1	full	8596	7198	1350	1449	-0.00779407029957839	0.0415009994319504	0.85105375504411	-0.0364221790345568	0.0130781222468875	0.00536769132853025	-0.0286281087349784	0.043474861481545	-0.65849798617831	0.510218190637186
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p05	slope_PC1	full	8596	7198	1350	1449	-0.0203132505966603	0.0440812230345504	0.644994434862863	-0.0421481177071856	0.0140304576172537	0.002673598117539	-0.0218348671105253	0.0461553554857107	-0.473073316861034	0.63616087284746
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p1	slope_PC1	full	8596	7198	1350	1449	-0.0225670107463024	0.046655894623225	0.628671604866683	-0.0394085616308695	0.0144389468441806	0.00636225479965331	-0.0168415508845671	0.0487222672241684	-0.345664351108295	0.729594978280051
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p5	slope_PC1	full	8596	7198	1350	1449	-0.0151680421832976	0.0495034594437934	0.75933706472617	-0.0447296448374901	0.0152450960814016	0.00335674038720803	-0.0295616026541926	0.0516251327547647	-0.572620370675254	0.566901763922413
CT	SCZ	SCZ_pooled	raw	SCZpooled	1	slope_PC1	full	8596	7198	1350	1449	-0.0228533312714039	0.0499280160205843	0.647211570621775	-0.0444383168320931	0.0152998209623981	0.00368993628587821	-0.0215849855606892	0.0520398775154292	-0.414777793323774	0.678304577444457
CT	SCZ	SCZ_pooled	raw	SCZpooled	1e-5	slope_PC1	full	8596	7198	1350	1449	-0.0318203234114566	0.0350508671945527	0.364102980745014	-0.0229374336013467	0.0115265222412958	0.0466337475127811	0.00888288981010987	0.0368888620819149	0.240801404781331	0.809709040796892
CT	SCZ	SCZ_pooled	raw	SCZpooled	5e-8	slope_PC1	full	8596	7198	1350	1449	-0.0250923352064192	0.0344406568797118	0.466372707059552	-0.0247074243057519	0.0115350669044339	0.0322333267491154	0.000384910900667296	0.0363106709207781	0.0106004899085199	0.99154219116655
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p001	slope_PC2	EUR	4308	3601	691	726	0.0441554320894467	0.0502908339549134	0.380222602802049	0.0113152775479106	0.0163724375397663	0.489538208181005	-0.0328401545415361	0.0528818645312216	-0.621009770223725	0.534593194785666
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p01	slope_PC2	EUR	4308	3601	691	726	-0.0189400616498148	0.0516724784161932	0.714064721125669	0.013854036618015	0.0163706187010067	0.397457512835882	0.0327940982678298	0.0542048300586492	0.605003248462302	0.545176838277808
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p05	slope_PC2	EUR	4308	3601	691	726	-0.0185865717507994	0.0511430812616286	0.71639099959107	0.016312269519994	0.0164677573198534	0.321970478152894	0.0348988412707934	0.0537343468558767	0.649469907290343	0.516034691179567
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p1	slope_PC2	EUR	4308	3601	691	726	-0.0225329060910324	0.0529104928414627	0.670325489659661	0.0164769303188628	0.0165128849928169	0.318434906608431	0.0390098364098952	0.0554329080377393	0.703730650092125	0.481600528973476
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p5	slope_PC2	EUR	4308	3601	691	726	-0.0158460504679546	0.0534901988825385	0.767127011872869	0.0234885185928681	0.0166135661226175	0.157506189483711	0.0393345690608226	0.0560303489721653	0.702022560672668	0.482665093980864
CT	SCZ	SCZ_pooled	raw	SCZpooled	1	slope_PC2	EUR	4308	3601	691	726	-0.00982907837295947	0.0540587011270602	0.855771191447671	0.0251742646732402	0.0166186026054509	0.129908304302413	0.0350033430461997	0.0565752505215189	0.618704163455464	0.536111266716519
CT	SCZ	SCZ_pooled	raw	SCZpooled	1e-5	slope_PC2	EUR	4308	3601	691	726	0.0213417598790799	0.0489473077282906	0.662950532188364	-0.000932323683242348	0.0163787975062691	0.954610128431214	-0.0222740835623222	0.0515955094183551	-0.431705856060376	0.66595521068848
CT	SCZ	SCZ_pooled	raw	SCZpooled	5e-8	slope_PC2	EUR	4308	3601	691	726	0.02113093812485	0.0482758539113551	0.661719922105384	0.00346939761279823	0.0164371832221639	0.832844987440689	-0.0176615405120517	0.0509710397607395	-0.346501476033368	0.728965875124308
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p001	slope_PC2	full	8596	7198	1350	1449	0.0195200223192514	0.0358453559861157	0.586129999397199	0.0154634961076458	0.0118652672518676	0.192530145279187	-0.00405652621160558	0.0377476706735351	-0.107464278966745	0.914420662429698
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p01	slope_PC2	full	8596	7198	1350	1449	-0.0161300729851214	0.0411743620901705	0.695294410664557	0.0176571093791681	0.013294957768627	0.184186158102832	0.0337871823642895	0.0432280616902564	0.781602992204138	0.434447927860993
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p05	slope_PC2	full	8596	7198	1350	1449	-0.00810102234639205	0.0437431665866795	0.853099250001424	0.0194885313968931	0.0142635937388767	0.171884263195724	0.0275895537432851	0.0459009928979174	0.601066600120036	0.547795628236408
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p1	slope_PC2	full	8596	7198	1350	1449	0.00586432788815231	0.0462990822791573	0.899223815594307	0.0176896415790421	0.0146770545879937	0.228143843267974	0.0118253136908898	0.0484483958117303	0.244080603552752	0.80716839443729
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p5	slope_PC2	full	8596	7198	1350	1449	0.0164541265801788	0.0491288473893772	0.737730624119549	0.0242725976491334	0.0154968073879021	0.117323966450785	0.00781847106895456	0.0513356543490428	0.152300991739484	0.878949542750723
CT	SCZ	SCZ_pooled	raw	SCZpooled	1	slope_PC2	full	8596	7198	1350	1449	0.0251974873231605	0.0495504271199336	0.61115678419273	0.0238380273581515	0.0155523045192865	0.12537855034763	-0.00135945996500907	0.0517470049853651	-0.0262712782197451	0.979040963661794
CT	SCZ	SCZ_pooled	raw	SCZpooled	1e-5	slope_PC2	full	8596	7198	1350	1449	-0.0154887787151745	0.0347863327375029	0.656195416186241	0.00830644719766682	0.0117172888392052	0.478407054385875	0.0237952259128413	0.0366977818230792	0.648410468718753	0.516719501115403
CT	SCZ	SCZ_pooled	raw	SCZpooled	5e-8	slope_PC2	full	8596	7198	1350	1449	-0.0187127907892619	0.0341788639752853	0.584113734195511	0.0149136916342572	0.0117255215579119	0.203451186633484	0.0336264824235191	0.0361235011354934	0.930875506706609	0.351917965733158
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p001	slope_PC3	EUR	4308	3601	691	726	-0.00909929990465683	0.046135940395803	0.843705483544392	0.0198736742129214	0.016455411765379	0.227233597832741	0.0289729741175782	0.0489760553858284	0.591574268064916	0.554135709072754
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p01	slope_PC3	EUR	4308	3601	691	726	0.0280527385914132	0.0473600748652847	0.553818962821173	0.0119061893398845	0.01644806391897	0.469196240808734	-0.0161465492515287	0.0501366786298217	-0.322050636236694	0.747414334103968
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p05	slope_PC3	EUR	4308	3601	691	726	-0.0607558106678475	0.0468303335307878	0.194929383208879	-0.000671795123099756	0.0165528251009277	0.967629117981866	0.0600840155447478	0.0496759027008776	1.20952035651053	0.22646299524754
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p1	slope_PC3	EUR	4308	3601	691	726	-0.0687375745992507	0.0484355719461236	0.156293111653792	0.0019265161258687	0.0165984092255202	0.907606641788903	0.0706640907251194	0.0512069232821343	1.37997142175057	0.167595444148616
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p5	slope_PC3	EUR	4308	3601	691	726	-0.01459141898692	0.0490232807324715	0.766063076465884	-0.0109836183812312	0.0167042333381691	0.510880324503759	0.00360780060568883	0.0518125697967742	0.0696317634859612	0.9444867546851
CT	SCZ	SCZ_pooled	raw	SCZpooled	1	slope_PC3	EUR	4308	3601	691	726	-0.0188613000523775	0.0495374984845924	0.703504284370356	-0.0124638914693601	0.0167092868357986	0.45576231173833	0.00639740858301739	0.0523015375509186	0.122317791839086	0.902647341950422
CT	SCZ	SCZ_pooled	raw	SCZpooled	1e-5	slope_PC3	EUR	4308	3601	691	726	-0.0123883106794825	0.0448831474797157	0.782618559109239	0.0254509054493869	0.0164548581907149	0.122023395879492	0.0378392161288694	0.0477840148990924	0.791880217867338	0.428430522637629
CT	SCZ	SCZ_pooled	raw	SCZpooled	5e-8	slope_PC3	EUR	4308	3601	691	726	0.00344072894311055	0.0442763199037921	0.938080271268633	0.0262461947432691	0.0165137611113332	0.112071106418423	0.0228054658001585	0.0472277969123641	0.482882270423843	0.629179331148918
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p001	slope_PC3	full	8596	7198	1350	1449	0.00876891420731322	0.0342601460899985	0.798021794732538	-0.00041372199549836	0.0118106080380507	0.972057058389893	-0.00918263620281158	0.0362279895709896	-0.253468003926025	0.799906583195713
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p01	slope_PC3	full	8596	7198	1350	1449	0.0341509603750139	0.0393371849882462	0.385437562427409	-0.000228805915431234	0.0132300759740008	0.986202256250258	-0.0343797662904451	0.0414615725367787	-0.829195908089312	0.406993560040725
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p05	slope_PC3	full	8596	7198	1350	1449	0.0307823549782324	0.0417922641239848	0.46150054286552	-0.00848397860773817	0.0141932067444198	0.550026229437414	-0.0392663335859706	0.0440242020181319	-0.891926072159088	0.372432558935534
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p1	slope_PC3	full	8596	7198	1350	1449	0.031913222783739	0.0442377971780231	0.470768133746815	-0.00682864226817697	0.0146031866640161	0.640075492032982	-0.0387418650519159	0.046460562963888	-0.833865596549669	0.40435672584422
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p5	slope_PC3	full	8596	7198	1350	1449	0.0508535571479899	0.0469264988710611	0.278668161372114	-0.0138772426098882	0.0154205886817437	0.368195026425805	-0.0647307997578781	0.0492100585083303	-1.31539774021851	0.188376264604311
CT	SCZ	SCZ_pooled	raw	SCZpooled	1	slope_PC3	full	8596	7198	1350	1449	0.0442263728537429	0.0473353917274757	0.350280587328315	-0.0144239960062153	0.0154756694086951	0.351345595230812	-0.0586503688599581	0.0496080858872147	-1.18227437747349	0.237096848845179
CT	SCZ	SCZ_pooled	raw	SCZpooled	1e-5	slope_PC3	full	8596	7198	1350	1449	-0.00943915021385336	0.0332498709344948	0.776535133919028	0.00120723192897366	0.0116617163245988	0.917552478473915	0.010646382142827	0.0352264100492382	0.302227281404659	0.762478808515568
CT	SCZ	SCZ_pooled	raw	SCZpooled	5e-8	slope_PC3	full	8596	7198	1350	1449	-0.019399992435053	0.0326674710919811	0.552688210900199	9.72800009996223e-05	0.0116710352075968	0.993349814485496	0.0194972724360526	0.0346786878360638	0.562226360127059	0.573961803722089
CT	SCZ	SCZ_pooled	zanc	SCZpooled	0p001	baseline_thickness	EUR	4308	3601	691	726	0.0124628300623939	0.039603610868272	0.753084365976481	-0.0229198768754728	0.0167109791706659	0.170290257458345	-0.0353827069378667	0.0429785991631229	-0.82326338286582	0.410358231856235
CT	SCZ	SCZ_pooled	zanc	SCZpooled	0p01	baseline_thickness	EUR	4308	3601	691	726	-0.0124097840495212	0.0406661763160469	0.760326563174794	-0.0208880317193313	0.0166890337010731	0.21079558231973	-0.00847824766981008	0.0439600875026741	-0.19286239294438	0.847066738121018
CT	SCZ	SCZ_pooled	zanc	SCZpooled	0p05	baseline_thickness	EUR	4308	3601	691	726	0.0391782419139207	0.0402245677010873	0.330374534336001	-0.0154326870833471	0.0168017137064274	0.358408695795315	-0.0546109289972678	0.0436002864686756	-1.25253601341594	0.210374614065556
CT	SCZ	SCZ_pooled	zanc	SCZpooled	0p1	baseline_thickness	EUR	4308	3601	691	726	0.0467459161015344	0.0416064456373967	0.261570922261236	-0.015468737416317	0.0168477599412548	0.358602619209423	-0.0622146535178514	0.0448955548877578	-1.38576421815907	0.165818911763016
CT	SCZ	SCZ_pooled	zanc	SCZpooled	0p5	baseline_thickness	EUR	4308	3601	691	726	0.0324631722558622	0.0420782446309611	0.440654950310852	0.00270417704688433	0.0169611376832454	0.873336105035119	-0.0297589952089779	0.045393379841737	-0.655580071647715	0.512094351251553
CT	SCZ	SCZ_pooled	zanc	SCZpooled	1	baseline_thickness	EUR	4308	3601	691	726	0.0384364545450347	0.0425165065592549	0.366264895408738	0.00399178936009601	0.0169653424477455	0.813996358338184	-0.0344446651849387	0.0458022248206536	-0.752030394152526	0.45203278083723
CT	SCZ	SCZ_pooled	zanc	SCZpooled	1e-5	baseline_thickness	EUR	4308	3601	691	726	0.0116838112574766	0.0385471734271833	0.761893780728918	-0.0205709422887464	0.0167067705993963	0.218293206080106	-0.032254753546223	0.0419898421003057	-0.768156104735345	0.44239444823455
CT	SCZ	SCZ_pooled	zanc	SCZpooled	5e-8	baseline_thickness	EUR	4308	3601	691	726	0.013020885632348	0.0380295977400862	0.732153830155666	-0.0237274241794229	0.0167660329687521	0.157093759619013	-0.0367483098117709	0.0415310272304945	-0.884839895912522	0.37624298847132
CT	SCZ	SCZ_pooled	zanc	SCZpooled	0p001	baseline_thickness	full	8596	7198	1350	1449	-0.01419701961267	0.0280083621106942	0.612311631371258	-0.00344409358388747	0.0115590936720689	0.76574588733289	0.0107529260287825	0.0303013672075417	0.354866034761171	0.722689954901489
CT	SCZ	SCZ_pooled	zanc	SCZpooled	0p01	baseline_thickness	full	8596	7198	1350	1449	-0.0126345614772155	0.0289356653931106	0.662434333823748	0.00164154126917492	0.0115453387170214	0.886940083775272	0.0142761027463904	0.0311461485503338	0.458358526201705	0.64669488292488
CT	SCZ	SCZ_pooled	zanc	SCZpooled	0p05	baseline_thickness	full	8596	7198	1350	1449	0.0140289577605878	0.0293497307664305	0.632726518031706	0.00831505003227804	0.0115873086656686	0.473027307957765	-0.00571390772830974	0.0315326139890033	-0.181206281544004	0.856205664265463
CT	SCZ	SCZ_pooled	zanc	SCZpooled	0p1	baseline_thickness	full	8596	7198	1350	1449	0.0280206850730703	0.0303357867249814	0.355802581578465	0.00654152731533391	0.0116125279351096	0.573236952530478	-0.0214791577577364	0.0324601780975724	-0.661707945445401	0.508158411648404
CT	SCZ	SCZ_pooled	zanc	SCZpooled	0p5	baseline_thickness	full	8596	7198	1350	1449	0.026796846623845	0.0310621390799736	0.388451446341979	0.0116636188447766	0.0116755844927534	0.317840279094704	-0.0151332277790684	0.0331526175832194	-0.456471581499745	0.648050901957823
CT	SCZ	SCZ_pooled	zanc	SCZpooled	1	baseline_thickness	full	8596	7198	1350	1449	0.0261065661825489	0.0312902948024303	0.404228314915935	0.0126850313813499	0.011679309741206	0.277466057802975	-0.013421534801199	0.0333659833558676	-0.402252037892921	0.687498548433148
CT	SCZ	SCZ_pooled	zanc	SCZpooled	1e-5	baseline_thickness	full	8596	7198	1350	1449	-0.000839435542779302	0.0274032790588597	0.97556665278977	-0.0103066012475506	0.0115545235045469	0.372424377643391	-0.00946716570477135	0.0297409522818612	-0.318320866630263	0.750241557600606
CT	SCZ	SCZ_pooled	zanc	SCZpooled	5e-8	baseline_thickness	full	8596	7198	1350	1449	1.48458750449372e-05	0.0268175781324899	0.999558376330594	-0.00778669216104236	0.0115845724702105	0.501503137899909	-0.0078015380360873	0.0292115760230226	-0.267070083104679	0.789415201440724
CT	SCZ	SCZ_pooled	zanc	SCZpooled	0p001	global_slope	EUR	4308	3601	691	726	-0.0856912043878311	0.0462296706176582	0.0641882147487453	-0.00981575591552859	0.0153625661765711	0.522904220745453	0.0758754484723025	0.0487089759683979	1.55773031487113	0.119297191107241
CT	SCZ	SCZ_pooled	zanc	SCZpooled	0p01	global_slope	EUR	4308	3601	691	726	-0.0965008102487885	0.0474576021736772	0.0423625456099457	-0.0183992549352951	0.0153570944373472	0.230960868313418	0.0781015553134934	0.0498816835314746	1.56573615371687	0.117410398651582
