method	trait	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p001	baseline_thickness	EUR	4308	3601	691	726	0.0124627983032941	0.0396036112479504	0.753084976961077	-0.0229198802879187	0.0167109791667433	0.170290193754424	-0.0353826785912129	0.042978599515475	-0.82326271656369	0.410358610679902
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p01	baseline_thickness	EUR	4308	3601	691	726	-0.0124098039400029	0.0406661764563964	0.76032619161723	-0.0208880311948797	0.0166890337105527	0.210795594033949	-0.00847822725487678	0.0439600876413043	-0.192861927939169	0.847067102305061
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p05	baseline_thickness	EUR	4308	3601	691	726	0.0391782139421041	0.0402245629567807	0.330374822357664	-0.01543269053583	0.0168017140005953	0.35840859670015	-0.0546109044779341	0.0436002821906001	-1.25253557394883	0.21037477409352
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p1	baseline_thickness	EUR	4308	3601	691	726	0.0467458840547307	0.0416064468785496	0.261571263202171	-0.015468742863346	0.0168477599032758	0.358602448909086	-0.0622146269180767	0.0448955560053282	-1.38576359118246	0.165819103274369
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p5	baseline_thickness	EUR	4308	3601	691	726	0.0324632105401954	0.0420782409660715	0.440654371742463	0.00270416810235118	0.0169611379286045	0.873336522276246	-0.0297590424378442	0.0453933765209823	-0.655581160041898	0.512093650765582
CT	SCZ	SCZ_pooled	raw	SCZpooled	1	baseline_thickness	EUR	4308	3601	691	726	0.0384364699525761	0.0425165081954443	0.366264721816204	0.00399179174289065	0.0169653423993928	0.813996248822163	-0.0344446782096854	0.0458022263419585	-0.752030653543393	0.452032624850685
CT	SCZ	SCZ_pooled	raw	SCZpooled	1e-5	baseline_thickness	EUR	4308	3601	691	726	0.0116838289088471	0.0385471696860923	0.761893409487709	-0.0205709371310639	0.0167067709226688	0.218293330398787	-0.0322547660399111	0.0419898387949756	-0.768156462743329	0.442394235566628
CT	SCZ	SCZ_pooled	raw	SCZpooled	5e-8	baseline_thickness	EUR	4308	3601	691	726	0.0130208982307877	0.0380296017898496	0.732153608413493	-0.0237274184456806	0.0167660326516701	0.157093852003925	-0.0367483166764683	0.0415310308190274	-0.884839984747791	0.376242940551867
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p001	baseline_thickness	full	8596	7198	1350	1449	-0.0144800547271541	0.0285122542355987	0.611632239881254	-0.00724739437994495	0.0118964918617098	0.542408389000913	0.00723266034720912	0.0308816842684057	0.234205501369259	0.814825444307708
CT	SCZ	SCZ_pooled	raw	SCZpooled	0p01	baseline_thickness	full	8596	7198	1350	1449	-0.0193187222086676	0.0327462919017923	0.555313995308005	-0.00402350355241088	0.0133100052834301	0.762438443796748	0.0152952186562567	0.0352994519006848	0.433299040996157	0.664797534749732
