method	trait	trait_arm	discovery_ancestry	target_stratum	matched	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
SBayesRC	MDD	MDD_pooled	multi	full	yes	raw	PGC MDD2025 div (trans-ancestry)	global_slope	sbrc	8596	7198	1154522	-0.0369488129778587	0.0190444263778775	0.0523972399900562	0.0523972399900562
SBayesRC	MDD	MDD_pooled	multi	full	yes	zanc	PGC MDD2025 div (trans-ancestry)	global_slope	sbrc	8596	7198	1154522	-0.0181721882056631	0.0105038031088883	0.083657951237256	0.083657951237256
CT	MDD	MDD_pooled	multi	EUR	no	raw	PGC MDD2025 div (trans-ancestry)	global_slope	0p05	4308	3601	57819	-0.0197390601272999	0.0146657539585939	0.178399504861044	1
PRSCS	MDD	MDD_pooled	multi	EUR	no	raw	PGC MDD2025 div (trans-ancestry)	global_slope	prscs	4308	3601	972307	-0.0139858832002105	0.0146722981362738	0.340536076879531	0.340536076879531
SBayesR	MDD	MDD_pooled	multi	EUR	no	raw	PGC MDD2025 div (trans-ancestry)	global_slope	sbr	4308	3601	940926	-0.0215351637925391	0.0148245829424877	0.146393314681523	0.146393314681523
SBayesRC	MDD	MDD_pooled	multi	EUR	no	raw	PGC MDD2025 div (trans-ancestry)	global_slope	sbrc	4308	3601	1154522	-0.0145080286407675	0.0147197786755439	0.324380597742727	0.324380597742727
CT	MDD	MDD_eur	EUR	EUR	yes	raw	PGC MDD2025 eur	global_slope	1	4308	3601	381411	-0.0211871033028112	0.0147855417402584	0.151945708182129	1
PRSCS	MDD	MDD_eur	EUR	EUR	yes	raw	PGC MDD2025 eur	global_slope	prscs	4308	3601	1030817	-0.00975389069871774	0.0146722671563918	0.506225865897377	0.506225865897377
SBayesR	MDD	MDD_eur	EUR	EUR	yes	raw	PGC MDD2025 eur	global_slope	sbr	4308	3601	970659	-0.0239848919263909	0.0148471189378411	0.106289079205898	0.106289079205898
SBayesRC	MDD	MDD_eur	EUR	EUR	yes	raw	PGC MDD2025 eur	global_slope	sbrc	4308	3601	1154522	-0.0167258512549457	0.0147572464068054	0.257113380446008	0.257113380446008
CT	MDD	MDD_eur	EUR	full	no	raw	PGC MDD2025 eur	global_slope	0p5	8596	7198	284457	-0.032540465547677	0.0182391565783462	0.0744447664429585	0.595558131543668
CT	MDD	MDD_eur	EUR	full	no	zanc	PGC MDD2025 eur	global_slope	1	8596	7198		-0.0183228171469719	0.0105153344714406	0.0814615387026758	0.651692309621407
PRSCS	MDD	MDD_eur	EUR	full	no	raw	PGC MDD2025 eur	global_slope	prscs	8596	7198	1030817	-0.0230091650505836	0.0187791016267427	0.220514794409659	0.220514794409659
PRSCS	MDD	MDD_eur	EUR	full	no	zanc	PGC MDD2025 eur	global_slope	prscs	8596	7198	1030817	-0.0112877268360735	0.0105007003430434	0.282429056411049	0.282429056411049
SBayesR	MDD	MDD_eur	EUR	full	no	raw	PGC MDD2025 eur	global_slope	sbr	8596	7198	970659	-0.0557445731165237	0.0222249424404534	0.0121541465022879	0.0121541465022879
SBayesR	MDD	MDD_eur	EUR	full	no	zanc	PGC MDD2025 eur	global_slope	sbr	8596	7198	970659	-0.022317127356045	0.0105945118006588	0.035193576460122	0.035193576460122
SBayesRC	MDD	MDD_eur	EUR	full	no	raw	PGC MDD2025 eur	global_slope	sbrc	8596	7198	1154522	-0.0351210118865233	0.0185677276620412	0.0585918804441628	0.0585918804441628
SBayesRC	MDD	MDD_eur	EUR	full	no	zanc	PGC MDD2025 eur	global_slope	sbrc	8596	7198	1154522	-0.0175970181029191	0.0105232667924141	0.0945233176793792	0.0945233176793792
CT	ASD	ASD	EUR	EUR	yes	raw	SPARK+iPSYCH+PGC (no strata)	global_slope	1e-5	4308	3601	69	0.0297528417723459	0.0145110609699964	0.040392135428306	0.323137083426448
PRSCS	ASD	ASD	EUR	EUR	yes	raw	SPARK+iPSYCH+PGC (no strata)	global_slope	prscs	4308	3601	370645	0.0269017455395421	0.0145898857446734	0.0652747078540737	0.0652747078540737
SBayesR	ASD	ASD	EUR	EUR	yes	raw	SPARK+iPSYCH+PGC (no strata)	global_slope	sbr	4308	3601	365847	0.00611004681342398	0.0145773468744475	0.675130606617342	0.675130606617342
SBayesRC	ASD	ASD	EUR	EUR	yes	raw	SPARK+iPSYCH+PGC (no strata)	global_slope	sbrc	4308	3601	1154522	0.0111181104238717	0.0145294243419172	0.444187734496988	0.444187734496988
CT	ASD	ASD	EUR	full	no	raw	SPARK+iPSYCH+PGC (no strata)	global_slope	1e-5	8596	7198	69	0.0364106633394353	0.0107528513023483	0.000712116183793883	0.00569692947035107
CT	ASD	ASD	EUR	full	no	zanc	SPARK+iPSYCH+PGC (no strata)	global_slope	1e-5	8596	7198	69	0.0328071714493305	0.0103195509225635	0.0014826110907698	0.0118608887261584
PRSCS	ASD	ASD	EUR	full	no	raw	SPARK+iPSYCH+PGC (no strata)	global_slope	prscs	8596	7198	370645	0.012373964462278	0.011226491183536	0.270401862691357	0.270401862691357
PRSCS	ASD	ASD	EUR	full	no	zanc	SPARK+iPSYCH+PGC (no strata)	global_slope	prscs	8596	7198	370645	0.0115614767179906	0.0103588439847514	0.264412898076824	0.264412898076824
SBayesR	ASD	ASD	EUR	full	no	raw	SPARK+iPSYCH+PGC (no strata)	global_slope	sbr	8596	7198	365847	-0.00634921886469477	0.0128880723531994	0.622277880537832	0.622277880537832
SBayesR	ASD	ASD	EUR	full	no	zanc	SPARK+iPSYCH+PGC (no strata)	global_slope	sbr	8596	7198	365847	-0.004454784607257	0.0103837458451291	0.667923354723925	0.667923354723925
SBayesRC	ASD	ASD	EUR	full	no	raw	SPARK+iPSYCH+PGC (no strata)	global_slope	sbrc	8596	7198	1154522	0.0156905687844219	0.0106388862966137	0.140295696797431	0.140295696797431
SBayesRC	ASD	ASD	EUR	full	no	zanc	SPARK+iPSYCH+PGC (no strata)	global_slope	sbrc	8596	7198	1154522	0.0158253613388863	0.0103279613488161	0.125490680759735	0.125490680759735
CT	ALZ	ALZ	EUR	EUR	yes	raw	PGC-ALZ2 Wightman (incl. UKB proxy)	global_slope	0p05	4308	3601	50502	-0.0371156780594471	0.0145614157236558	0.0108418622901734	0.0867348983213868
PRSCS	ALZ	ALZ	EUR	EUR	yes	raw	PGC-ALZ2 Wightman (incl. UKB proxy)	global_slope	prscs	4308	3601	1083388	-0.0311621570706033	0.0145242162000302	0.0319689127512413	0.0319689127512413
SBayesR	ALZ	ALZ	EUR	EUR	yes	raw	PGC-ALZ2 Wightman (incl. UKB proxy)	global_slope	sbr	4308	3601	962850	-0.0164108952002257	0.0145440063399559	0.259233546669761	0.259233546669761
SBayesRC	ALZ	ALZ	EUR	EUR	yes	raw	PGC-ALZ2 Wightman (incl. UKB proxy)	global_slope	sbrc	4308	3601	1154522	-0.0188877456058136	0.0145478358558637	0.19425107278024	0.19425107278024
CT	ALZ	ALZ	EUR	full	no	raw	PGC-ALZ2 Wightman (incl. UKB proxy)	global_slope	0p05	8596	7198	50502	-0.0356786886093413	0.0122552615787708	0.0036089464840726	0.0288715718725808
CT	ALZ	ALZ	EUR	full	no	zanc	PGC-ALZ2 Wightman (incl. UKB proxy)	global_slope	0p05	8596	7198	50502	-0.0330859260581903	0.010369367068299	0.00142441202127776	0.0113952961702221
PRSCS	ALZ	ALZ	EUR	full	no	raw	PGC-ALZ2 Wightman (incl. UKB proxy)	global_slope	prscs	8596	7198	1083388	-0.0347417255124082	0.013132456104078	0.00817292322342619	0.00817292322342619
PRSCS	ALZ	ALZ	EUR	full	no	zanc	PGC-ALZ2 Wightman (incl. UKB proxy)	global_slope	prscs	8596	7198	1083388	-0.0279184331402284	0.0103628738329594	0.00707268325743186	0.00707268325743186
SBayesR	ALZ	ALZ	EUR	full	no	raw	PGC-ALZ2 Wightman (incl. UKB proxy)	global_slope	sbr	8596	7198	962850	-0.0170340894454287	0.0114351217828116	0.136360102094917	0.136360102094917
SBayesR	ALZ	ALZ	EUR	full	no	zanc	PGC-ALZ2 Wightman (incl. UKB proxy)	global_slope	sbr	8596	7198	962850	-0.0152479042232473	0.0103347703524356	0.140143741808018	0.140143741808018
SBayesRC	ALZ	ALZ	EUR	full	no	raw	PGC-ALZ2 Wightman (incl. UKB proxy)	global_slope	sbrc	8596	7198	1154522	-0.0209106333498027	0.0112561502155879	0.06324649399361	0.06324649399361
SBayesRC	ALZ	ALZ	EUR	full	no	zanc	PGC-ALZ2 Wightman (incl. UKB proxy)	global_slope	sbrc	8596	7198	1154522	-0.0188485596921602	0.0103419534156494	0.0684105807543222	0.0684105807543222
CT	ALZnoAPOE	ALZ_noAPOE	EUR	EUR	yes	raw	Wightman minus APOE region	global_slope	0p05	4308	3601	50203	-0.0326280907567716	0.0145654484300988	0.025136903609952	0.201095228879616
PRSCS	ALZnoAPOE	ALZ_noAPOE	EUR	EUR	yes	raw	Wightman minus APOE region	global_slope	prscs	4308	3601	1082203	-0.0222293530270494	0.0145439668161891	0.126483206735593	0.126483206735593
SBayesR	ALZnoAPOE	ALZ_noAPOE	EUR	EUR	yes	raw	Wightman minus APOE region	global_slope	sbr	4308	3601	961787	-0.0196853066875792	0.0145461376805508	0.176033342503396	0.176033342503396
SBayesRC	ALZnoAPOE	ALZ_noAPOE	EUR	EUR	yes	raw	Wightman minus APOE region	global_slope	sbrc	4308	3601	1154522	-0.00852539679308194	0.0145509744203454	0.55797563225197	0.55797563225197
CT	ALZnoAPOE	ALZ_noAPOE	EUR	full	no	raw	Wightman minus APOE region	global_slope	0p05	8596	7198	50203	-0.0330707745138532	0.0123137334630593	0.0072526073095137	0.0580208584761096
CT	ALZnoAPOE	ALZ_noAPOE	EUR	full	no	zanc	Wightman minus APOE region	global_slope	0p05	8596	7198	50203	-0.0312521513466039	0.0103793427146433	0.00261179078582386	0.0208943262865909
PRSCS	ALZnoAPOE	ALZ_noAPOE	EUR	full	no	raw	Wightman minus APOE region	global_slope	prscs	8596	7198	1082203	-0.0372161069676125	0.014195074129372	0.00876365664193383	0.00876365664193383
PRSCS	ALZnoAPOE	ALZ_noAPOE	EUR	full	no	zanc	Wightman minus APOE region	global_slope	prscs	8596	7198	1082203	-0.0289165827793119	0.0103984231152924	0.00543378058751824	0.00543378058751824
SBayesR	ALZnoAPOE	ALZ_noAPOE	EUR	full	no	raw	Wightman minus APOE region	global_slope	sbr	8596	7198	961787	-0.0285123141908904	0.0127838857075207	0.025752033549564	0.025752033549564
SBayesR	ALZnoAPOE	ALZ_noAPOE	EUR	full	no	zanc	Wightman minus APOE region	global_slope	sbr	8596	7198	961787	-0.0248789562346447	0.0103606820488553	0.0163594875538424	0.0163594875538424
SBayesRC	ALZnoAPOE	ALZ_noAPOE	EUR	full	no	raw	Wightman minus APOE region	global_slope	sbrc	8596	7198	1154522	-0.0214191318072943	0.0118767267962679	0.0713530586722696	0.0713530586722696
SBayesRC	ALZnoAPOE	ALZ_noAPOE	EUR	full	no	zanc	Wightman minus APOE region	global_slope	sbrc	8596	7198	1154522	-0.0196063071547765	0.0103273959901937	0.0576680492458687	0.0576680492458687
CT	ALZigap	ALZ_IGAP	EUR	EUR	yes	raw	Kunkle 2019 IGAP, diagnosed only	global_slope	1	4308	3601	383692	-0.0315696973932252	0.0163461394103922	0.0535111134810846	0.428088907848677
PRSCS	ALZigap	ALZ_IGAP	EUR	EUR	yes	raw	Kunkle 2019 IGAP, diagnosed only	global_slope	prscs	4308	3601	1087638	-0.025549876072018	0.0152134767941832	0.093145456846261	0.093145456846261
SBayesR	ALZigap	ALZ_IGAP	EUR	EUR	yes	raw	Kunkle 2019 IGAP, diagnosed only	global_slope	sbr	4308	3601	1092339	-0.0132214960832624	0.0145738133066521	0.364349674767376	0.364349674767376
SBayesRC	ALZigap	ALZ_IGAP	EUR	EUR	yes	raw	Kunkle 2019 IGAP, diagnosed only	global_slope	sbrc	4308	3601	1154522	-0.0132865221400878	0.0145790868833439	0.362169615301575	0.362169615301575
CT	ALZigap	ALZ_IGAP	EUR	full	no	raw	Kunkle 2019 IGAP, diagnosed only	global_slope	0p05	8596	7198	49571	-0.0757197019985021	0.0372911435632478	0.0423374350922677	0.338699480738142
CT	ALZigap	ALZ_IGAP	EUR	full	no	zanc	Kunkle 2019 IGAP, diagnosed only	global_slope	0p05	8596	7198	49571	-0.0182644910229129	0.0112570212862799	0.104735883380465	0.837887067043718
PRSCS	ALZigap	ALZ_IGAP	EUR	full	no	raw	Kunkle 2019 IGAP, diagnosed only	global_slope	prscs	8596	7198	1087638	-0.0419960036774023	0.0328859466244715	0.201631142383386	0.201631142383386
PRSCS	ALZigap	ALZ_IGAP	EUR	full	no	zanc	Kunkle 2019 IGAP, diagnosed only	global_slope	prscs	8596	7198	1087638	-0.00929237912440558	0.0109019439370951	0.394039732899903	0.394039732899903
SBayesR	ALZigap	ALZ_IGAP	EUR	full	no	raw	Kunkle 2019 IGAP, diagnosed only	global_slope	sbr	8596	7198	1092339	-0.0169530938613581	0.0159830765884984	0.288861848668011	0.288861848668011
SBayesR	ALZigap	ALZ_IGAP	EUR	full	no	zanc	Kunkle 2019 IGAP, diagnosed only	global_slope	sbr	8596	7198	1092339	-0.00968886299882592	0.0104056840584638	0.351822902007483	0.351822902007483
SBayesRC	ALZigap	ALZ_IGAP	EUR	full	no	raw	Kunkle 2019 IGAP, diagnosed only	global_slope	sbrc	8596	7198	1154522	-0.0125718059346218	0.0143458404657111	0.380871905666121	0.380871905666121
SBayesRC	ALZigap	ALZ_IGAP	EUR	full	no	zanc	Kunkle 2019 IGAP, diagnosed only	global_slope	sbrc	8596	7198	1154522	-0.00777662615091378	0.0103814912046562	0.453827138015123	0.453827138015123
CT	ALZigapNoAPOE	ALZ_IGAP_noAPOE	EUR	EUR	yes	raw	Kunkle minus APOE region	global_slope	1	4308	3601	383161	-0.031032600379121	0.0164271070866677	0.0589469279373483	0.471575423498786
PRSCS	ALZigapNoAPOE	ALZ_IGAP_noAPOE	EUR	EUR	yes	raw	Kunkle minus APOE region	global_slope	prscs	4308	3601	1086447	-0.0204854986261083	0.0157269759570363	0.192794480758188	0.192794480758188
