phenotype	n_snps	n_mean	lambda_gc	n_p5e8	n_p1e5	min_p	n_chr
baseline_thickness	7469278	4017	1.027	0	149	5.47206585797696e-07	22
global_slope	7469278	4017	1.0001	0	151	1.06613480650055e-07	22
slope_PC1	7469278	4017	1.0051	0	57	6.46908920949004e-07	22
slope_PC2	7469278	4017	1.0186	0	56	2.62941833718912e-07	22
slope_PC3	7469278	4017	0.9953	0	53	1.09630647584432e-07	22
