disorder	phenotype	rg	se	z	p	h2_obs	h2_obs_se	h2_z	gcov_int	underpowered
SCZ	baseline_thickness	0.03551	0.04664	0.7614	0.4464	0.5838	0.1311	4.45	-0.0036	no
SCZ	global_slope	-0.1514	0.09555	-1.585	0.113	0.1650	0.1135	1.45	0.0030	yes
SCZ	slope_PC3	NA	NA	NA	NA	-0.2433	0.0884	-2.75	-0.0060	yes
SCZ	slope_PC2	-0.04473	0.06263	-0.7142	0.4751	0.3398	0.1030	3.30	0.0043	yes
SCZ	slope_PC1	0.08224	0.1307	0.6293	0.5292	0.0836	0.1020	0.82	0.0011	yes
MDD	baseline_thickness	-0.01876	0.04903	-0.3827	0.702	0.5710	0.1312	4.35	-0.0037	no
MDD	global_slope	-0.02901	0.09017	-0.3217	0.7477	0.1577	0.1147	1.37	-0.0009	yes
MDD	slope_PC3	NA	NA	NA	NA	-0.2474	0.0907	-2.73	-0.0017	yes
MDD	slope_PC2	-0.00605	0.0617	-0.09805	0.9219	0.3698	0.1073	3.45	0.0035	yes
MDD	slope_PC1	0.01083	0.1361	0.07959	0.9366	0.0691	0.1047	0.66	-0.0006	yes
