kind	disorder_result	phenotype	construction	variable	n_genes	beta	se	p
reverse	ALZ_noAPOE	baseline_thickness	perregion	baseline_thickness	18171	0.011653	0.0092155	0.20606
reverse	ALZ_noAPOE	baseline_thickness	1lmm	baseline_thickness_1lmm	18177	0.011811	0.0092176	0.2001
reverse	ALZ_noAPOE	global_slope	perregion	global_slope	18171	0.0043142	0.0093093	0.64306
reverse	ALZ_noAPOE	global_slope	1lmm	global_slope_1lmm	18177	0.00082782	0.0092816	0.92893
reverse	ALZ	baseline_thickness	perregion	baseline_thickness	18254	0.01056	0.0092983	0.25609
reverse	ALZ	baseline_thickness	1lmm	baseline_thickness_1lmm	18260	0.01074	0.0093008	0.24823
reverse	ALZ	global_slope	perregion	global_slope	18254	0.00090745	0.0093901	0.92302
reverse	ALZ	global_slope	1lmm	global_slope_1lmm	18260	-0.0011744	0.0093664	0.90022
reverse	ASD	baseline_thickness	perregion	baseline_thickness	18206	0.0014805	0.0092723	0.87315
reverse	ASD	baseline_thickness	1lmm	baseline_thickness_1lmm	18210	0.0018343	0.0092751	0.84323
reverse	ASD	global_slope	perregion	global_slope	18206	0.0027838	0.0092986	0.76466
reverse	ASD	global_slope	1lmm	global_slope_1lmm	18210	-0.01179	0.0093016	0.20499
reverse	EA	baseline_thickness	perregion	baseline_thickness	18264	0.029467	0.010392	0.0045827
reverse	EA	baseline_thickness	1lmm	baseline_thickness_1lmm	18275	0.029873	0.010392	0.00405
reverse	EA	global_slope	perregion	global_slope	18264	0.0089906	0.010353	0.3852
reverse	EA	global_slope	1lmm	global_slope_1lmm	18275	0.0082398	0.010347	0.42586
reverse	MDD_EUR	baseline_thickness	perregion	baseline_thickness	18263	0.039217	0.01096	0.0003469
reverse	MDD_EUR	baseline_thickness	1lmm	baseline_thickness_1lmm	18275	0.039391	0.010956	0.00032514
reverse	MDD_EUR	global_slope	perregion	global_slope	18263	0.013357	0.011004	0.22482
reverse	MDD_EUR	global_slope	1lmm	global_slope_1lmm	18275	0.0039813	0.010971	0.71669
reverse	MDD_div	baseline_thickness	perregion	baseline_thickness	18228	0.040741	0.011226	0.00028546
reverse	MDD_div	baseline_thickness	1lmm	baseline_thickness_1lmm	18240	0.040624	0.01123	0.00029841
reverse	MDD_div	global_slope	perregion	global_slope	18228	0.011902	0.011318	0.29302
reverse	MDD_div	global_slope	1lmm	global_slope_1lmm	18240	0.0042163	0.011276	0.70848
reverse	PGC3_EUR	baseline_thickness	perregion	baseline_thickness	18261	0.022744	0.011243	0.043101
reverse	PGC3_EUR	baseline_thickness	1lmm	baseline_thickness_1lmm	18270	0.022813	0.011241	0.042423
reverse	PGC3_EUR	global_slope	perregion	global_slope	18261	0.017916	0.011246	0.11114
reverse	PGC3_EUR	global_slope	1lmm	global_slope_1lmm	18270	0.021906	0.011185	0.050191
reverse	PGC3_primary	baseline_thickness	perregion	baseline_thickness	18261	0.03003	0.011364	0.0082348
reverse	PGC3_primary	baseline_thickness	1lmm	baseline_thickness_1lmm	18261	0.029959	0.011364	0.0083924
reverse	PGC3_primary	global_slope	perregion	global_slope	18261	0.020863	0.011411	0.067523
reverse	PGC3_primary	global_slope	1lmm	global_slope_1lmm	18261	0.022581	0.011356	0.046792
reverse	SCZ25_EUR	baseline_thickness	perregion	baseline_thickness	18270	0.02244	0.010949	0.040441
reverse	SCZ25_EUR	baseline_thickness	1lmm	baseline_thickness_1lmm	18282	0.022547	0.010948	0.039471
reverse	SCZ25_EUR	global_slope	perregion	global_slope	18270	0.026	0.010998	0.018083
reverse	SCZ25_EUR	global_slope	1lmm	global_slope_1lmm	18282	0.021938	0.010956	0.045262
reverse	SCZ25_META	baseline_thickness	perregion	baseline_thickness	18270	0.028146	0.010714	0.0086195
reverse	SCZ25_META	baseline_thickness	1lmm	baseline_thickness_1lmm	18282	0.028347	0.010714	0.0081599
reverse	SCZ25_META	global_slope	perregion	global_slope	18270	0.023194	0.010742	0.030856
reverse	SCZ25_META	global_slope	1lmm	global_slope_1lmm	18282	0.020972	0.010715	0.050338
reverse	SCZ25_METAnaive	baseline_thickness	perregion	baseline_thickness	18270	0.028509	0.010631	0.0073324
reverse	SCZ25_METAnaive	baseline_thickness	1lmm	baseline_thickness_1lmm	18277	0.028268	0.010629	0.0078336
reverse	SCZ25_METAnaive	global_slope	perregion	global_slope	18270	0.028254	0.010661	0.0080535
reverse	SCZ25_METAnaive	global_slope	1lmm	global_slope_1lmm	18277	0.016934	0.010637	0.11141
forward	ALZ	baseline_thickness	1lmm	ALZ	18260	0.0081071	0.0075441	0.28256
forward	ALZ_noAPOE	baseline_thickness	1lmm	ALZ_noAPOE	18177	0.008699	0.0076691	0.25669
forward	ASD	baseline_thickness	1lmm	ASD	18210	-0.0011339	0.0076535	0.88222
forward	EA	baseline_thickness	1lmm	EA	18275	0.023581	0.0066449	0.0003882
forward	MDD_EUR	baseline_thickness	1lmm	MDD_EUR	18275	0.019711	0.0061459	0.0013435
forward	MDD_div	baseline_thickness	1lmm	MDD_div	18240	0.020458	0.0061082	0.0008126
forward	PGC3_EUR	baseline_thickness	1lmm	PGC3_EUR	18270	0.013802	0.0060672	0.022929
forward	PGC3_primary	baseline_thickness	1lmm	PGC3_primary	18261	0.019108	0.0059913	0.0014295
forward	SCZ25_EUR	baseline_thickness	1lmm	SCZ25_EUR	18282	0.015269	0.0060333	0.01139
forward	SCZ25_META	baseline_thickness	1lmm	SCZ25_META	18282	0.01821	0.0060545	0.0026375
forward	SCZ25_METAnaive	baseline_thickness	1lmm	SCZ25_METAnaive	18277	0.017414	0.0061788	0.0048335
gene-set	MDD sets	baseline_thickness	1lmm	MDD_hc_expression	56	0.10753	0.11878	0.18265
gene-set	MDD sets	baseline_thickness	1lmm	MDD_hc_finemap	160	0.13059	0.07453	0.03988
gene-set	MDD sets	baseline_thickness	1lmm	MDD_hc_protein	10	-0.11243	0.26586	0.66381
gene-set	MDD sets	baseline_thickness	1lmm	MDD_highconf	213	0.091952	0.063932	0.075186
gene-set	MDD sets	baseline_thickness	1lmm	MDD_pool	1881	0.040487	0.026485	0.063186
gene-set	MDD sets	baseline_thickness	1lmm	MDD_pool_not_hc	1668	0.027123	0.027752	0.16421
gene-set	SCZ sets	baseline_thickness	1lmm	PGC3_genesig	704	-0.0019789	0.050057	0.51577
gene-set	SCZ sets	baseline_thickness	1lmm	PGC3_locus_pool	858	0.1056	0.046911	0.0122
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ25_genesig	777	0.10073	0.044211	0.011361
