parcellation,hemi,region,label,stem_a,stem_b,is_global,col_index
dsk,lh,bankssts,lh_bankssts,banksstslh,banksstslh,False,0
dsk,lh,caudalanteriorcingulate,lh_caudalanteriorcingulate,cdacatelh,cdatcgatelh,False,1
dsk,lh,caudalmiddlefrontal,lh_caudalmiddlefrontal,cdmdfrlh,cdmdflh,False,2
dsk,lh,cuneus,lh_cuneus,cuneuslh,cuneuslh,False,3
dsk,lh,entorhinal,lh_entorhinal,ehinallh,ehinallh,False,4
dsk,lh,fusiform,lh_fusiform,fusiformlh,fusiformlh,False,5
dsk,lh,inferiorparietal,lh_inferiorparietal,ifpllh,ifpllh,False,6
dsk,lh,inferiortemporal,lh_inferiortemporal,iftmlh,iftmlh,False,7
dsk,lh,isthmuscingulate,lh_isthmuscingulate,ihcatelh,ihcgatelh,False,8
dsk,lh,lateraloccipital,lh_lateraloccipital,locclh,ltocclh,False,9
dsk,lh,lateralorbitofrontal,lh_lateralorbitofrontal,lobfrlh,ltoboflh,False,10
dsk,lh,lingual,lh_lingual,linguallh,linguallh,False,11
dsk,lh,medialorbitofrontal,lh_medialorbitofrontal,mobfrlh,moboflh,False,12
dsk,lh,middletemporal,lh_middletemporal,mdtmlh,mdtmlh,False,13
dsk,lh,parahippocampal,lh_parahippocampal,parahpallh,parahpallh,False,14
dsk,lh,paracentral,lh_paracentral,paracnlh,paractlh,False,15
dsk,lh,parsopercularis,lh_parsopercularis,parsopclh,popclh,False,16
dsk,lh,parsorbitalis,lh_parsorbitalis,parsobislh,pobalislh,False,17
dsk,lh,parstriangularis,lh_parstriangularis,parstgrislh,parstgslh,False,18
dsk,lh,pericalcarine,lh_pericalcarine,pericclh,pericclh,False,19
dsk,lh,postcentral,lh_postcentral,postcnlh,postctlh,False,20
dsk,lh,posteriorcingulate,lh_posteriorcingulate,ptcatelh,pscgatelh,False,21
dsk,lh,precentral,lh_precentral,precnlh,prectlh,False,22
dsk,lh,precuneus,lh_precuneus,pclh,pnlh,False,23
dsk,lh,rostralanteriorcingulate,lh_rostralanteriorcingulate,rracatelh,rtatcgatelh,False,24
dsk,lh,rostralmiddlefrontal,lh_rostralmiddlefrontal,rrmdfrlh,rtmdflh,False,25
dsk,lh,superiorfrontal,lh_superiorfrontal,sufrlh,suflh,False,26
dsk,lh,superiorparietal,lh_superiorparietal,supllh,supllh,False,27
dsk,lh,superiortemporal,lh_superiortemporal,sutmlh,sutmlh,False,28
dsk,lh,supramarginal,lh_supramarginal,smlh,smlh,False,29
dsk,lh,frontalpole,lh_frontalpole,frpolelh,fpolelh,False,30
dsk,lh,temporalpole,lh_temporalpole,tmpolelh,tmpolelh,False,31
dsk,lh,transversetemporal,lh_transversetemporal,trvtmlh,tvtmlh,False,32
dsk,lh,insula,lh_insula,insulalh,insulalh,False,33
dsk,rh,bankssts,rh_bankssts,banksstsrh,banksstsrh,False,34
dsk,rh,caudalanteriorcingulate,rh_caudalanteriorcingulate,cdacaterh,cdatcgaterh,False,35
dsk,rh,caudalmiddlefrontal,rh_caudalmiddlefrontal,cdmdfrrh,cdmdfrh,False,36
dsk,rh,cuneus,rh_cuneus,cuneusrh,cuneusrh,False,37
dsk,rh,entorhinal,rh_entorhinal,ehinalrh,ehinalrh,False,38
dsk,rh,fusiform,rh_fusiform,fusiformrh,fusiformrh,False,39
dsk,rh,inferiorparietal,rh_inferiorparietal,ifplrh,ifplrh,False,40
dsk,rh,inferiortemporal,rh_inferiortemporal,iftmrh,iftmrh,False,41
dsk,rh,isthmuscingulate,rh_isthmuscingulate,ihcaterh,ihcgaterh,False,42
dsk,rh,lateraloccipital,rh_lateraloccipital,loccrh,ltoccrh,False,43
dsk,rh,lateralorbitofrontal,rh_lateralorbitofrontal,lobfrrh,ltobofrh,False,44
dsk,rh,lingual,rh_lingual,lingualrh,lingualrh,False,45
dsk,rh,medialorbitofrontal,rh_medialorbitofrontal,mobfrrh,mobofrh,False,46
dsk,rh,middletemporal,rh_middletemporal,mdtmrh,mdtmrh,False,47
dsk,rh,parahippocampal,rh_parahippocampal,parahpalrh,parahpalrh,False,48
dsk,rh,paracentral,rh_paracentral,paracnrh,paractrh,False,49
dsk,rh,parsopercularis,rh_parsopercularis,parsopcrh,popcrh,False,50
dsk,rh,parsorbitalis,rh_parsorbitalis,parsobisrh,pobalisrh,False,51
dsk,rh,parstriangularis,rh_parstriangularis,parstgrisrh,parstgsrh,False,52
dsk,rh,pericalcarine,rh_pericalcarine,periccrh,periccrh,False,53
dsk,rh,postcentral,rh_postcentral,postcnrh,postctrh,False,54
dsk,rh,posteriorcingulate,rh_posteriorcingulate,ptcaterh,pscgaterh,False,55
dsk,rh,precentral,rh_precentral,precnrh,prectrh,False,56
dsk,rh,precuneus,rh_precuneus,pcrh,pnrh,False,57
dsk,rh,rostralanteriorcingulate,rh_rostralanteriorcingulate,rracaterh,rtatcgaterh,False,58
dsk,rh,rostralmiddlefrontal,rh_rostralmiddlefrontal,rrmdfrrh,rtmdfrh,False,59
