ensembl,feature_name,PC1_herringV3,PC1_U01V2
ENSG00000234661,CHL1-AS1,0.0004273542,0.00040899424
ENSG00000154764,WNT7A,0.0006432433,0.00066140894
ENSG00000134121,CHL1,0.025717,0.02882883
ENSG00000227110,LMCD1-AS1,-0.033042926,0.0004410896
ENSG00000144635,DYNC1LI1,0.0057882257,0.0056892787
ENSG00000131379,C3orf20,0.00018399609,0.0010740543
ENSG00000206559,ZCWPW2,0.001326627,0.0046563265
ENSG00000227588,CNTN4-AS2,0.0013441338,0.0010696602
ENSG00000230830,ARPP21-AS1,1.8631585e-05,1.709483e-05
ENSG00000070950,RAD18,0.0072640325,0.0070456997
ENSG00000227929,SRGAP3-AS3,1.7205914e-05,6.760072e-06
ENSG00000163576,EFHB,-0.0004467095,0.00065009465
ENSG00000233570,LINC00690,6.7269286e-07,5.9723817e-07
ENSG00000228723,SRGAP3-AS2,1.1072594e-05,6.6855155e-06
ENSG00000093167,LRRFIP2,-0.0033294798,0.014483351
ENSG00000183977,PP2D1,0.00016563977,0.00026497475
ENSG00000235593,RBMS3-AS1,8.810275e-06,9.196078e-05
ENSG00000091317,CMTM6,0.0008584548,0.0023864182
ENSG00000235904,RBMS3-AS3,-0.00036627395,0.0009388329
ENSG00000170860,LSM3,0.00076496653,-0.00043931807
ENSG00000224514,LINC00620,0.0007880237,0.00032842514
ENSG00000114166,KAT2B,-0.027363548,-0.0010919598
ENSG00000187118,CMC1,-5.1502924e-05,0.0041688113
ENSG00000093217,XYLB,0.0061418484,0.00524487
ENSG00000134115,CNTN6,0.00694871,0.010123027
ENSG00000170011,MYRIP,0.03426127,0.029559828
ENSG00000131378,RFTN1,0.015106508,0.011555429
ENSG00000170293,CMTM8,0.0043953247,0.003668814
ENSG00000154783,FGD5,0.0013972463,0.0010594077
ENSG00000170248,PDCD6IP,-0.00046033144,0.009168339
ENSG00000144455,SUMF1,-0.0057819807,0.014168135
ENSG00000144642,RBMS3,-0.0022987577,0.007931922
ENSG00000224808,SRGAP3-AS1,3.62379e-06,1.4931453e-06
ENSG00000172940,SLC22A13,0.00047612019,0.00030938745
ENSG00000175928,LRRN1,0.0067378026,0.0068241465
ENSG00000183960,KCNH8,-0.035155054,-0.0045589
ENSG00000114353,GNAI2,0.00033949222,0.002351304
ENSG00000163512,AZI2,0.0016865872,0.004610535
ENSG00000126062,TMEM115,1.4365448e-05,0.00041394614
ENSG00000114349,GNAT1,-8.4867594e-07,-7.23141e-06
ENSG00000203506,RBMS3-AS2,1.7239367e-05,0.0005255648
ENSG00000114378,HYAL1,0.00038743016,0.0015082404
ENSG00000114388,NPRL2,0.00069112517,0.001645367
ENSG00000168301,KCTD6,-0.0014463814,0.00068124477
ENSG00000144566,RAB5A,0.00013055494,0.0036913939
ENSG00000160746,ANO10,0.014429174,0.015233992
ENSG00000115705,TPO,0.00015049684,0.0005653916
ENSG00000172939,OXSR1,0.0059815133,0.008802004
ENSG00000088543,C3orf18,0.00042065827,0.0012829865
ENSG00000114383,TUSC2,0.0015494497,0.0021001014
ENSG00000144724,PTPRG,0.027682973,0.037124496
