label,hemi,x,y,z,space
lh_V1,lh,38.11818,-72.303185,-57.61297,sphere
rh_V1,rh,-38.11818,-72.303185,-57.61297,sphere
lh_MST,lh,-56.2716,-71.15763,-42.07255,sphere
rh_MST,rh,56.2716,-71.15763,-42.07255,sphere
lh_V6,lh,48.57215,-86.496284,-12.615034,sphere
rh_V6,rh,-48.57215,-86.496284,-12.615034,sphere
lh_V2,lh,33.00708,-75.236176,-57.009212,sphere
rh_V2,rh,-33.00708,-75.236176,-57.009212,sphere
lh_V3,lh,12.234917,-83.00888,-54.404335,sphere
rh_V3,rh,-12.234917,-83.00888,-54.404335,sphere
lh_V4,lh,-7.399914,-80.64243,-58.66889,sphere
rh_V4,rh,7.399914,-80.64243,-58.66889,sphere
lh_V8,lh,-6.4367385,-53.414333,-84.294,sphere
rh_V8,rh,6.4367385,-53.414333,-84.294,sphere
lh_4,lh,4.267851,-1.315537,99.90022,sphere
rh_4,rh,-4.267851,-1.315537,99.90022,sphere
lh_3b,lh,-25.322071,-17.036245,95.22898,sphere
rh_3b,rh,25.322071,-17.036245,95.22898,sphere
lh_FEF,lh,-6.8768187,28.767157,95.5257,sphere
rh_FEF,rh,6.8768187,28.767157,95.5257,sphere
lh_PEF,lh,-36.502296,45.454487,81.24944,sphere
rh_PEF,rh,36.502296,45.454487,81.24944,sphere
lh_55b,lh,-23.847301,36.975403,89.80048,sphere
rh_55b,rh,23.847301,36.975403,89.80048,sphere
lh_V3A,lh,13.363385,-98.52318,-10.705307,sphere
rh_V3A,rh,-13.363385,-98.52318,-10.705307,sphere
lh_RSC,lh,94.391975,-25.290993,-21.225485,sphere
rh_RSC,rh,-94.391975,-25.290993,-21.225485,sphere
lh_POS2,lh,58.238773,-81.235825,2.997764,sphere
rh_POS2,rh,-58.238773,-81.235825,2.997764,sphere
lh_V7,lh,13.535158,-99.00176,3.9305675,sphere
rh_V7,rh,-13.535158,-99.00176,3.9305675,sphere
lh_IPS1,lh,10.823013,-98.202705,15.46255,sphere
rh_IPS1,rh,-10.823013,-98.202705,15.46255,sphere
lh_FFC,lh,-19.022446,-43.397537,-88.06135,sphere
rh_FFC,rh,19.022446,-43.397537,-88.06135,sphere
lh_V3B,lh,-6.908094,-99.71118,-3.1556573,sphere
rh_V3B,rh,6.908094,-99.71118,-3.1556573,sphere
lh_LO1,lh,-31.892181,-86.275116,-39.236374,sphere
rh_LO1,rh,31.892181,-86.275116,-39.236374,sphere
lh_LO2,lh,-31.283844,-75.386795,-57.77675,sphere
rh_LO2,rh,31.283844,-75.386795,-57.77675,sphere
lh_PIT,lh,-22.464203,-67.34029,-70.43185,sphere
rh_PIT,rh,22.464203,-67.34029,-70.43185,sphere
lh_MT,lh,-50.801945,-77.14928,-38.303406,sphere
rh_MT,rh,50.801945,-77.14928,-38.303406,sphere
lh_A1,lh,-92.89175,32.006485,-18.62012,sphere
rh_A1,rh,92.89175,32.006485,-18.62012,sphere
lh_PSL,lh,-96.571945,-23.943481,10.02845,sphere
rh_PSL,rh,96.571945,-23.943481,10.02845,sphere
lh_SFL,lh,67.479904,32.42425,66.295784,sphere
rh_SFL,rh,-67.479904,32.42425,66.295784,sphere
lh_PCV,lh,69.406624,-63.011127,34.818344,sphere
rh_PCV,rh,-69.406624,-63.011127,34.818344,sphere
lh_STV,lh,-94.6008,-32.028454,-4.986837,sphere
rh_STV,rh,94.6008,-32.028454,-4.986837,sphere
lh_7Pm,lh,53.21343,-80.06419,27.532822,sphere
rh_7Pm,rh,-53.21343,-80.06419,27.532822,sphere
lh_7m,lh,71.45599,-69.563,7.4182987,sphere
rh_7m,rh,-71.45599,-69.563,7.4182987,sphere
lh_POS1,lh,78.129425,-51.673706,-35.008865,sphere
rh_POS1,rh,-78.129425,-51.673706,-35.008865,sphere
lh_23d,lh,97.89831,-16.175905,12.42022,sphere
rh_23d,rh,-97.89831,-16.175905,12.42022,sphere
lh_v23ab,lh,83.81254,-50.488453,-20.648836,sphere
rh_v23ab,rh,-83.81254,-50.488453,-20.648836,sphere
lh_d23ab,lh,92.70569,-37.278946,-3.992053,sphere
rh_d23ab,rh,-92.70569,-37.278946,-3.992053,sphere
lh_31pv,lh,87.72138,-48.004494,0.7259817,sphere
rh_31pv,rh,-87.72138,-48.004494,0.7259817,sphere
lh_5m,lh,60.943993,-39.410183,68.794395,sphere
rh_5m,rh,-60.943993,-39.410183,68.794395,sphere
lh_5mv,lh,78.09418,-38.97378,48.809265,sphere
rh_5mv,rh,-78.09418,-38.97378,48.809265,sphere
lh_23c,lh,90.64673,-28.141281,31.483946,sphere
rh_23c,rh,-90.64673,-28.141281,31.483946,sphere
lh_5L,lh,49.402885,-55.41638,66.99536,sphere
rh_5L,rh,-49.402885,-55.41638,66.99536,sphere
lh_24dd,lh,84.20545,-11.143256,52.77566,sphere
rh_24dd,rh,-84.20545,-11.143256,52.77566,sphere
lh_24dv,lh,92.32677,6.470233,37.86693,sphere
rh_24dv,rh,-92.32677,6.470233,37.86693,sphere
lh_7AL,lh,28.562086,-70.74216,64.651024,sphere
rh_7AL,rh,-28.562086,-70.74216,64.651024,sphere
lh_SCEF,lh,78.82378,16.075342,59.400307,sphere
rh_SCEF,rh,-78.82378,16.075342,59.400307,sphere
lh_6ma,lh,54.584007,20.882818,81.14489,sphere
rh_6ma,rh,-54.584007,20.882818,81.14489,sphere
lh_7Am,lh,48.66891,-73.57763,47.092136,sphere
rh_7Am,rh,-48.66891,-73.57763,47.092136,sphere
lh_7PL,lh,32.173668,-89.3815,31.237814,sphere
rh_7PL,rh,-32.173668,-89.3815,31.237814,sphere
lh_7PC,lh,-7.7331333,-72.07915,68.88247,sphere
rh_7PC,rh,7.7331333,-72.07915,68.88247,sphere
lh_LIPv,lh,-4.9202676,-84.65934,52.99611,sphere
rh_LIPv,rh,4.9202676,-84.65934,52.99611,sphere
lh_VIP,lh,18.653088,-85.10921,49.076317,sphere
rh_VIP,rh,-18.653088,-85.10921,49.076317,sphere
lh_MIP,lh,5.858068,-94.59881,31.886494,sphere
rh_MIP,rh,-5.858068,-94.59881,31.886494,sphere
lh_1,lh,-32.238777,-27.2105,90.665596,sphere
rh_1,rh,32.238777,-27.2105,90.665596,sphere
lh_2,lh,-25.762796,-47.801395,83.972046,sphere
rh_2,rh,25.762796,-47.801395,83.972046,sphere
lh_3a,lh,-26.43345,-1.2056592,96.43557,sphere
rh_3a,rh,26.43345,-1.2056592,96.43557,sphere
lh_6d,lh,10.138248,4.804937,99.36865,sphere
rh_6d,rh,-10.138248,4.804937,99.36865,sphere
lh_6mp,lh,50.53885,-4.214887,86.186195,sphere
rh_6mp,rh,-50.53885,-4.214887,86.186195,sphere
lh_6v,lh,-53.321117,43.74416,72.410675,sphere
rh_6v,rh,53.321117,43.74416,72.410675,sphere
lh_p24pr,lh,98.09534,5.484635,18.633955,sphere
rh_p24pr,rh,-98.09534,5.484635,18.633955,sphere
lh_33pr,lh,97.14984,22.606146,7.1323714,sphere
rh_33pr,rh,-97.14984,22.606146,7.1323714,sphere
lh_a24pr,lh,94.51027,28.818163,15.405294,sphere
rh_a24pr,rh,-94.51027,28.818163,15.405294,sphere
lh_p32pr,lh,90.53008,29.52387,30.53927,sphere
rh_p32pr,rh,-90.53008,29.52387,30.53927,sphere
lh_a24,lh,71.7245,67.85161,-15.866738,sphere
rh_a24,rh,-71.7245,67.85161,-15.866738,sphere
lh_d32,lh,76.63949,61.294495,19.219109,sphere
rh_d32,rh,-76.63949,61.294495,19.219109,sphere
lh_8BM,lh,75.525505,47.719955,44.930004,sphere
rh_8BM,rh,-75.525505,47.719955,44.930004,sphere
lh_p32,lh,62.970024,77.12234,-9.323104,sphere
rh_p32,rh,-62.970024,77.12234,-9.323104,sphere
lh_10r,lh,54.311665,82.12288,-17.495068,sphere
rh_10r,rh,-54.311665,82.12288,-17.495068,sphere
lh_47m,lh,-4.029438,93.13353,-36.19268,sphere
rh_47m,rh,4.029438,93.13353,-36.19268,sphere
lh_8Av,lh,1.2534935,58.771683,80.896965,sphere
rh_8Av,rh,-1.2534935,58.771683,80.896965,sphere
lh_8Ad,lh,33.051464,62.820107,70.43603,sphere
rh_8Ad,rh,-33.051464,62.820107,70.43603,sphere
lh_9m,lh,65.151115,72.224556,23.2152,sphere
rh_9m,rh,-65.151115,72.224556,23.2152,sphere
lh_8BL,lh,60.02213,54.769802,58.28905,sphere
rh_8BL,rh,-60.02213,54.769802,58.28905,sphere
lh_9p,lh,44.723328,72.522964,52.34733,sphere
rh_9p,rh,-44.723328,72.522964,52.34733,sphere
lh_10d,lh,49.412968,85.91267,13.318159,sphere
rh_10d,rh,-49.412968,85.91267,13.318159,sphere
lh_8C,lh,-18.51797,67.351395,71.56029,sphere
rh_8C,rh,18.51797,67.351395,71.56029,sphere
lh_44,lh,-54.03183,79.94843,26.245169,sphere
rh_44,rh,54.03183,79.94843,26.245169,sphere
lh_45,lh,-38.393276,92.27683,3.307888,sphere
rh_45,rh,38.393276,92.27683,3.307888,sphere
lh_47l,lh,-20.06345,95.37939,-22.365833,sphere
rh_47l,rh,20.06345,95.37939,-22.365833,sphere
lh_a47r,lh,-1.4740578,99.23167,-12.28428,sphere
rh_a47r,rh,1.4740578,99.23167,-12.28428,sphere
lh_6r,lh,-59.657745,62.338543,50.545616,sphere
rh_6r,rh,59.657745,62.338543,50.545616,sphere
lh_IFJa,lh,-41.39674,73.98356,53.03529,sphere
rh_IFJa,rh,41.39674,73.98356,53.03529,sphere
lh_IFJp,lh,-41.833954,61.116207,67.19174,sphere
rh_IFJp,rh,41.833954,61.116207,67.19174,sphere
lh_IFSp,lh,-37.016327,83.55027,40.609657,sphere
rh_IFSp,rh,37.016327,83.55027,40.609657,sphere
lh_IFSa,lh,-26.437014,93.04763,25.361841,sphere
rh_IFSa,rh,26.437014,93.04763,25.361841,sphere
lh_p9-46v,lh,-14.737415,83.698044,52.70148,sphere
rh_p9-46v,rh,14.737415,83.698044,52.70148,sphere
lh_46,lh,3.0226128,85.54644,51.69788,sphere
rh_46,rh,-3.0226128,85.54644,51.69788,sphere
lh_a9-46v,lh,1.1734545,98.08945,19.418617,sphere
rh_a9-46v,rh,-1.1734545,98.08945,19.418617,sphere
lh_9-46d,lh,18.916065,89.037285,41.407036,sphere
rh_9-46d,rh,-18.916065,89.037285,41.407036,sphere
lh_9a,lh,40.88071,83.712204,36.34603,sphere
rh_9a,rh,-40.88071,83.712204,36.34603,sphere
lh_10v,lh,45.921482,84.59709,-27.10255,sphere
rh_10v,rh,-45.921482,84.59709,-27.10255,sphere
lh_a10p,lh,20.301373,97.91752,-0.123054884,sphere
rh_a10p,rh,-20.301373,97.91752,-0.123054884,sphere
lh_10pp,lh,33.67169,93.26893,-12.927641,sphere
rh_10pp,rh,-33.67169,93.26893,-12.927641,sphere
lh_11l,lh,13.914977,95.47669,-26.278786,sphere
rh_11l,rh,-13.914977,95.47669,-26.278786,sphere
lh_13l,lh,10.695144,86.4604,-49.093933,sphere
rh_13l,rh,-10.695144,86.4604,-49.093933,sphere
lh_OFC,lh,33.767654,81.05063,-47.859592,sphere
rh_OFC,rh,-33.767654,81.05063,-47.859592,sphere
lh_47s,lh,-9.625258,85.199814,-51.462086,sphere
rh_47s,rh,9.625258,85.199814,-51.462086,sphere
lh_LIPd,lh,-22.841103,-85.00518,47.459488,sphere
rh_LIPd,rh,22.841103,-85.00518,47.459488,sphere
lh_6a,lh,24.908783,25.70529,93.374466,sphere
rh_6a,rh,-24.908783,25.70529,93.374466,sphere
lh_i6-8,lh,15.445481,46.888565,86.96493,sphere
rh_i6-8,rh,-15.445481,46.888565,86.96493,sphere
lh_s6-8,lh,47.09399,47.10665,74.58632,sphere
rh_s6-8,rh,-47.09399,47.10665,74.58632,sphere
lh_43,lh,-74.425125,53.71615,39.692272,sphere
rh_43,rh,74.425125,53.71615,39.692272,sphere
lh_OP4,lh,-83.07065,36.36862,42.149628,sphere
rh_OP4,rh,83.07065,36.36862,42.149628,sphere
lh_OP1,lh,-91.958145,29.057472,26.445475,sphere
rh_OP1,rh,91.958145,29.057472,26.445475,sphere
lh_OP2-3,lh,-87.70384,46.61245,11.6325035,sphere
rh_OP2-3,rh,87.70384,46.61245,11.6325035,sphere
lh_52,lh,-81.073975,49.24271,-31.65698,sphere
rh_52,rh,81.073975,49.24271,-31.65698,sphere
lh_RI,lh,-98.25915,17.268026,6.852272,sphere
rh_RI,rh,98.25915,17.268026,6.852272,sphere
lh_PFcm,lh,-95.99488,5.7729387,27.416348,sphere
rh_PFcm,rh,95.99488,5.7729387,27.416348,sphere
lh_PoI2,lh,-55.792816,69.89089,-44.748463,sphere
rh_PoI2,rh,55.792816,69.89089,-44.748463,sphere
lh_TA2,lh,-67.83174,45.41011,-57.764835,sphere
rh_TA2,rh,67.83174,45.41011,-57.764835,sphere
lh_FOP4,lh,-61.502193,78.85098,-0.04415428,sphere
rh_FOP4,rh,61.502193,78.85098,-0.04415428,sphere
lh_MI,lh,-50.426895,77.31836,-38.457752,sphere
rh_MI,rh,50.426895,77.31836,-38.457752,sphere
lh_Pir,lh,-14.239639,68.32501,-71.616516,sphere
rh_Pir,rh,14.239639,68.32501,-71.616516,sphere
lh_AVI,lh,-31.669676,85.737595,-40.57212,sphere
rh_AVI,rh,31.669676,85.737595,-40.57212,sphere
lh_AAIC,lh,-22.427664,76.23296,-60.70861,sphere
rh_AAIC,rh,22.427664,76.23296,-60.70861,sphere
lh_FOP1,lh,-72.684654,64.53148,23.508072,sphere
rh_FOP1,rh,72.684654,64.53148,23.508072,sphere
lh_FOP3,lh,-67.84006,72.65738,-10.891831,sphere
rh_FOP3,rh,67.84006,72.65738,-10.891831,sphere
lh_FOP2,lh,-77.65723,62.484688,8.063416,sphere
rh_FOP2,rh,77.65723,62.484688,8.063416,sphere
lh_PFt,lh,-73.226715,-22.972559,64.11014,sphere
rh_PFt,rh,73.226715,-22.972559,64.11014,sphere
lh_AIP,lh,-45.74602,-59.817005,65.79687,sphere
rh_AIP,rh,45.74602,-59.817005,65.79687,sphere
lh_EC,lh,7.9269104,26.45379,-96.11119,sphere
rh_EC,rh,-7.9269104,26.45379,-96.11119,sphere
lh_PreS,lh,45.990623,-2.3149157,-88.76657,sphere
rh_PreS,rh,-45.990623,-2.3149157,-88.76657,sphere
lh_H,lh,35.112026,19.39948,-91.60135,sphere
rh_H,rh,-35.112026,19.39948,-91.60135,sphere
lh_ProS,lh,69.78116,-38.604073,-60.335022,sphere
rh_ProS,rh,-69.78116,-38.604073,-60.335022,sphere
lh_PeEc,lh,-4.8485723,23.114798,-97.170975,sphere
rh_PeEc,rh,4.8485723,23.114798,-97.170975,sphere
lh_STGa,lh,-56.924206,43.400227,-69.82875,sphere
rh_STGa,rh,56.924206,43.400227,-69.82875,sphere
lh_PBelt,lh,-96.520584,13.554152,-22.362059,sphere
rh_PBelt,rh,96.520584,13.554152,-22.362059,sphere
lh_A5,lh,-89.580605,10.346584,-43.223427,sphere
rh_A5,rh,89.580605,10.346584,-43.223427,sphere
lh_PHA1,lh,35.144814,-7.284394,-93.336914,sphere
rh_PHA1,rh,-35.144814,-7.284394,-93.336914,sphere
lh_PHA3,lh,11.088792,-15.200716,-98.213936,sphere
rh_PHA3,rh,-11.088792,-15.200716,-98.213936,sphere
lh_STSda,lh,-78.72589,19.253397,-58.57934,sphere
rh_STSda,rh,78.72589,19.253397,-58.57934,sphere
lh_STSdp,lh,-90.46213,-16.430952,-39.327175,sphere
rh_STSdp,rh,90.46213,-16.430952,-39.327175,sphere
lh_STSvp,lh,-82.12451,-21.780739,-52.736736,sphere
rh_STSvp,rh,82.12451,-21.780739,-52.736736,sphere
lh_TGd,lh,-35.18244,44.052723,-82.5927,sphere
rh_TGd,rh,35.18244,44.052723,-82.5927,sphere
lh_TE1a,lh,-63.11561,9.144027,-77.024704,sphere
rh_TE1a,rh,63.11561,9.144027,-77.024704,sphere
lh_TE1p,lh,-65.50481,-34.52574,-67.209335,sphere
rh_TE1p,rh,65.50481,-34.52574,-67.209335,sphere
lh_TE2a,lh,-45.884686,-3.4052055,-88.78626,sphere
rh_TE2a,rh,45.884686,-3.4052055,-88.78626,sphere
lh_TF,lh,-17.111523,-2.4309037,-98.49511,sphere
rh_TF,rh,17.111523,-2.4309037,-98.49511,sphere
lh_TE2p,lh,-32.76774,-26.524712,-90.679184,sphere
rh_TE2p,rh,32.76774,-26.524712,-90.679184,sphere
lh_PHT,lh,-68.53841,-51.347385,-51.63267,sphere
rh_PHT,rh,68.53841,-51.347385,-51.63267,sphere
lh_PH,lh,-40.576466,-54.20243,-73.59108,sphere
rh_PH,rh,40.576466,-54.20243,-73.59108,sphere
lh_TPOJ1,lh,-89.85823,-37.894318,-22.125092,sphere
rh_TPOJ1,rh,89.85823,-37.894318,-22.125092,sphere
lh_TPOJ2,lh,-72.72462,-62.21059,-28.999561,sphere
rh_TPOJ2,rh,72.72462,-62.21059,-28.999561,sphere
lh_TPOJ3,lh,-56.23088,-79.5241,-22.671673,sphere
rh_TPOJ3,rh,56.23088,-79.5241,-22.671673,sphere
lh_DVT,lh,55.486893,-82.55477,-10.291486,sphere
rh_DVT,rh,-55.486893,-82.55477,-10.291486,sphere
lh_PGp,lh,-36.78581,-92.32141,-11.11579,sphere
rh_PGp,rh,36.78581,-92.32141,-11.11579,sphere
lh_IP2,lh,-51.713043,-70.48594,48.554043,sphere
rh_IP2,rh,51.713043,-70.48594,48.554043,sphere
lh_IP1,lh,-25.329327,-92.551796,28.152973,sphere
rh_IP1,rh,25.329327,-92.551796,28.152973,sphere
lh_IP0,lh,-16.975157,-98.33349,6.5090685,sphere
rh_IP0,rh,16.975157,-98.33349,6.5090685,sphere
lh_PFop,lh,-85.38034,5.889032,51.725395,sphere
rh_PFop,rh,85.38034,5.889032,51.725395,sphere
lh_PF,lh,-88.04413,-26.134384,39.56292,sphere
rh_PF,rh,88.04413,-26.134384,39.56292,sphere
lh_PFm,lh,-70.63003,-64.1846,29.861954,sphere
rh_PFm,rh,70.63003,-64.1846,29.861954,sphere
lh_PGi,lh,-74.62297,-66.51709,-2.624685,sphere
rh_PGi,rh,74.62297,-66.51709,-2.624685,sphere
lh_PGs,lh,-50.646454,-85.7829,8.73102,sphere
rh_PGs,rh,50.646454,-85.7829,8.73102,sphere
lh_V6A,lh,30.616001,-95.0772,4.7943344,sphere
rh_V6A,rh,-30.616001,-95.0772,4.7943344,sphere
lh_VMV1,lh,41.98585,-27.990685,-86.33487,sphere
rh_VMV1,rh,-41.98585,-27.990685,-86.33487,sphere
lh_VMV3,lh,8.568067,-37.522884,-92.29637,sphere
rh_VMV3,rh,-8.568067,-37.522884,-92.29637,sphere
lh_PHA2,lh,23.679472,-9.501061,-96.69029,sphere
rh_PHA2,rh,-23.679472,-9.501061,-96.69029,sphere
