comparison	variable	type	n_genes	beta	se	p
baseline_thickness_ahba_components_posneg	C1+	COVAR	6942	0.0082354	0.035617	0.81715
baseline_thickness_ahba_components_posneg	C2+	COVAR	6942	0.023586	0.056465	0.67617
baseline_thickness_ahba_components_posneg	C3+	COVAR	6942	0.14452	0.071868	0.044375
baseline_thickness_ahba_components_posneg	C1-	COVAR	6942	-0.023015	0.033506	0.49217
baseline_thickness_ahba_components_posneg	C2-	COVAR	6942	0.032468	0.062201	0.6017
baseline_thickness_ahba_components_posneg	C3-	COVAR	6942	-0.067437	0.073477	0.35875
baseline_thickness_snrnaseq_pc1	PC1_herringV3+	COVAR	15542	0.93669	1.4633	0.5221
baseline_thickness_snrnaseq_pc1	PC1_U01V2+	COVAR	15542	1.6706	1.2429	0.17895
baseline_thickness_snrnaseq_pc1	PC1_herringV3-	COVAR	15542	1.5209	2.4192	0.52958
baseline_thickness_snrnaseq_pc1	PC1_U01V2-	COVAR	15542	4.1991	11.659	0.71873
global_slope_ahba_components_posneg	C1+	COVAR	6942	-0.025854	0.035366	0.46478
global_slope_ahba_components_posneg	C2+	COVAR	6942	0.076667	0.056061	0.1715
global_slope_ahba_components_posneg	C3+	COVAR	6942	0.06092	0.071382	0.39345
global_slope_ahba_components_posneg	C1-	COVAR	6942	-0.028091	0.03327	0.39852
global_slope_ahba_components_posneg	C2-	COVAR	6942	-0.085836	0.061756	0.1646
global_slope_ahba_components_posneg	C3-	COVAR	6942	0.068216	0.072961	0.34984
global_slope_snrnaseq_pc1	PC1_herringV3+	COVAR	15542	1.3598	1.4551	0.35005
global_slope_snrnaseq_pc1	PC1_U01V2+	COVAR	15542	1.5992	1.2359	0.19573
global_slope_snrnaseq_pc1	PC1_herringV3-	COVAR	15542	0.3062	2.4057	0.89872
global_slope_snrnaseq_pc1	PC1_U01V2-	COVAR	15542	8.1462	11.593	0.48227
MDD_vs_baseline_thickness	baseline_thickness	COVAR	18239	0.04712	0.011254	2.8453e-05
MDD_vs_global_slope	global_slope	COVAR	18239	-0.01212	0.011235	0.2807
MDD_vs_slope_PC1	slope_PC1	COVAR	18239	-0.012256	0.011259	0.27635
MDD_vs_slope_PC2	slope_PC2	COVAR	18239	0.003961	0.01108	0.72073
MDD_vs_slope_PC3	slope_PC3	COVAR	18239	0.0036902	0.011281	0.74359
SCZ_vs_baseline_thickness	baseline_thickness	COVAR	18355	0.025059	0.011313	0.026775
SCZ_vs_global_slope	global_slope	COVAR	18355	0.011225	0.011326	0.32166
SCZ_vs_slope_PC1	slope_PC1	COVAR	18355	0.0077146	0.011331	0.496
SCZ_vs_slope_PC2	slope_PC2	COVAR	18355	-0.0099949	0.011163	0.37061
SCZ_vs_slope_PC3	slope_PC3	COVAR	18355	0.01656	0.011294	0.14258
slope_PC1_ahba_components_posneg	C1+	COVAR	6942	0.0020407	0.034923	0.9534
slope_PC1_ahba_components_posneg	C2+	COVAR	6942	0.1234	0.055343	0.0258
slope_PC1_ahba_components_posneg	C3+	COVAR	6942	0.039165	0.070487	0.57848
slope_PC1_ahba_components_posneg	C1-	COVAR	6942	-0.028679	0.032852	0.38271
slope_PC1_ahba_components_posneg	C2-	COVAR	6942	-0.030953	0.060988	0.6118
slope_PC1_ahba_components_posneg	C3-	COVAR	6942	-0.0092416	0.072048	0.89794
slope_PC1_snrnaseq_pc1	PC1_herringV3+	COVAR	15542	-0.41381	1.4563	0.7763
slope_PC1_snrnaseq_pc1	PC1_U01V2+	COVAR	15542	0.96534	1.237	0.43519
slope_PC1_snrnaseq_pc1	PC1_herringV3-	COVAR	15542	2.4635	2.4076	0.30623
slope_PC1_snrnaseq_pc1	PC1_U01V2-	COVAR	15542	13.274	11.602	0.25263
slope_PC2_ahba_components_posneg	C1+	COVAR	6942	-0.00629	0.035488	0.85932
slope_PC2_ahba_components_posneg	C2+	COVAR	6942	0.047732	0.056257	0.39621
slope_PC2_ahba_components_posneg	C3+	COVAR	6942	-0.037092	0.071628	0.60458
slope_PC2_ahba_components_posneg	C1-	COVAR	6942	-0.017252	0.033384	0.60534
slope_PC2_ahba_components_posneg	C2-	COVAR	6942	0.070667	0.061969	0.25418
slope_PC2_ahba_components_posneg	C3-	COVAR	6942	0.056871	0.073211	0.4373
slope_PC2_snrnaseq_pc1	PC1_herringV3+	COVAR	15542	-1.6961	1.4813	0.25221
slope_PC2_snrnaseq_pc1	PC1_U01V2+	COVAR	15542	0.013401	1.2583	0.9915
slope_PC2_snrnaseq_pc1	PC1_herringV3-	COVAR	15542	5.4225	2.4486	0.026808
slope_PC2_snrnaseq_pc1	PC1_U01V2-	COVAR	15542	2.806	11.802	0.81208
slope_PC3_ahba_components_posneg	C1+	COVAR	6942	0.045906	0.035056	0.19042
slope_PC3_ahba_components_posneg	C2+	COVAR	6942	0.042524	0.055581	0.44425
slope_PC3_ahba_components_posneg	C3+	COVAR	6942	0.0096274	0.070767	0.89179
slope_PC3_ahba_components_posneg	C1-	COVAR	6942	-0.037349	0.03298	0.25748
slope_PC3_ahba_components_posneg	C2-	COVAR	6942	-0.02906	0.061229	0.63508
slope_PC3_ahba_components_posneg	C3-	COVAR	6942	0.070173	0.072328	0.33198
slope_PC3_snrnaseq_pc1	PC1_herringV3+	COVAR	15542	-0.099973	1.4654	0.94561
slope_PC3_snrnaseq_pc1	PC1_U01V2+	COVAR	15542	1.1869	1.2447	0.34032
slope_PC3_snrnaseq_pc1	PC1_herringV3-	COVAR	15542	1.1483	2.4227	0.63553
slope_PC3_snrnaseq_pc1	PC1_U01V2-	COVAR	15542	2.1975	11.675	0.85071
