participant_id	session_id
sub-0W0932W4	ses-02A
sub-5NVYVN9F	ses-00A
sub-5NVYVN9F	ses-04A
sub-75EWTV73	ses-00A
sub-75EWTV73	ses-02A
sub-9JLEZ6WE	ses-00A
sub-9JLEZ6WE	ses-04A
sub-CNZEMPHG	ses-00A
sub-CNZEMPHG	ses-04A
sub-JB9K1ZVX	ses-00A
sub-JB9K1ZVX	ses-02A
sub-JB9K1ZVX	ses-04A
sub-JB9K1ZVX	ses-06A
sub-MTHF6N0P	ses-00A
sub-ZRBMFHKB	ses-00A
sub-ZRBMFHKB	ses-02A
