session	measure	max_abs_diff
sub-003RTV85/ses-06A	nverts	0.0
sub-003RTV85/ses-06A	thickness_mm	0.0
sub-003RTV85/ses-06A	area_mm2	0.0
sub-003RTV85/ses-06A	gmv_mm3	0.0
sub-00R4TXET/ses-00A	nverts	0.0
sub-00R4TXET/ses-00A	thickness_mm	0.0
sub-00R4TXET/ses-00A	area_mm2	0.0
sub-00R4TXET/ses-00A	gmv_mm3	0.0
sub-00UMK5VC/ses-06A	nverts	0.0
sub-00UMK5VC/ses-06A	thickness_mm	0.0
sub-00UMK5VC/ses-06A	area_mm2	0.0
sub-00UMK5VC/ses-06A	gmv_mm3	0.0
sub-010ZM3H9/ses-00A	nverts	0.0
sub-010ZM3H9/ses-00A	thickness_mm	0.0
sub-010ZM3H9/ses-00A	area_mm2	0.0
sub-010ZM3H9/ses-00A	gmv_mm3	0.0
sub-01D03VR7/ses-00A	nverts	0.0
sub-01D03VR7/ses-00A	thickness_mm	0.0
sub-01D03VR7/ses-00A	area_mm2	0.0
sub-01D03VR7/ses-00A	gmv_mm3	0.0
sub-01NAYMZH/ses-06A	nverts	0.0
sub-01NAYMZH/ses-06A	thickness_mm	0.0
sub-01NAYMZH/ses-06A	area_mm2	0.0
sub-01NAYMZH/ses-06A	gmv_mm3	0.0
sub-01Z8HAPV/ses-00A	nverts	0.0
sub-01Z8HAPV/ses-00A	thickness_mm	0.0
sub-01Z8HAPV/ses-00A	area_mm2	0.0
sub-01Z8HAPV/ses-00A	gmv_mm3	0.0
sub-028D3ELL/ses-04A	nverts	0.0
sub-028D3ELL/ses-04A	thickness_mm	0.0
sub-028D3ELL/ses-04A	area_mm2	0.0
sub-028D3ELL/ses-04A	gmv_mm3	0.0
sub-02RCED7D/ses-00A	nverts	0.0
sub-02RCED7D/ses-00A	thickness_mm	0.0
sub-02RCED7D/ses-00A	area_mm2	0.0
sub-02RCED7D/ses-00A	gmv_mm3	0.0
sub-02WP3TP6/ses-06A	nverts	0.0
sub-02WP3TP6/ses-06A	thickness_mm	0.0
sub-02WP3TP6/ses-06A	area_mm2	0.0
sub-02WP3TP6/ses-06A	gmv_mm3	0.0
sub-0387TP8R/ses-02A	nverts	0.0
sub-0387TP8R/ses-02A	thickness_mm	0.0
sub-0387TP8R/ses-02A	area_mm2	0.0
sub-0387TP8R/ses-02A	gmv_mm3	0.0
sub-03CV8RDT/ses-02A	nverts	0.0
sub-03CV8RDT/ses-02A	thickness_mm	0.0
sub-03CV8RDT/ses-02A	area_mm2	0.0
sub-03CV8RDT/ses-02A	gmv_mm3	0.0
sub-03YU08FA/ses-00A	nverts	0.0
sub-03YU08FA/ses-00A	thickness_mm	0.0
sub-03YU08FA/ses-00A	area_mm2	0.0
sub-03YU08FA/ses-00A	gmv_mm3	0.0
sub-03YU08FA/ses-04A	nverts	0.0
sub-03YU08FA/ses-04A	thickness_mm	0.0
sub-03YU08FA/ses-04A	area_mm2	0.0
sub-03YU08FA/ses-04A	gmv_mm3	0.0
sub-04CLBZAD/ses-00A	nverts	0.0
sub-04CLBZAD/ses-00A	thickness_mm	0.0
sub-04CLBZAD/ses-00A	area_mm2	0.0
sub-04CLBZAD/ses-00A	gmv_mm3	0.0
sub-04EUBGTM/ses-02A	nverts	0.0
sub-04EUBGTM/ses-02A	thickness_mm	0.0
sub-04EUBGTM/ses-02A	area_mm2	0.0
sub-04EUBGTM/ses-02A	gmv_mm3	0.0
sub-04GAB2AA/ses-06A	nverts	0.0
sub-04GAB2AA/ses-06A	thickness_mm	0.0
sub-04GAB2AA/ses-06A	area_mm2	0.0
sub-04GAB2AA/ses-06A	gmv_mm3	0.0
