column	n	frac_equal	frac_within_0.001	max_abs_diff	n_diff_gt_0.01
mr_y_smri__thk__dsk__bstmps__lh_mean	30260	0.9993060145406477	0.9994051553205552	0.10599999999999987	10
mr_y_smri__thk__dsk__bstmps__rh_mean	30260	0.9993721083939193	0.9993721083939193	0.07000000000000028	14
mr_y_smri__thk__dsk__cac__lh_mean	30260	0.9993060145406477	0.9994051553205552	0.1589999999999998	15
mr_y_smri__thk__dsk__cac__rh_mean	30260	0.9993721083939193	0.9994051553205552	0.1160000000000001	14
mr_y_smri__thk__dsk__cmfrt__lh_mean	30260	0.9992729676140119	0.9994051553205552	0.05600000000000005	14
mr_y_smri__thk__dsk__cmfrt__rh_mean	30260	0.9994051553205552	0.9995042961004627	0.05099999999999971	9
mr_y_smri__thk__dsk__cn__lh_mean	30260	0.9992729676140119	0.9993060145406477	0.07799999999999985	14
mr_y_smri__thk__dsk__cn__rh_mean	30260	0.9994051553205552	0.9995042961004627	0.058000000000000274	11
mr_y_smri__thk__dsk__er__lh_mean	30260	0.9993060145406477	0.9993390614672836	0.1759999999999997	18
mr_y_smri__thk__dsk__er__rh_mean	30260	0.9994051553205552	0.9994051553205552	0.21300000000000008	17
mr_y_smri__thk__dsk__pfrt__lh_mean	30260	0.9993060145406477	0.9993060145406477	0.1160000000000001	16
mr_y_smri__thk__dsk__pfrt__rh_mean	30260	0.9994051553205552	0.999438202247191	0.2240000000000002	15
mr_y_smri__thk__dsk__ff__lh_mean	30260	0.9993390614672836	0.9994712491738268	0.028999999999999915	9
mr_y_smri__thk__dsk__ff__rh_mean	30260	0.9993721083939193	0.9994051553205552	0.05900000000000016	11
mr_y_smri__thk__dsk__iprt__lh_mean	30260	0.9993390614672836	0.9994051553205552	0.05900000000000016	10
mr_y_smri__thk__dsk__iprt__rh_mean	30260	0.9993721083939193	0.9994712491738268	0.06899999999999995	11
mr_y_smri__thk__dsk__itmp__lh_mean	30260	0.9993390614672836	0.9993721083939193	0.05900000000000016	14
mr_y_smri__thk__dsk__itmp__rh_mean	30260	0.999438202247191	0.9994712491738268	0.05500000000000016	8
mr_y_smri__thk__dsk__ins__lh_mean	30260	0.9992729676140119	0.9993721083939193	0.133	17
mr_y_smri__thk__dsk__ins__rh_mean	30260	0.9993721083939193	0.9993721083939193	0.11900000000000022	17
mr_y_smri__thk__dsk__ic__lh_mean	30260	0.9993390614672836	0.9994051553205552	0.07499999999999996	13
mr_y_smri__thk__dsk__ic__rh_mean	30260	0.9993721083939193	0.9993721083939193	0.10499999999999998	17
mr_y_smri__thk__dsk__locc__lh_mean	30260	0.9993721083939193	0.9995042961004627	0.04300000000000015	10
mr_y_smri__thk__dsk__locc__rh_mean	30260	0.9994051553205552	0.999438202247191	0.04499999999999993	9
mr_y_smri__thk__dsk__lobfrt__lh_mean	30260	0.9993390614672836	0.9994051553205552	0.07500000000000018	13
mr_y_smri__thk__dsk__lobfrt__rh_mean	30260	0.999438202247191	0.999438202247191	0.13599999999999968	14
mr_y_smri__thk__dsk__lg__lh_mean	30260	0.9993060145406477	0.999438202247191	0.03400000000000025	4
mr_y_smri__thk__dsk__lg__rh_mean	30260	0.9994051553205552	0.9995042961004627	0.10000000000000009	10
mr_y_smri__thk__dsk__mobfrt__lh_mean	30260	0.9992729676140119	0.9993390614672836	0.125	14
mr_y_smri__thk__dsk__mobfrt__rh_mean	30260	0.9993721083939193	0.9994051553205552	0.12299999999999978	13
mr_y_smri__thk__dsk__mtmp__lh_mean	30260	0.9992729676140119	0.9993060145406477	0.052999999999999936	9
mr_y_smri__thk__dsk__mtmp__rh_mean	30260	0.9993721083939193	0.9993721083939193	0.07800000000000029	10
mr_y_smri__thk__dsk__pactr__lh_mean	30260	0.9993060145406477	0.9993060145406477	0.04800000000000004	10
mr_y_smri__thk__dsk__pactr__rh_mean	30260	0.9993721083939193	0.9994051553205552	0.04700000000000015	11
mr_y_smri__thk__dsk__ph__lh_mean	30260	0.9992729676140119	0.9992729676140119	0.07100000000000017	16
mr_y_smri__thk__dsk__ph__rh_mean	30260	0.9993721083939193	0.9994051553205552	0.07799999999999985	12
mr_y_smri__thk__dsk__pop__lh_mean	30260	0.9993060145406477	0.9993060145406477	0.08699999999999974	13
mr_y_smri__thk__dsk__pop__rh_mean	30260	0.9993721083939193	0.9993721083939193	0.0690000000000004	12
mr_y_smri__thk__dsk__pob__lh_mean	30260	0.9993060145406477	0.9993390614672836	0.11899999999999977	13
mr_y_smri__thk__dsk__pob__rh_mean	30260	0.9993721083939193	0.9993721083939193	0.08299999999999974	11
mr_y_smri__thk__dsk__ptg__lh_mean	30260	0.9993060145406477	0.9994051553205552	0.06899999999999995	14
mr_y_smri__thk__dsk__ptg__rh_mean	30260	0.9994051553205552	0.999438202247191	0.04499999999999993	11
mr_y_smri__thk__dsk__pcc__lh_mean	30260	0.9992729676140119	0.9993390614672836	0.10099999999999998	15
mr_y_smri__thk__dsk__pcc__rh_mean	30260	0.9994051553205552	0.9994051553205552	0.07099999999999995	14
mr_y_smri__thk__dsk__poctr__lh_mean	30260	0.9993060145406477	0.999438202247191	0.03200000000000003	10
mr_y_smri__thk__dsk__poctr__rh_mean	30260	0.9994051553205552	0.9994051553205552	0.04400000000000004	9
mr_y_smri__thk__dsk__pcg__lh_mean	30260	0.9993390614672836	0.9993721083939193	0.09299999999999997	13
mr_y_smri__thk__dsk__pcg__rh_mean	30260	0.9994051553205552	0.9994051553205552	0.06400000000000006	14
mr_y_smri__thk__dsk__prctr__lh_mean	30260	0.9992729676140119	0.9994051553205552	0.051000000000000156	7
mr_y_smri__thk__dsk__prctr__rh_mean	30260	0.999438202247191	0.9995373430270985	0.04800000000000004	8
mr_y_smri__thk__dsk__prcn__lh_mean	30260	0.999438202247191	0.9995042961004627	0.07399999999999984	10
mr_y_smri__thk__dsk__prcn__rh_mean	30260	0.999438202247191	0.9994712491738268	0.06099999999999994	13
mr_y_smri__thk__dsk__rac__lh_mean	30260	0.9992729676140119	0.9993060145406477	0.2889999999999997	16
mr_y_smri__thk__dsk__rac__rh_mean	30260	0.9993721083939193	0.9993721083939193	0.16900000000000004	15
mr_y_smri__thk__dsk__rmfrt__lh_mean	30260	0.9993390614672836	0.9993721083939193	0.07299999999999995	11
mr_y_smri__thk__dsk__rmfrt__rh_mean	30260	0.9994051553205552	0.999438202247191	0.08400000000000007	11
mr_y_smri__thk__dsk__sfrt__lh_mean	30260	0.9993390614672836	0.9993721083939193	0.09800000000000031	14
mr_y_smri__thk__dsk__sfrt__rh_mean	30260	0.9994051553205552	0.9995042961004627	0.06999999999999984	9
mr_y_smri__thk__dsk__sprt__lh_mean	30260	0.9993721083939193	0.9994712491738268	0.04200000000000026	8
mr_y_smri__thk__dsk__sprt__rh_mean	30260	0.9994051553205552	0.9994712491738268	0.03699999999999992	8
mr_y_smri__thk__dsk__stmp__lh_mean	30260	0.9993390614672836	0.9993721083939193	0.050000000000000266	11
mr_y_smri__thk__dsk__stmp__rh_mean	30260	0.9994712491738268	0.9995042961004627	0.05900000000000016	14
mr_y_smri__thk__dsk__sm__lh_mean	30260	0.9993390614672836	0.9993721083939193	0.06300000000000017	13
mr_y_smri__thk__dsk__sm__rh_mean	30260	0.9994712491738268	0.9995042961004627	0.07100000000000017	10
mr_y_smri__thk__dsk__ptmp__lh_mean	30260	0.9992729676140119	0.9992729676140119	0.17099999999999982	16
mr_y_smri__thk__dsk__ptmp__rh_mean	30260	0.9994051553205552	0.9994051553205552	0.11900000000000022	12
mr_y_smri__thk__dsk__ttmp__lh_mean	30260	0.9993060145406477	0.999438202247191	0.11400000000000032	12
mr_y_smri__thk__dsk__ttmp__rh_mean	30260	0.9993721083939193	0.999438202247191	0.129	16
