column	n	frac_equal	frac_within_0.001	max_abs_diff	n_diff_gt_0.01
mr_y_smri__thk__dsk__bstmps__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.12399999999999967	1
mr_y_smri__thk__dsk__bstmps__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.02499999999999991	1
mr_y_smri__thk__dsk__cac__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.16999999999999993	1
mr_y_smri__thk__dsk__cac__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.06199999999999983	1
mr_y_smri__thk__dsk__cmfrt__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.02499999999999991	1
mr_y_smri__thk__dsk__cmfrt__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.11299999999999999	1
mr_y_smri__thk__dsk__cn__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.021999999999999797	1
mr_y_smri__thk__dsk__cn__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.041999999999999815	1
mr_y_smri__thk__dsk__er__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.29800000000000004	1
mr_y_smri__thk__dsk__er__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.258	1
mr_y_smri__thk__dsk__pfrt__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.10599999999999987	1
mr_y_smri__thk__dsk__pfrt__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.0860000000000003	1
mr_y_smri__thk__dsk__ff__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.07499999999999973	1
mr_y_smri__thk__dsk__ff__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.10600000000000032	1
mr_y_smri__thk__dsk__iprt__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.02499999999999991	1
mr_y_smri__thk__dsk__iprt__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.007000000000000117	0
mr_y_smri__thk__dsk__itmp__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.20900000000000007	1
mr_y_smri__thk__dsk__itmp__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.20599999999999996	1
mr_y_smri__thk__dsk__ins__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.04499999999999993	1
mr_y_smri__thk__dsk__ins__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.02699999999999969	1
mr_y_smri__thk__dsk__ic__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.07800000000000029	1
mr_y_smri__thk__dsk__ic__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.03300000000000036	1
mr_y_smri__thk__dsk__locc__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.040999999999999925	1
mr_y_smri__thk__dsk__locc__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.008000000000000007	0
mr_y_smri__thk__dsk__lobfrt__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.08199999999999985	1
mr_y_smri__thk__dsk__lobfrt__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.08899999999999997	1
mr_y_smri__thk__dsk__lg__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.15300000000000002	1
mr_y_smri__thk__dsk__lg__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.007000000000000117	0
mr_y_smri__thk__dsk__mobfrt__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.06700000000000017	1
mr_y_smri__thk__dsk__mobfrt__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.03599999999999959	1
mr_y_smri__thk__dsk__mtmp__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.03600000000000003	1
mr_y_smri__thk__dsk__mtmp__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.07299999999999995	1
mr_y_smri__thk__dsk__pactr__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.14000000000000012	1
mr_y_smri__thk__dsk__pactr__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.13900000000000023	1
mr_y_smri__thk__dsk__ph__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.10099999999999998	1
mr_y_smri__thk__dsk__ph__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.01100000000000012	1
mr_y_smri__thk__dsk__pop__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.04300000000000015	1
mr_y_smri__thk__dsk__pop__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.008999999999999897	0
mr_y_smri__thk__dsk__pob__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.06000000000000005	1
mr_y_smri__thk__dsk__pob__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.014000000000000234	1
mr_y_smri__thk__dsk__ptg__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.09699999999999998	1
mr_y_smri__thk__dsk__ptg__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.039000000000000146	1
mr_y_smri__thk__dsk__pcc__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.018000000000000016	1
mr_y_smri__thk__dsk__pcc__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.07299999999999995	1
mr_y_smri__thk__dsk__poctr__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.03299999999999992	1
mr_y_smri__thk__dsk__poctr__rh_mean	33792	0.9999704071969697	1.0	0.0009999999999998899	0
mr_y_smri__thk__dsk__pcg__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.09499999999999975	1
mr_y_smri__thk__dsk__pcg__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.05600000000000005	1
mr_y_smri__thk__dsk__prctr__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.10499999999999998	1
mr_y_smri__thk__dsk__prctr__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.06300000000000017	1
mr_y_smri__thk__dsk__prcn__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.06400000000000006	1
mr_y_smri__thk__dsk__prcn__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.07500000000000018	1
mr_y_smri__thk__dsk__rac__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.21399999999999997	1
mr_y_smri__thk__dsk__rac__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.129	1
mr_y_smri__thk__dsk__rmfrt__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.020000000000000018	1
mr_y_smri__thk__dsk__rmfrt__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.03600000000000003	1
mr_y_smri__thk__dsk__sfrt__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.05500000000000016	1
mr_y_smri__thk__dsk__sfrt__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.10399999999999965	1
mr_y_smri__thk__dsk__sprt__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.016999999999999904	1
mr_y_smri__thk__dsk__sprt__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.02200000000000024	1
mr_y_smri__thk__dsk__stmp__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.016999999999999904	1
mr_y_smri__thk__dsk__stmp__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.06000000000000005	1
mr_y_smri__thk__dsk__sm__lh_mean	33792	0.9999704071969697	0.9999704071969697	0.06899999999999995	1
mr_y_smri__thk__dsk__sm__rh_mean	33792	0.9999704071969697	0.9999704071969697	0.005999999999999783	0
