phenotype	n_snps	n_mean	lambda_gc	n_p5e8	n_p1e5	min_p	n_chr
baseline_thickness_1lmm	9426204	8395	1.0405	1	212	3.96061722396207e-08	22
global_slope_1lmm	9426204	8395	1.0268	1	168	4.19541043547574e-08	22
