GENE	C1	C2	C3	C1+	C2+	C3+	C1-	C2-	C3-
84448	-0.770465	-0.0704396	0.348891	0	0	0.348891	0.770465	0.0704396	0
22885	-0.819999	0.21132	0.0610266	0	0.21132	0.0610266	0.819999	0	0
29	-0.464917	-0.355823	0.131019	0	0	0.131019	0.464917	0.355823	0
58527	0.574116	0.0604265	0.400472	0.574116	0.0604265	0.400472	0	0	0
80325	0.740217	0.397492	0.31366	0.740217	0.397492	0.31366	0	0	0
25841	0.648505	0.208672	-0.54308	0.648505	0.208672	0	0	0	0.54308
33	-0.775234	0.00299036	-0.0871907	0	0.00299036	0	0.775234	0	0.0871907
35	-0.468646	0.133634	-0.0637896	0	0.133634	0	0.468646	0	0.0637896
36	0.468628	-0.532777	-0.211225	0.468628	0	0	0	0.532777	0.211225
176	0.902666	0.20418	-0.26536	0.902666	0.20418	0	0	0	0.26536
116983	-0.266916	-0.604246	0.141286	0	0	0.141286	0.266916	0.604246	0
39	-0.538292	0.586924	0.138622	0	0.586924	0.138622	0.538292	0	0
55331	0.506823	0.257481	-0.167412	0.506823	0.257481	0	0	0	0.167412
43	0.219395	0.640608	0.0495481	0.219395	0.640608	0.0495481	0	0	0
2532	-0.275676	-0.44346	0.343167	0	0	0.343167	0.275676	0.44346	0
57007	-0.77645	-0.0968214	0.00417917	0	0	0.00417917	0.77645	0.0968214	0
48	-0.0145445	-0.0671995	-0.494857	0	0	0	0.0145445	0.0671995	0.494857
50	-0.361834	0.399273	-0.231314	0	0.399273	0	0.361834	0	0.231314
55856	-0.195518	0.703059	-0.0880461	0	0.703059	0	0.195518	0	0.0880461
10965	-0.887183	-0.0751577	0.0494165	0	0	0.0494165	0.887183	0.0751577	0
10005	-0.645634	0.492386	0.0956993	0	0.492386	0.0956993	0.645634	0	0
8309	-0.558195	0.144094	-0.157822	0	0.144094	0	0.558195	0	0.157822
8310	-0.697314	0.15965	0.154876	0	0.15965	0.154876	0.697314	0	0
52	-0.817768	0.0466793	0.116133	0	0.0466793	0.116133	0.817768	0	0
80221	-0.599923	-0.014267	-0.127451	0	0	0	0.599923	0.014267	0.127451
197322	0.713036	0.176221	0.108143	0.713036	0.176221	0.108143	0	0	0
2180	0.106712	0.141985	-0.302196	0.106712	0.141985	0	0	0	0.302196
2181	0.636498	-0.0490862	0.435091	0.636498	0	0.435091	0	0.0490862	0
2182	-0.799368	0.0667576	0.254717	0	0.0667576	0.254717	0.799368	0	0
23305	0.887439	0.108532	-0.137818	0.887439	0.108532	0	0	0	0.137818
55902	0.601315	0.335742	-0.12045	0.601315	0.335742	0	0	0	0.12045
79611	-0.413957	0.119629	-0.117827	0	0.119629	0	0.413957	0	0.117827
58	-0.480078	0.647565	0.150651	0	0.647565	0.150651	0.480078	0	0
60	-0.696017	0.137707	0.0661299	0	0.137707	0.0661299	0.696017	0	0
70	-0.579401	0.601783	0.113429	0	0.601783	0.113429	0.579401	0	0
71	-0.820902	0.186967	0.0670056	0	0.186967	0.0670056	0.820902	0	0
86	-0.067252	0.202029	-0.534981	0	0.202029	0	0.067252	0	0.534981
87	-0.361712	-0.223494	0.502475	0	0	0.502475	0.361712	0.223494	0
88	-0.196432	0.525969	0.473425	0	0.525969	0.473425	0.196432	0	0
