disorder	phenotype	rg	se	z	p	h2_obs	h2_obs_se	h2_z	gcov_int	underpowered
SCZ	baseline_thickness	0.01895	0.05719	0.3313	0.7404	0.4214	0.1084	3.89	-0.0051	yes
SCZ	global_slope	-0.199	0.2178	-0.9135	0.361	0.0617	0.1092	0.57	0.0047	yes
SCZ	slope_PC3	NA	NA	NA	NA	-0.3141	0.0986	-3.19	-0.0055	yes
SCZ	slope_PC2	-0.06575	0.06201	-1.06	0.2891	0.3527	0.1108	3.18	0.0060	yes
SCZ	slope_PC1	0.1631	0.3688	0.4422	0.6584	0.0355	0.1105	0.32	-0.0005	yes
MDD	baseline_thickness	-0.02704	0.05786	-0.4673	0.6403	0.4222	0.1165	3.62	-0.0055	yes
MDD	global_slope	-0.04301	0.151	-0.2848	0.7758	0.0620	0.1072	0.58	0.0009	yes
MDD	slope_PC3	NA	NA	NA	NA	-0.3057	0.1001	-3.05	-0.0014	yes
MDD	slope_PC2	-0.01943	0.06494	-0.2991	0.7648	0.3771	0.1157	3.26	0.0044	yes
MDD	slope_PC1	-0.01779	0.466	-0.03818	0.9695	0.0296	0.1122	0.26	0.0003	yes
