label,PLS1_gene_scores,PLS1_imaging_scores,PLS2_gene_scores,PLS2_imaging_scores,PLS3_gene_scores,PLS3_imaging_scores
lh_bankssts,-36.5472,0.229335,-28.9749,-0.302458,-48.794,-0.151647
lh_caudalanteriorcingulate,112.331,1.85887,38.4412,0.779161,63.1605,0.720781
lh_caudalmiddlefrontal,-11.8541,-0.671884,-65.0421,-1.49234,35.7684,0.480512
lh_cuneus,-146.03,-1.37671,78.4368,1.67262,-21.3334,-0.0201446
lh_entorhinal,142.307,1.30829,63.5434,1.65887,39.1244,0.175287
lh_fusiform,27.9174,0.0952422,-2.26516,0.431496,-59.1278,-1.39055
lh_inferiorparietal,-44.9997,-1.39297,7.70557,-0.840976,-12.8473,-0.18157
lh_inferiortemporal,37.763,0.176554,-4.02567,-0.0713328,-36.3487,-1.27425
lh_isthmuscingulate,-14.4204,0.637752,43.7528,0.200865,38.9841,0.430079
lh_lateraloccipital,-112.604,-1.68078,35.565,0.634106,-28.7777,-0.746412
lh_lateralorbitofrontal,31.1961,1.2047,-28.7954,-0.123971,-31.306,-0.428608
lh_lingual,-112.627,-1.03281,86.1909,1.75696,-14.7198,-0.458328
lh_medialorbitofrontal,69.1281,1.64838,-43.7809,0.074252,-36.6576,0.077086
lh_middletemporal,35.0906,0.133389,-23.1625,-0.484005,-31.9434,-0.758809
lh_parahippocampal,92.5037,1.14642,40.1038,0.972026,-27.838,0.00454483
lh_paracentral,-47.1798,-1.48524,-30.1814,-0.442644,44.8326,0.318937
lh_parsopercularis,26.4847,0.234248,-52.8748,-1.10569,28.5713,-0.0251477
lh_parsorbitalis,10.5554,0.713126,-44.2579,-0.995467,-13.5502,0.288644
lh_parstriangularis,2.56375,0.248447,-70.82,-1.44603,9.70091,0.303529
lh_pericalcarine,-142.719,-0.947749,143.494,2.47888,3.38793,0.679289
lh_postcentral,-71.6222,-0.886846,-10.6556,0.107171,53.3335,0.596253
lh_posteriorcingulate,24.707,0.770865,-5.49097,-0.167332,31.987,0.418571
lh_precentral,-33.8206,-0.949205,-46.0285,-0.264513,61.0957,0.707627
lh_precuneus,-47.2447,-1.68098,-19.581,-0.713472,-24.617,-0.184142
lh_rostralanteriorcingulate,112.575,2.20945,21.4261,0.920809,-1.27552,0.245535
lh_rostralmiddlefrontal,2.43043,-0.269126,-53.8482,-1.90796,-12.9976,0.337309
lh_superiorfrontal,16.4508,-0.537508,-51.6366,-2.24262,13.7182,0.209661
lh_superiorparietal,-62.5278,-2.29502,-6.08247,-0.720968,1.0748,0.504808
lh_superiortemporal,22.9266,-0.024321,-15.7841,-0.71808,-38.3178,-1.04918
lh_supramarginal,-20.536,-0.809113,-33.0532,-0.926322,-7.14619,0.349954
lh_temporalpole,143.191,1.06105,37.2389,1.45314,56.0417,0.502363
lh_transversetemporal,-81.2303,0.285893,39.3259,0.433329,0.641657,-0.267191
lh_insula,75.8418,2.07826,1.11693,1.39249,-33.8245,-0.414792
