label,PLS1_gene_scores,PLS1_imaging_scores,PLS2_gene_scores,PLS2_imaging_scores,PLS3_gene_scores,PLS3_imaging_scores,PLS4_gene_scores,PLS4_imaging_scores
lh_bankssts,-23.1797,0.231349,-24.499,-0.891452,-13.2392,-0.092905,-22.0403,0.135118
lh_caudalanteriorcingulate,85.7979,1.16377,23.7763,-1.13798,24.2333,-0.0242138,60.7221,1.96944
lh_caudalmiddlefrontal,-1.65322,-0.320251,-18.5425,0.428864,46.3996,1.20475,-18.1571,0.115923
lh_cuneus,-133.652,-2.27873,27.4671,0.516477,-35.472,-0.692636,7.19617,-0.00846074
lh_entorhinal,118.163,2.13703,75.4645,3.02933,11.6202,0.258579,25.078,-0.251179
lh_fusiform,30.8654,0.413496,1.48313,0.328045,-24.3167,-0.0846348,-13.0824,-0.248222
lh_inferiorparietal,-35.717,-0.342511,-7.68927,-1.10649,-6.95421,-0.160108,-8.49033,-0.305632
lh_inferiortemporal,37.3233,1.09065,-4.54743,0.050702,-17.481,-0.722774,-13.3572,-0.408441
lh_isthmuscingulate,-22.2102,-1.47737,9.1364,-0.800662,14.0667,1.07272,31.6869,0.752746
lh_lateraloccipital,-98.9753,-1.60039,10.4168,1.00521,-25.5762,-0.172474,-6.10654,0.0220922
lh_lateralorbitofrontal,28.9123,0.798898,-28.0176,-0.683789,-16.7817,-0.605924,-2.81629,-0.125114
lh_lingual,-108.857,-1.78146,25.5608,0.408442,-37.0705,-0.508474,13.943,0.207101
lh_medialorbitofrontal,65.2326,0.758355,-29.6722,-0.991877,-22.3731,-1.17067,-2.01535,0.497308
lh_middletemporal,37.6978,1.54486,-6.82562,-0.0986241,-11.7377,-0.639233,-13.6494,-0.342696
lh_parahippocampal,76.6079,1.02947,29.379,0.65701,-17.6625,-0.471885,18.8863,0.214516
lh_paracentral,-37.7053,-1.76533,-4.8204,-0.632317,49.7108,1.13092,-4.50152,-0.947864
lh_parsopercularis,24.0505,0.401302,-18.6229,0.141331,27.7152,0.660337,-14.676,0.39356
lh_parsorbitalis,10.1975,0.776309,-34.1676,-1.33353,-9.73932,-0.796519,-18.9166,-0.865129
lh_parstriangularis,4.88036,0.230508,-36.1663,-0.620788,9.76605,-0.342334,-21.6555,-0.0218704
lh_pericalcarine,-141.327,-2.32842,50.9667,1.69191,-52.8316,-0.954199,38.1874,0.86549
lh_postcentral,-63.0186,-1.81934,15.7097,0.551068,30.347,-0.207072,-13.226,-0.14401
lh_posteriorcingulate,17.0119,-0.111926,-15.3148,-1.29961,25.8916,0.826773,23.7869,1.35439
lh_precentral,-24.8095,-1.04866,0.683522,2.1293,62.5445,1.93215,-11.5848,0.101859
lh_precuneus,-33.3565,-0.805117,-19.619,-1.23645,-4.48772,0.241278,-8.94773,-0.126787
lh_rostralanteriorcingulate,88.5707,1.70605,-7.52633,-1.22339,-10.9579,-0.0692628,46.4322,1.06079
lh_rostralmiddlefrontal,7.81412,0.0252442,-35.3662,-1.05839,-4.25079,-0.660522,-15.3221,0.101792
lh_superiorfrontal,20.7937,0.397259,-22.6344,-0.479923,31.7312,0.352579,-2.38166,-0.609294
lh_superiorparietal,-48.2288,-1.48288,-6.37752,-0.472194,4.16783,0.0813356,-9.0768,-0.265756
lh_superiortemporal,24.7638,1.11876,-5.2853,0.524121,-16.2712,-0.191374,-18.5608,-0.419012
lh_supramarginal,-8.47429,0.0336101,-18.0994,-0.336933,6.50761,0.101805,-21.0784,-0.154715
lh_temporalpole,121.243,3.0771,59.4474,2.55429,4.0169,-0.0182907,-12.9698,-1.44257
lh_transversetemporal,-82.3636,-0.966034,18.4922,0.330381,-6.48403,0.626637,-1.67674,-0.654913
lh_insula,63.6015,1.19443,-4.18996,0.0579242,-15.0309,0.0956452,8.37042,-0.450464
