label,PLS1_gene_scores,PLS1_imaging_scores,PLS2_gene_scores,PLS2_imaging_scores
lh_bankssts,-32.1622,-0.199193,-47.505,-0.664631
lh_caudalanteriorcingulate,92.8296,-0.38088,50.2475,0.15467
lh_caudalmiddlefrontal,8.87988,0.505251,-21.1186,0.539534
lh_cuneus,-158.289,-1.75899,49.6904,0.45482
lh_entorhinal,150.218,2.52289,98.1413,2.23961
lh_fusiform,27.4533,0.428404,-19.9411,0.0967214
lh_inferiorparietal,-43.1587,-0.494148,-6.95101,-1.07272
lh_inferiortemporal,36.6066,0.52988,-14.5063,-0.309805
lh_isthmuscingulate,-26.8837,-0.954742,43.5617,-0.0509152
lh_lateraloccipital,-115.51,-0.899454,16.4388,0.885596
lh_lateralorbitofrontal,18.9972,0.0730938,-42.1101,-0.718725
lh_lingual,-128.828,-1.44656,53.6664,0.485366
lh_medialorbitofrontal,61.8166,-0.608343,-62.9479,-0.660345
lh_middletemporal,38.7846,0.811044,-23.8454,-0.406219
lh_parahippocampal,78.4797,0.528509,30.1409,0.566397
lh_paracentral,-29.6099,-0.349657,0.33742,-0.874503
lh_parsopercularis,37.0988,0.498855,-20.322,0.383262
lh_parsorbitalis,6.01583,0.0882708,-58.8196,-1.68819
lh_parstriangularis,7.7109,-0.19288,-49.427,-0.558138
lh_pericalcarine,-171.055,-1.97789,106.818,1.88984
lh_postcentral,-49.0646,-1.12092,27.8613,0.428345
lh_posteriorcingulate,16.9716,-0.563037,-1.57874,-0.194348
lh_precentral,-7.49456,0.886119,8.03152,2.01098
lh_precuneus,-41.6592,-0.700146,-33.3314,-1.01741
lh_rostralanteriorcingulate,84.4466,0.320601,-19.6179,-0.466407
lh_rostralmiddlefrontal,3.81208,-0.676488,-55.0189,-0.861793
lh_superiorfrontal,24.1585,0.582482,-33.4921,-0.725913
lh_superiorparietal,-52.5789,-0.971247,-5.69177,-0.460965
lh_superiortemporal,25.6033,0.971581,-25.5194,0.115584
lh_supramarginal,-5.22383,0.0496647,-25.334,-0.354643
lh_temporalpole,170.344,3.37827,65.3868,1.10032
lh_transversetemporal,-89.4089,0.0581961,37.2327,-0.00739204
lh_insula,60.6985,1.06147,-20.4762,-0.257983
