label,PLS1_gene_scores,PLS1_imaging_scores,PLS2_gene_scores,PLS2_imaging_scores,PLS3_gene_scores,PLS3_imaging_scores
lh_bankssts,-27.0935,0.243456,-16.6373,-0.288114,-32.2318,-0.157455
lh_caudalanteriorcingulate,93.0973,1.81695,23.5062,0.836406,50.7581,0.762324
lh_caudalmiddlefrontal,-6.87756,-0.612443,-50.3592,-1.53232,27.3595,0.431634
lh_cuneus,-128.63,-1.44634,52.6469,1.61287,-8.92452,0.0111711
lh_entorhinal,119.071,1.23478,46.8221,1.70707,29.3785,0.235431
lh_fusiform,27.98,0.0903238,4.93524,0.474087,-39.436,-1.37694
lh_inferiorparietal,-38.7752,-1.3541,-1.46133,-0.89363,-10.2716,-0.219981
lh_inferiortemporal,33.6125,0.191814,-4.39115,-0.0279307,-32.5685,-1.27373
lh_isthmuscingulate,-17.3906,0.624418,20.7389,0.215448,21.3518,0.44241
lh_lateraloccipital,-97.6895,-1.6989,26.0249,0.583284,-15.4489,-0.746856
lh_lateralorbitofrontal,29.8146,1.21299,-20.701,-0.0608591,-19.0654,-0.418708
lh_lingual,-102.937,-1.1021,56.7224,1.72396,-13.9647,-0.42073
lh_medialorbitofrontal,64.7848,1.6429,-21.6381,0.141624,-19.6538,0.0970936
lh_middletemporal,33.3683,0.161229,-11.713,-0.456397,-24.1091,-0.770423
lh_parahippocampal,79.887,1.10394,31.0435,1.01908,-15.6097,0.0439741
lh_paracentral,-38.7923,-1.4681,-21.3259,-0.513792,35.3799,0.290331
lh_parsopercularis,21.9318,0.281299,-38.0743,-1.09366,10.5864,-0.0532058
lh_parsorbitalis,8.47101,0.75198,-31.8974,-0.972178,-13.3425,0.268725
lh_parstriangularis,2.40197,0.306764,-46.9399,-1.44221,-3.70294,0.266053
lh_pericalcarine,-129.897,-1.05889,92.0904,2.41653,0.31244,0.737306
lh_postcentral,-64.2406,-0.89636,-1.75705,0.0527913,31.2989,0.589281
lh_posteriorcingulate,19.3548,0.773177,-10.5972,-0.146327,19.1286,0.422162
lh_precentral,-27.9012,-0.943933,-32.9392,-0.324181,44.667,0.68963
lh_precuneus,-36.0539,-1.64725,-11.9992,-0.778386,-9.65016,-0.222163
lh_rostralanteriorcingulate,95.0913,2.16579,16.6274,1.00605,10.1043,0.295037
lh_rostralmiddlefrontal,4.81768,-0.190998,-36.8728,-1.92636,-8.67638,0.281377
lh_superiorfrontal,18.566,-0.443649,-38.3823,-2.26833,18.094,0.141588
lh_superiorparietal,-51.8389,-2.26708,-6.43593,-0.831196,2.99763,0.459574
lh_superiortemporal,21.9366,0.0164499,-5.25415,-0.688663,-28.5159,-1.06887
lh_supramarginal,-14.3663,-0.772346,-24.5939,-0.969156,-10.149,0.315314
lh_temporalpole,116.384,0.993346,28.4,1.48196,20.0301,0.553966
lh_transversetemporal,-74.9895,0.269788,29.1097,0.452365,1.56235,-0.251951
lh_insula,66.9026,2.02108,5.30254,1.49016,-17.6884,-0.353364
