label,PLS1_gene_scores,PLS1_imaging_scores
lh_bankssts,-38.097,-0.692497
lh_caudalanteriorcingulate,82.8623,0.0132951
lh_caudalmiddlefrontal,-10.8472,0.681053
lh_cuneus,-64.239,-0.182047
lh_entorhinal,134.927,2.97434
lh_fusiform,14.2081,0.239009
lh_inferiorparietal,-29.8461,-1.17745
lh_inferiortemporal,14.4948,-0.107276
lh_isthmuscingulate,0.367655,-0.378191
lh_lateraloccipital,-56.7651,0.519582
lh_lateralorbitofrontal,-6.93611,-0.649014
lh_lingual,-49.9258,-0.0452621
lh_medialorbitofrontal,13.0674,-0.830077
lh_middletemporal,13.8047,-0.100426
lh_parahippocampal,69.0443,0.714305
lh_paracentral,-19.6466,-0.941472
lh_parsopercularis,2.33674,0.532224
lh_parsorbitalis,-24.2968,-1.55332
lh_parstriangularis,-26.4897,-0.590399
lh_pericalcarine,-48.9317,1.08854
lh_postcentral,-23.4712,0.0139417
lh_posteriorcingulate,6.01111,-0.377197
lh_precentral,-6.70788,2.19338
lh_precuneus,-37.2567,-1.19684
lh_rostralanteriorcingulate,53.0778,-0.326629
lh_rostralmiddlefrontal,-25.2948,-1.04266
lh_superiorfrontal,-0.286697,-0.479465
lh_superiorparietal,-34.8159,-0.768613
lh_superiortemporal,5.7355,0.444691
lh_supramarginal,-21.1362,-0.315539
lh_temporalpole,117.736,2.20149
lh_transversetemporal,-36.9519,0.0132056
lh_insula,34.2698,0.125318
