label,PLS1_gene_scores,PLS1_imaging_scores,PLS2_gene_scores,PLS2_imaging_scores
lh_bankssts,-35.2141,-0.327092,-45.7156,-0.610414
lh_caudalanteriorcingulate,96.0049,0.127793,41.8441,-0.0519233
lh_caudalmiddlefrontal,-19.6365,-0.64601,5.56198,1.10716
lh_cuneus,-121.638,-0.500496,34.171,0.0566286
lh_entorhinal,162.6,2.72843,78.721,1.92859
lh_fusiform,34.5248,0.444596,-32.5188,0.0369495
lh_inferiorparietal,-38.5116,-0.75234,-7.73598,-0.935127
lh_inferiortemporal,39.4919,1.02201,-23.1452,-0.656372
lh_isthmuscingulate,-26.2085,-1.8513,50.4413,0.542694
lh_lateraloccipital,-94.3993,-0.167014,8.93459,0.674005
lh_lateralorbitofrontal,20.1412,0.389628,-49.8635,-0.936709
lh_lingual,-96.1461,-0.392292,39.4372,0.154368
lh_medialorbitofrontal,61.1981,0.579855,-75.8279,-1.24073
lh_middletemporal,37.2887,1.13287,-29.1177,-0.706704
lh_parahippocampal,94.9338,1.23655,7.30208,0.158704
lh_paracentral,-56.2916,-2.07322,31.6507,0.0230586
lh_parsopercularis,11.4063,-0.07423,0.331488,0.639681
lh_parsorbitalis,-1.31696,0.0593625,-57.996,-1.78456
lh_parstriangularis,-14.0656,-0.0306745,-32.6618,-0.650409
lh_pericalcarine,-111.57,0.381552,74.7998,1.02896
lh_postcentral,-64.5486,-0.539816,52.5051,0.298465
lh_posteriorcingulate,2.11819,-1.21401,11.9318,0.210035
lh_precentral,-40.2639,-0.491771,44.0676,2.73357
lh_precuneus,-42.7239,-1.30604,-31.073,-0.667025
lh_rostralanteriorcingulate,92.2592,0.326644,-39.3018,-0.539796
lh_rostralmiddlefrontal,-5.17112,-0.191974,-51.819,-1.07646
lh_superiorfrontal,3.37646,-0.326879,-17.9283,-0.370045
lh_superiorparietal,-53.8011,-1.13862,0.860727,-0.271304
lh_superiortemporal,25.8891,0.988219,-31.3642,-0.0155862
lh_supramarginal,-17.4434,-0.251445,-14.6073,-0.224504
lh_temporalpole,172.294,3.03339,51.2069,0.896431
lh_transversetemporal,-79.8145,-0.756719,41.0764,0.411237
lh_insula,65.238,0.581044,-34.1677,-0.162855
