label,PLS1_gene_scores,PLS1_imaging_scores
lh_bankssts,-48.1259,-0.692497
lh_caudalanteriorcingulate,93.6543,0.0132951
lh_caudalmiddlefrontal,-11.0529,0.681053
lh_cuneus,-66.0911,-0.182047
lh_entorhinal,160.216,2.97434
lh_fusiform,9.65924,0.239009
lh_inferiorparietal,-32.5275,-1.17745
lh_inferiortemporal,12.6144,-0.107276
lh_isthmuscingulate,5.81284,-0.378191
lh_lateraloccipital,-60.1072,0.519582
lh_lateralorbitofrontal,-13.8263,-0.649014
lh_lingual,-48.6152,-0.0452621
lh_medialorbitofrontal,4.91062,-0.830077
lh_middletemporal,11.5138,-0.100426
lh_parahippocampal,72.8757,0.714305
lh_paracentral,-19.9609,-0.941472
lh_parsopercularis,3.55351,0.532224
lh_parsorbitalis,-33.3407,-1.55332
lh_parstriangularis,-33.0454,-0.590399
lh_pericalcarine,-41.4777,1.08854
lh_postcentral,-17.7863,0.0139417
lh_posteriorcingulate,5.45179,-0.377197
lh_precentral,-2.79827,2.19338
lh_precuneus,-43.6166,-1.19684
lh_rostralanteriorcingulate,49.4277,-0.326629
lh_rostralmiddlefrontal,-32.7914,-1.04266
lh_superiorfrontal,-4.33255,-0.479465
lh_superiorparietal,-36.419,-0.768613
lh_superiortemporal,1.68173,0.444691
lh_supramarginal,-23.0457,-0.315539
lh_temporalpole,141.101,2.20149
lh_transversetemporal,-33.7052,0.0132056
lh_insula,30.1934,0.125318
