label,PLS1_gene_scores,PLS1_imaging_scores,PLS2_gene_scores,PLS2_imaging_scores
lh_bankssts,-25.996,-0.28973,-28.0917,-0.629008
lh_caudalanteriorcingulate,83.1501,0.130689,31.2359,-0.0441314
lh_caudalmiddlefrontal,-15.8184,-0.711527,1.44835,1.06623
lh_cuneus,-111.789,-0.502998,28.9036,0.0263785
lh_entorhinal,129.501,2.60731,57.4771,2.08943
lh_fusiform,34.1783,0.441563,-17.0031,0.0636626
lh_inferiorparietal,-34.4674,-0.694647,-6.18019,-0.978746
lh_inferiortemporal,37.3242,1.05969,-20.103,-0.59362
lh_isthmuscingulate,-20.9745,-1.88063,24.0943,0.430196
lh_lateraloccipital,-85.6742,-0.207309,10.8277,0.662721
lh_lateralorbitofrontal,23.1401,0.445343,-36.399,-0.911539
lh_lingual,-88.505,-0.400878,24.2862,0.130458
lh_medialorbitofrontal,58.0917,0.653537,-45.558,-1.20355
lh_middletemporal,35.9382,1.17338,-19.5848,-0.637183
lh_parahippocampal,83.7743,1.22475,9.76337,0.232899
lh_paracentral,-46.7139,-2.07084,22.8975,-0.101863
lh_parsopercularis,12.1409,-0.112626,-10.1141,0.634048
lh_parsorbitalis,2.28605,0.166747,-39.09,-1.77775
lh_parstriangularis,-7.13736,0.00855846,-31.8097,-0.651076
lh_pericalcarine,-109.049,0.318879,48.839,1.05008
lh_postcentral,-61.4385,-0.556814,33.6748,0.265408
lh_posteriorcingulate,7.1463,-1.22446,1.01526,0.136528
lh_precentral,-35.6905,-0.655534,29.975,2.69898
lh_precuneus,-35.8927,-1.26349,-15.7204,-0.744483
lh_rostralanteriorcingulate,84.2562,0.358566,-14.7791,-0.51914
lh_rostralmiddlefrontal,-1.32478,-0.126785,-36.5374,-1.08607
lh_superiorfrontal,7.34372,-0.303995,-8.67349,-0.389062
lh_superiorparietal,-48.1277,-1.12021,1.68098,-0.339395
lh_superiortemporal,24.9806,0.987364,-19.4161,0.0439673
lh_supramarginal,-14.3042,-0.237465,-15.7182,-0.239242
lh_temporalpole,129.254,2.97389,31.9128,1.07752
lh_transversetemporal,-71.5728,-0.780116,24.7847,0.36491
lh_insula,61.9699,0.589798,-18.0383,-0.12756
