label,PLS1_gene_scores,PLS1_imaging_scores,PLS2_gene_scores,PLS2_imaging_scores,PLS3_gene_scores,PLS3_imaging_scores,PLS4_gene_scores,PLS4_imaging_scores
lh_bankssts,-26.2478,0.220742,-33.7941,-0.898246,-12.4545,-0.0601537,-29.0336,0.126118
lh_caudalanteriorcingulate,93.5002,1.13726,31.1304,-1.1632,17.6857,-0.137615,82.3829,1.96553
lh_caudalmiddlefrontal,-0.868746,-0.313395,-17.0949,0.490435,57.138,1.16859,-19.2223,0.216785
lh_cuneus,-149.686,-2.27488,29.2012,0.505954,-50.875,-0.708073,6.40454,-0.0820832
lh_entorhinal,133.639,2.17115,97.0625,3.01705,6.80517,0.121966,36.6957,-0.205637
lh_fusiform,33.3046,0.418495,-4.35889,0.320684,-27.6107,-0.0806345,-16.0179,-0.250781
lh_inferiorparietal,-39.8504,-0.352279,-9.69093,-1.10728,-8.84907,-0.0773837,-7.23415,-0.323317
lh_inferiortemporal,40.3239,1.09217,-7.65632,0.00603955,-17.8753,-0.690124,-12.8411,-0.460618
lh_isthmuscingulate,-26.7862,-1.48833,14.3112,-0.735914,16.8079,1.04757,45.9513,0.828828
lh_lateraloccipital,-109.93,-1.59032,9.46428,1.0123,-33.2084,-0.219207,-9.95004,-0.00140266
lh_lateralorbitofrontal,29.9766,0.790972,-34.7308,-0.720503,-20.2244,-0.560501,-5.00422,-0.172281
lh_lingual,-122.54,-1.77988,29.0609,0.400418,-46.1345,-0.539059,16.3774,0.151583
lh_medialorbitofrontal,72.7587,0.741157,-39.3828,-1.05978,-27.3785,-1.15984,-11.0316,0.398778
lh_middletemporal,41.9113,1.54452,-10.8587,-0.144247,-10.3066,-0.606365,-14.5072,-0.385186
lh_parahippocampal,82.5854,1.03347,31.6146,0.620457,-28.7487,-0.523305,23.7135,0.182491
lh_paracentral,-41.5949,-1.7619,-2.96059,-0.550533,62.4053,1.24211,-5.46275,-0.862228
lh_parsopercularis,27.8699,0.401613,-17.5921,0.166857,42.0566,0.615629,-16.967,0.451463
lh_parsorbitalis,11.8696,0.766477,-43.7387,-1.37365,-8.05514,-0.655001,-25.2654,-0.927592
lh_parstriangularis,5.79621,0.223231,-42.6043,-0.639196,22.0203,-0.308534,-28.2129,-0.0508394
lh_pericalcarine,-159.691,-2.31932,62.2843,1.66166,-75.3544,-1.10088,45.5408,0.769026
lh_postcentral,-66.1474,-1.8129,22.4424,0.560479,44.293,-0.216342,-18.5501,-0.17252
lh_posteriorcingulate,16.9922,-0.133281,-16.7874,-1.26492,32.2661,0.772923,33.7426,1.41572
lh_precentral,-25.6274,-1.02188,6.30124,2.23243,78.5842,1.81096,-11.8945,0.263772
lh_precuneus,-36.5518,-0.816459,-24.6499,-1.2135,-6.00393,0.314618,-15.1264,-0.114569
lh_rostralanteriorcingulate,97.3755,1.68513,-15.9045,-1.25046,-22.468,-0.102612,56.106,1.05997
lh_rostralmiddlefrontal,9.1309,0.0116497,-42.5899,-1.09058,-2.66297,-0.613317,-21.7609,0.0427679
lh_superiorfrontal,22.7911,0.397576,-26.2744,-0.462073,36.569,0.425355,-1.84506,-0.575489
lh_superiorparietal,-52.6356,-1.48555,-6.83416,-0.449991,5.28836,0.131027,-10.1484,-0.269489
lh_superiortemporal,27.9123,1.12672,-10.2582,0.504852,-16.4904,-0.184056,-24.5889,-0.42457
lh_supramarginal,-8.29785,0.0314718,-19.3735,-0.330798,13.5501,0.131117,-26.013,-0.146099
lh_temporalpole,142.156,3.11414,79.3546,2.52687,6.35187,-0.0314313,-21.4129,-1.4108
lh_transversetemporal,-92.2165,-0.956042,24.6588,0.375546,-5.40176,0.665314,-3.12347,-0.605197
lh_insula,68.7771,1.19848,-9.75123,0.0528357,-21.7191,0.127247,8.29934,-0.432132
