label,PLS1_gene_scores,PLS1_imaging_scores,PLS2_gene_scores,PLS2_imaging_scores
lh_bankssts,-25.3859,-0.175057,-28.4191,-0.671392
lh_caudalanteriorcingulate,85.3866,-0.386218,33.6407,0.140812
lh_caudalmiddlefrontal,4.22244,0.485434,-18.7833,0.557431
lh_cuneus,-133.921,-1.77427,37.1561,0.39099
lh_entorhinal,123.417,2.44035,69.3625,2.32927
lh_fusiform,28.148,0.424631,-6.84361,0.112132
lh_inferiorparietal,-36.1733,-0.45508,-7.05806,-1.08987
lh_inferiortemporal,34.8366,0.540724,-12.6967,-0.290464
lh_isthmuscingulate,-21.3874,-0.95228,20.4729,-0.0853663
lh_lateraloccipital,-99.2138,-0.930854,14.975,0.852531
lh_lateralorbitofrontal,23.486,0.0990057,-31.4191,-0.715616
lh_lingual,-110.486,-1.46315,34.8576,0.432801
lh_medialorbitofrontal,58.1762,-0.584095,-36.4423,-0.681887
lh_middletemporal,35.7809,0.825187,-14.5226,-0.37666
lh_parahippocampal,74.3885,0.507706,25.0048,0.585117
lh_paracentral,-30.3948,-0.317843,1.50081,-0.886561
lh_parsopercularis,26.648,0.484687,-21.6849,0.40103
lh_parsorbitalis,6.66598,0.149189,-39.4659,-1.6839
lh_parstriangularis,4.11438,-0.172594,-40.0837,-0.56474
lh_pericalcarine,-143.814,-2.04486,67.3367,1.81717
lh_postcentral,-55.1646,-1.13566,19.3964,0.387579
lh_posteriorcingulate,16.8868,-0.55565,-7.54349,-0.214558
lh_precentral,-14.8731,0.812907,4.70996,2.04167
lh_precuneus,-34.6915,-0.662941,-18.5806,-1.04203
lh_rostralanteriorcingulate,81.217,0.337238,-3.21571,-0.454523
lh_rostralmiddlefrontal,4.67908,-0.644919,-38.9761,-0.885665
lh_superiorfrontal,22.6534,0.608322,-21.5442,-0.704401
lh_superiorparietal,-46.7678,-0.953964,-3.96528,-0.495745
lh_superiortemporal,22.9846,0.966772,-13.6142,0.150601
lh_supramarginal,-7.66401,0.0624417,-21.7615,-0.352618
lh_temporalpole,126.68,3.33632,42.7962,1.22162
lh_transversetemporal,-79.803,0.0584251,23.9582,-0.00528523
lh_insula,59.3687,1.07009,-8.54763,-0.219476
