phenotype	h2	se	pval	n
baseline_thickness	0.2567	0.0582	5.0994e-06	5422
global_slope	0.0813	0.0555	6.8519e-02	5422
slope_PC3	0.1377	0.0561	6.0237e-03	5422
slope_PC2	0.1840	0.0565	4.4146e-04	5422
slope_PC1	0.1438	0.0555	3.5482e-03	5422
