atlas	phenotype	trait_arm	stratum	method	score	beta_perregion	se_perregion	p_adj_perregion	beta_1lmm	se_1lmm	p_adj_1lmm	n
dk	baseline_thickness	SCZ_pooled	full	CT	zanc	0.0149693629046116	0.0109398713265015	1.0	0.0146982319022184	0.0109463029026914	1.0	8596
dk	baseline_thickness	SCZ_pooled	full	PRSCS	zanc	0.0025872191698421	0.0108151269694997	0.810938988268665	0.0021309484741448	0.0108214371217895	0.843895480992544	8596
dk	baseline_thickness	SCZ_pooled	full	SBayesR	zanc	0.0128581241301905	0.0108757899183908	0.237131407760139	0.0125658512624239	0.0108821642287611	0.248237520430337	8596
dk	baseline_thickness	SCZ_pooled	full	SBayesRC	zanc	0.0059098604729918	0.0107790343195375	0.583518343379123	0.0052876135530057	0.010785342603971	0.623963075852963	8596
dk	baseline_thickness	MDD_pooled	full	CT	zanc	-0.0141141847269937	0.0109279752855375	1.0	-0.0143162141103239	0.010934323546151	1.0	8596
dk	baseline_thickness	MDD_pooled	full	PRSCS	zanc	-0.008374593218805	0.0108561721117999	0.440483593251459	-0.0085223604926128	0.0108624887942113	0.43272882461191	8596
dk	baseline_thickness	MDD_pooled	full	SBayesR	zanc	-0.0009463483632998	0.0109915200925541	0.931390527857401	-0.0009812630665181	0.0109979411386425	0.928907260593278	8596
dk	baseline_thickness	MDD_pooled	full	SBayesRC	zanc	-0.0015834766376436	0.0108798435549713	0.884286244313898	-0.0017919747948441	0.0108861865495354	0.869254916070475	8596
dk	baseline_thickness	SCZ_eur	EUR	CT	raw	-0.0174853102055125	0.015352863138471	1.0	-0.0181041372133413	0.0153637369295985	1.0	4308
dk	baseline_thickness	SCZ_eur	EUR	PRSCS	raw	0.0100034510226882	0.0155920176771122	0.52118339553475	0.0091151922617082	0.0156033291842759	0.559128273408889	4308
dk	baseline_thickness	SCZ_eur	EUR	SBayesR	raw	0.0152869976578901	0.0156294329364557	0.328084782472848	0.014572670085725	0.0156408189947601	0.351540077345326	4308
dk	baseline_thickness	SCZ_eur	EUR	SBayesRC	raw	0.0169404050128186	0.0155235183171435	0.275213819479134	0.0160305244796185	0.0155348935106302	0.302175093275762	4308
dk	baseline_thickness	MDD_eur	EUR	CT	raw	-0.0221683213516391	0.015371924380638	1.0	-0.0225925890366068	0.015382830802138	1.0	4308
dk	baseline_thickness	MDD_eur	EUR	PRSCS	raw	-0.0261288840375732	0.0154921432793989	0.0917551824396057	-0.0263691117091418	0.0155031678809443	0.0890371192964663	4308
dk	baseline_thickness	MDD_eur	EUR	SBayesR	raw	-0.018790573424541	0.0157052942654609	0.231587967424511	-0.0189985459589718	0.0157164943351043	0.226795578615203	4308
dk	baseline_thickness	MDD_eur	EUR	SBayesRC	raw	-0.0197942361694721	0.0156126731028319	0.204927269273013	-0.0202226269579143	0.0156237302575105	0.195613357938254	4308
dk	baseline_thickness	ASD	EUR	CT	raw	-0.0424525393138793	0.0152556785422226	0.0433104584156277	-0.0425745500595122	0.0152666027627957	0.0425175720491278	4308
dk	baseline_thickness	ASD	EUR	PRSCS	raw	-0.0402555573358106	0.015372740975739	0.0088593435785726	-0.0402296598644869	0.0153838102418596	0.0089522690970424	4308
dk	baseline_thickness	ASD	EUR	SBayesR	raw	-0.0115706077840576	0.0153398862528833	0.450720968552628	-0.0116996536939804	0.0153509049564521	0.44601384155202	4308
dk	baseline_thickness	ASD	EUR	SBayesRC	raw	-0.0127846835994003	0.0152760262889843	0.402688833304594	-0.0129695783682049	0.0152869905028465	0.396259051037312	4308
dk	baseline_thickness	ALZ	EUR	CT	raw	0.0242528276478812	0.0153565507194268	0.914700263130759	0.0237403302514726	0.0153677926580648	0.979726069971727	4308
dk	baseline_thickness	ALZ	EUR	PRSCS	raw	0.0086537892450649	0.0153489135962507	0.57291659045336	0.0077837738586448	0.0153600085550602	0.612352242375065	4308
dk	baseline_thickness	ALZ	EUR	SBayesR	raw	-0.0022772375937678	0.015381105592118	0.882306960310368	-0.0025416957464191	0.0153921078336001	0.868849622444322	4308
dk	baseline_thickness	ALZ	EUR	SBayesRC	raw	-0.0025621153763633	0.0154046841893106	0.867912583785208	-0.003136518619017	0.0154156611108347	0.838782765601467	4308
dk	baseline_thickness	ALZ_noAPOE	EUR	CT	raw	-0.0341002546050074	0.0152634489712854	0.204215855402566	-0.0340244385372306	0.0152744859152511	0.207705809609851	4308
dk	baseline_thickness	ALZ_noAPOE	EUR	PRSCS	raw	0.0178830932067111	0.0152975243360065	0.242460958312971	0.0171850446393536	0.0153087311474857	0.261685082983002	4308
dk	baseline_thickness	ALZ_noAPOE	EUR	SBayesR	raw	0.0088716920763762	0.0153263523824326	0.562719304997074	0.0084375870057745	0.0153374277981668	0.58225848072697	4308
dk	baseline_thickness	ALZ_noAPOE	EUR	SBayesRC	raw	0.0057409912604215	0.0153356289496396	0.708157647247032	0.0053917540833845	0.0153466798630442	0.725357787198781	4308
